ward,precinct,total,Brock Merck,Brock Merck Percent,precinct_id
29,9,0,0,0.0,29009
29,32,0,0,0.0,29032
30,2,0,0,0.0,30002
36,1,1,1,100.0,36001
36,2,3,3,100.0,36002
36,3,0,0,0.0,36003
36,4,2,2,100.0,36004
36,5,1,1,100.0,36005
36,6,1,1,100.0,36006
36,7,1,1,100.0,36007
36,8,0,0,0.0,36008
36,9,1,1,100.0,36009
36,10,0,0,0.0,36010
36,11,1,1,100.0,36011
36,12,0,0,0.0,36012
36,13,0,0,0.0,36013
36,14,0,0,0.0,36014
36,15,1,1,100.0,36015
36,16,0,0,0.0,36016
36,17,1,1,100.0,36017
36,18,2,2,100.0,36018
36,19,0,0,0.0,36019
36,20,1,1,100.0,36020
36,21,0,0,0.0,36021
36,22,0,0,0.0,36022
36,25,0,0,0.0,36025
36,26,2,2,100.0,36026
36,27,0,0,0.0,36027
36,28,1,1,100.0,36028
36,29,1,1,100.0,36029
36,30,0,0,0.0,36030
36,31,0,0,0.0,36031
36,32,0,0,0.0,36032
36,33,0,0,0.0,36033
36,34,0,0,0.0,36034
36,35,0,0,0.0,36035
36,36,0,0,0.0,36036
36,37,2,2,100.0,36037
36,38,0,0,0.0,36038
36,39,1,1,100.0,36039
36,40,2,2,100.0,36040
36,42,0,0,0.0,36042
36,45,0,0,0.0,36045
36,46,0,0,0.0,36046
36,47,0,0,0.0,36047
36,48,0,0,0.0,36048
36,49,1,1,100.0,36049
36,50,0,0,0.0,36050
36,51,1,1,100.0,36051
36,52,2,2,100.0,36052
36,53,1,1,100.0,36053
36,55,1,1,100.0,36055
38,3,0,0,0.0,38003
38,8,0,0,0.0,38008
38,12,1,1,100.0,38012
38,19,1,1,100.0,38019
38,38,0,0,0.0,38038
41,1,0,0,0.0,41001
41,2,1,1,100.0,41002
41,3,1,1,100.0,41003
41,4,0,0,0.0,41004
41,5,1,1,100.0,41005
41,6,4,4,100.0,41006
41,7,2,2,100.0,41007
41,8,3,3,100.0,41008
41,9,3,3,100.0,41009
41,10,0,0,0.0,41010
41,11,0,0,0.0,41011
41,12,1,1,100.0,41012
41,13,0,0,0.0,41013
41,14,2,2,100.0,41014
41,15,1,1,100.0,41015
41,16,3,3,100.0,41016
41,17,2,2,100.0,41017
41,18,2,2,100.0,41018
41,19,0,0,0.0,41019
41,20,0,0,0.0,41020
41,21,0,0,0.0,41021
41,22,1,1,100.0,41022
41,23,1,1,100.0,41023
41,24,0,0,0.0,41024
41,25,1,1,100.0,41025
41,26,1,1,100.0,41026
41,27,0,0,0.0,41027
41,28,0,0,0.0,41028
41,29,0,0,0.0,41029
41,30,0,0,0.0,41030
41,31,0,0,0.0,41031
41,32,0,0,0.0,41032
41,33,0,0,0.0,41033
41,34,0,0,0.0,41034
41,35,3,3,100.0,41035
41,36,0,0,0.0,41036
41,37,0,0,0.0,41037
41,38,0,0,0.0,41038
41,39,1,1,100.0,41039
41,40,1,1,100.0,41040
41,41,0,0,0.0,41041
41,42,0,0,0.0,41042
41,43,0,0,0.0,41043
41,44,0,0,0.0,41044
41,45,1,1,100.0,41045
41,46,1,1,100.0,41046
41,47,4,4,100.0,41047
41,48,2,2,100.0,41048
41,49,2,2,100.0,41049
41,50,1,1,100.0,41050
41,51,0,0,0.0,41051
41,52,3,3,100.0,41052
41,53,1,1,100.0,41053
41,54,1,1,100.0,41054
41,55,0,0,0.0,41055
41,56,1,1,100.0,41056
41,57,3,3,100.0,41057
45,2,0,0,0.0,45002
45,3,0,0,0.0,45003
45,4,0,0,0.0,45004
45,5,0,0,0.0,45005
45,6,0,0,0.0,45006
45,8,2,2,100.0,45008
45,9,0,0,0.0,45009
45,11,0,0,0.0,45011
45,13,0,0,0.0,45013
45,15,0,0,0.0,45015
45,17,1,1,100.0,45017
45,18,1,1,100.0,45018
45,19,2,2,100.0,45019
45,21,2,2,100.0,45021
45,22,0,0,0.0,45022
45,23,1,1,100.0,45023
45,24,0,0,0.0,45024
45,26,0,0,0.0,45026
45,27,0,0,0.0,45027
45,30,0,0,0.0,45030
45,32,1,1,100.0,45032
45,33,0,0,0.0,45033
45,34,1,1,100.0,45034
45,35,0,0,0.0,45035
45,36,3,3,100.0,45036
45,37,1,1,100.0,45037
45,38,0,0,0.0,45038
45,39,2,2,100.0,45039
45,40,0,0,0.0,45040
45,41,0,0,0.0,45041
45,42,3,3,100.0,45042
45,43,0,0,0.0,45043
45,44,0,0,0.0,45044
45,45,1,1,100.0,45045
45,49,0,0,0.0,45049
45,51,2,2,100.0,45051
45,52,0,0,0.0,45052
