ward,precinct,total,Carol English,Carol English Percent,precinct_id
40,3,2,2,100.0,40003
40,4,1,1,100.0,40004
40,7,1,1,100.0,40007
40,8,0,0,0.0,40008
40,9,3,3,100.0,40009
40,11,3,3,100.0,40011
40,12,0,0,0.0,40012
40,13,3,3,100.0,40013
40,16,3,3,100.0,40016
40,18,0,0,0.0,40018
40,22,0,0,0.0,40022
40,26,0,0,0.0,40026
40,27,1,1,100.0,40027
40,28,1,1,100.0,40028
40,33,0,0,0.0,40033
40,35,0,0,0.0,40035
40,37,1,1,100.0,40037
40,39,1,1,100.0,40039
40,41,1,1,100.0,40041
40,42,1,1,100.0,40042
40,43,1,1,100.0,40043
40,46,3,3,100.0,40046
40,47,3,3,100.0,40047
41,1,0,0,0.0,41001
41,2,1,1,100.0,41002
41,4,0,0,0.0,41004
41,5,1,1,100.0,41005
41,7,1,1,100.0,41007
41,8,3,3,100.0,41008
41,11,0,0,0.0,41011
41,13,0,0,0.0,41013
41,15,0,0,0.0,41015
41,17,1,1,100.0,41017
41,18,2,2,100.0,41018
41,20,0,0,0.0,41020
41,25,1,1,100.0,41025
41,26,1,1,100.0,41026
41,27,0,0,0.0,41027
41,28,0,0,0.0,41028
41,29,0,0,0.0,41029
41,31,0,0,0.0,41031
41,32,0,0,0.0,41032
41,33,0,0,0.0,41033
41,34,0,0,0.0,41034
41,36,0,0,0.0,41036
41,37,0,0,0.0,41037
41,40,1,1,100.0,41040
41,41,0,0,0.0,41041
41,42,0,0,0.0,41042
41,43,0,0,0.0,41043
41,45,1,1,100.0,41045
41,48,1,1,100.0,41048
41,49,2,2,100.0,41049
41,52,3,3,100.0,41052
41,55,0,0,0.0,41055
41,56,0,0,0.0,41056
44,3,0,0,0.0,44003
44,4,0,0,0.0,44004
44,7,0,0,0.0,44007
44,18,0,0,0.0,44018
44,35,0,0,0.0,44035
44,48,0,0,0.0,44048
44,49,1,1,100.0,44049
46,1,1,1,100.0,46001
46,2,3,3,100.0,46002
46,4,3,3,100.0,46004
46,6,3,3,100.0,46006
46,7,0,0,0.0,46007
46,8,2,2,100.0,46008
46,9,2,2,100.0,46009
46,10,1,1,100.0,46010
46,11,1,1,100.0,46011
46,12,2,2,100.0,46012
46,14,0,0,0.0,46014
46,15,1,1,100.0,46015
46,16,1,1,100.0,46016
46,19,0,0,0.0,46019
46,20,0,0,0.0,46020
46,21,0,0,0.0,46021
46,22,2,2,100.0,46022
46,23,0,0,0.0,46023
46,25,1,1,100.0,46025
46,26,0,0,0.0,46026
46,27,0,0,0.0,46027
46,28,3,3,100.0,46028
46,30,0,0,0.0,46030
46,32,0,0,0.0,46032
46,33,1,1,100.0,46033
46,34,0,0,0.0,46034
46,35,2,2,100.0,46035
46,38,0,0,0.0,46038
46,39,0,0,0.0,46039
46,40,0,0,0.0,46040
46,41,1,1,100.0,46041
46,42,1,1,100.0,46042
46,45,1,1,100.0,46045
46,46,0,0,0.0,46046
46,47,1,1,100.0,46047
48,1,1,1,100.0,48001
48,2,1,1,100.0,48002
48,3,1,1,100.0,48003
48,4,0,0,0.0,48004
48,5,2,2,100.0,48005
48,6,0,0,0.0,48006
48,7,0,0,0.0,48007
48,8,0,0,0.0,48008
48,9,1,1,100.0,48009
48,10,0,0,0.0,48010
48,11,1,1,100.0,48011
48,12,1,1,100.0,48012
48,13,0,0,0.0,48013
48,14,0,0,0.0,48014
48,15,0,0,0.0,48015
48,16,1,1,100.0,48016
48,17,1,1,100.0,48017
48,18,2,2,100.0,48018
48,19,0,0,0.0,48019
48,20,0,0,0.0,48020
48,21,1,1,100.0,48021
48,22,2,2,100.0,48022
48,23,0,0,0.0,48023
48,24,1,1,100.0,48024
48,25,0,0,0.0,48025
48,26,0,0,0.0,48026
48,27,1,1,100.0,48027
48,28,0,0,0.0,48028
48,29,0,0,0.0,48029
48,30,0,0,0.0,48030
48,31,1,1,100.0,48031
48,32,2,2,100.0,48032
48,33,0,0,0.0,48033
48,34,0,0,0.0,48034
48,35,3,3,100.0,48035
48,36,2,2,100.0,48036
48,37,1,1,100.0,48037
48,38,0,0,0.0,48038
48,39,1,1,100.0,48039
48,40,0,0,0.0,48040
48,41,0,0,0.0,48041
48,42,1,1,100.0,48042
48,43,0,0,0.0,48043
48,44,1,1,100.0,48044
48,45,0,0,0.0,48045
48,46,1,1,100.0,48046
48,47,1,1,100.0,48047
48,48,4,4,100.0,48048
48,49,1,1,100.0,48049
48,50,0,0,0.0,48050
48,51,0,0,0.0,48051
48,52,0,0,0.0,48052
48,53,0,0,0.0,48053
48,54,1,1,100.0,48054
49,1,0,0,0.0,49001
49,2,1,1,100.0,49002
49,3,2,2,100.0,49003
49,4,1,1,100.0,49004
49,5,1,1,100.0,49005
49,6,1,1,100.0,49006
49,7,2,2,100.0,49007
49,8,1,1,100.0,49008
49,9,0,0,0.0,49009
49,10,2,2,100.0,49010
49,11,0,0,0.0,49011
49,12,1,1,100.0,49012
49,13,0,0,0.0,49013
49,14,1,1,100.0,49014
49,15,0,0,0.0,49015
49,16,1,1,100.0,49016
49,17,0,0,0.0,49017
49,18,1,1,100.0,49018
49,19,1,1,100.0,49019
49,20,2,2,100.0,49020
49,21,1,1,100.0,49021
49,22,0,0,0.0,49022
49,23,1,1,100.0,49023
49,24,0,0,0.0,49024
49,25,2,2,100.0,49025
49,26,1,1,100.0,49026
49,27,1,1,100.0,49027
49,28,2,2,100.0,49028
49,29,4,4,100.0,49029
49,30,1,1,100.0,49030
49,31,2,2,100.0,49031
49,32,0,0,0.0,49032
49,33,1,1,100.0,49033
49,34,4,4,100.0,49034
49,35,3,3,100.0,49035
49,36,2,2,100.0,49036
49,37,1,1,100.0,49037
49,38,0,0,0.0,49038
49,39,0,0,0.0,49039
49,40,0,0,0.0,49040
49,41,0,0,0.0,49041
49,42,2,2,100.0,49042
50,1,0,0,0.0,50001
50,2,1,1,100.0,50002
50,3,0,0,0.0,50003
50,4,0,0,0.0,50004
50,5,3,3,100.0,50005
50,6,0,0,0.0,50006
50,7,1,1,100.0,50007
50,8,0,0,0.0,50008
50,9,0,0,0.0,50009
50,10,2,2,100.0,50010
50,11,0,0,0.0,50011
50,12,0,0,0.0,50012
50,13,0,0,0.0,50013
50,14,1,1,100.0,50014
50,15,2,2,100.0,50015
50,16,0,0,0.0,50016
50,17,0,0,0.0,50017
50,18,1,1,100.0,50018
50,19,0,0,0.0,50019
50,20,1,1,100.0,50020
50,21,0,0,0.0,50021
50,22,0,0,0.0,50022
50,23,0,0,0.0,50023
