ward,precinct,total,Paloma Andrade,Paloma Andrade Percent,precinct_id
3,13,0,0,0.0,03013
3,19,0,0,0.0,03019
11,1,0,0,0.0,11001
11,2,2,2,100.0,11002
11,3,0,0,0.0,11003
11,6,3,3,100.0,11006
11,10,0,0,0.0,11010
11,17,1,1,100.0,11017
11,30,1,1,100.0,11030
12,1,0,0,0.0,12001
12,2,1,1,100.0,12002
12,3,0,0,0.0,12003
12,4,0,0,0.0,12004
12,5,1,1,100.0,12005
12,6,0,0,0.0,12006
12,7,2,2,100.0,12007
12,8,0,0,0.0,12008
12,9,0,0,0.0,12009
12,10,1,1,100.0,12010
12,11,1,1,100.0,12011
12,12,0,0,0.0,12012
12,13,0,0,0.0,12013
12,14,1,1,100.0,12014
12,15,0,0,0.0,12015
12,16,0,0,0.0,12016
12,17,0,0,0.0,12017
12,18,1,1,100.0,12018
12,19,1,1,100.0,12019
12,20,1,1,100.0,12020
12,21,2,2,100.0,12021
12,22,3,3,100.0,12022
12,23,0,0,0.0,12023
12,24,2,2,100.0,12024
13,3,0,0,0.0,13003
13,5,0,0,0.0,13005
13,15,4,4,100.0,13015
13,16,1,1,100.0,13016
13,18,0,0,0.0,13018
13,20,0,0,0.0,13020
13,28,1,1,100.0,13028
13,30,1,1,100.0,13030
13,31,0,0,0.0,13031
13,33,1,1,100.0,13033
13,34,0,0,0.0,13034
13,35,0,0,0.0,13035
13,39,0,0,0.0,13039
13,40,0,0,0.0,13040
13,46,0,0,0.0,13046
14,1,2,2,100.0,14001
14,3,1,1,100.0,14003
14,4,0,0,0.0,14004
14,5,0,0,0.0,14005
14,6,0,0,0.0,14006
14,7,0,0,0.0,14007
14,8,0,0,0.0,14008
14,9,0,0,0.0,14009
14,10,1,1,100.0,14010
14,11,0,0,0.0,14011
14,12,0,0,0.0,14012
14,13,0,0,0.0,14013
14,14,0,0,0.0,14014
14,15,0,0,0.0,14015
14,16,2,2,100.0,14016
14,17,0,0,0.0,14017
14,18,1,1,100.0,14018
14,19,0,0,0.0,14019
14,20,0,0,0.0,14020
14,21,1,1,100.0,14021
14,22,0,0,0.0,14022
14,23,2,2,100.0,14023
14,24,2,2,100.0,14024
14,26,0,0,0.0,14026
14,27,0,0,0.0,14027
14,29,0,0,0.0,14029
14,30,1,1,100.0,14030
14,31,0,0,0.0,14031
14,32,2,2,100.0,14032
14,33,0,0,0.0,14033
14,34,0,0,0.0,14034
14,35,0,0,0.0,14035
15,1,0,0,0.0,15001
15,10,1,1,100.0,15010
15,14,0,0,0.0,15014
15,16,3,3,100.0,15016
15,25,0,0,0.0,15025
15,28,0,0,0.0,15028
15,32,0,0,0.0,15032
15,44,0,0,0.0,15044
15,49,0,0,0.0,15049
16,1,0,0,0.0,16001
16,4,0,0,0.0,16004
16,13,0,0,0.0,16013
16,17,0,0,0.0,16017
16,21,6,6,100.0,16021
16,23,0,0,0.0,16023
16,32,0,0,0.0,16032
16,35,0,0,0.0,16035
16,39,3,3,100.0,16039
16,42,1,1,100.0,16042
16,44,0,0,0.0,16044
20,4,1,1,100.0,20004
20,8,0,0,0.0,20008
20,15,0,0,0.0,20015
20,21,0,0,0.0,20021
20,41,0,0,0.0,20041
22,1,0,0,0.0,22001
22,2,3,3,100.0,22002
22,3,0,0,0.0,22003
22,4,0,0,0.0,22004
22,5,0,0,0.0,22005
22,6,0,0,0.0,22006
22,8,0,0,0.0,22008
22,9,0,0,0.0,22009
22,10,0,0,0.0,22010
22,11,2,2,100.0,22011
22,12,0,0,0.0,22012
22,13,1,1,100.0,22013
22,14,0,0,0.0,22014
22,15,0,0,0.0,22015
22,16,1,1,100.0,22016
22,17,0,0,0.0,22017
22,18,0,0,0.0,22018
22,20,0,0,0.0,22020
22,22,0,0,0.0,22022
22,23,0,0,0.0,22023
22,24,1,1,100.0,22024
22,25,0,0,0.0,22025
22,26,1,1,100.0,22026
22,27,0,0,0.0,22027
22,28,0,0,0.0,22028
22,29,0,0,0.0,22029
23,6,1,1,100.0,23006
23,9,1,1,100.0,23009
23,24,1,1,100.0,23024
23,29,1,1,100.0,23029
24,44,0,0,0.0,24044
24,53,1,1,100.0,24053
25,1,0,0,0.0,25001
25,2,2,2,100.0,25002
25,3,0,0,0.0,25003
25,5,3,3,100.0,25005
25,7,3,3,100.0,25007
25,8,1,1,100.0,25008
25,9,0,0,0.0,25009
25,11,3,3,100.0,25011
25,12,0,0,0.0,25012
25,13,0,0,0.0,25013
25,15,0,0,0.0,25015
25,17,1,1,100.0,25017
25,19,1,1,100.0,25019
25,20,0,0,0.0,25020
25,22,0,0,0.0,25022
25,23,2,2,100.0,25023
25,24,2,2,100.0,25024
25,29,0,0,0.0,25029
25,30,1,1,100.0,25030
25,31,1,1,100.0,25031
28,29,0,0,0.0,28029
28,34,0,0,0.0,28034
28,38,0,0,0.0,28038
