ward,precinct,total,Chris Stacey,Chris Stacey Percent,precinct_id
1,1,475,475,100.0,01001
1,2,428,428,100.0,01002
1,3,615,615,100.0,01003
1,4,580,580,100.0,01004
1,5,517,517,100.0,01005
1,6,414,414,100.0,01006
1,7,337,337,100.0,01007
1,8,430,430,100.0,01008
1,9,339,339,100.0,01009
1,10,645,645,100.0,01010
1,11,592,592,100.0,01011
1,12,569,569,100.0,01012
1,13,245,245,100.0,01013
1,14,449,449,100.0,01014
1,15,438,438,100.0,01015
1,16,518,518,100.0,01016
1,17,429,429,100.0,01017
1,18,479,479,100.0,01018
1,19,592,592,100.0,01019
1,20,394,394,100.0,01020
1,21,719,719,100.0,01021
1,22,329,329,100.0,01022
1,23,665,665,100.0,01023
1,24,413,413,100.0,01024
1,25,486,486,100.0,01025
1,26,292,292,100.0,01026
1,27,549,549,100.0,01027
1,28,159,159,100.0,01028
1,29,644,644,100.0,01029
1,30,521,521,100.0,01030
1,31,419,419,100.0,01031
1,32,458,458,100.0,01032
1,33,520,520,100.0,01033
1,34,406,406,100.0,01034
1,35,616,616,100.0,01035
1,36,577,577,100.0,01036
1,37,494,494,100.0,01037
1,38,469,469,100.0,01038
1,39,396,396,100.0,01039
1,40,434,434,100.0,01040
1,41,271,271,100.0,01041
1,42,169,169,100.0,01042
1,43,301,301,100.0,01043
1,44,451,451,100.0,01044
2,1,561,561,100.0,02001
2,2,319,319,100.0,02002
2,3,569,569,100.0,02003
2,4,505,505,100.0,02004
2,5,614,614,100.0,02005
2,6,530,530,100.0,02006
2,7,465,465,100.0,02007
2,8,616,616,100.0,02008
2,9,434,434,100.0,02009
2,10,306,306,100.0,02010
2,11,456,456,100.0,02011
2,12,404,404,100.0,02012
2,13,380,380,100.0,02013
2,14,473,473,100.0,02014
2,15,438,438,100.0,02015
2,16,485,485,100.0,02016
2,17,536,536,100.0,02017
2,18,416,416,100.0,02018
2,19,285,285,100.0,02019
2,20,630,630,100.0,02020
2,21,517,517,100.0,02021
2,22,478,478,100.0,02022
2,23,274,274,100.0,02023
2,24,409,409,100.0,02024
2,25,569,569,100.0,02025
2,26,384,384,100.0,02026
2,27,393,393,100.0,02027
2,28,526,526,100.0,02028
2,29,500,500,100.0,02029
2,30,384,384,100.0,02030
2,31,514,514,100.0,02031
2,32,396,396,100.0,02032
2,33,649,649,100.0,02033
2,34,332,332,100.0,02034
2,35,625,625,100.0,02035
2,36,495,495,100.0,02036
2,37,406,406,100.0,02037
2,38,397,397,100.0,02038
2,39,278,278,100.0,02039
2,40,673,673,100.0,02040
2,41,563,563,100.0,02041
2,42,533,533,100.0,02042
2,43,616,616,100.0,02043
2,44,267,267,100.0,02044
2,45,573,573,100.0,02045
2,46,245,245,100.0,02046
3,1,604,604,100.0,03001
3,2,468,468,100.0,03002
