ward,precinct,total,Yes,Yes Percent,No,No Percent,precinct_id
1,1,492,415,84.35,77,15.65,01001
1,2,456,375,82.24,81,17.76,01002
1,3,589,515,87.44,74,12.56,01003
1,4,566,496,87.63,70,12.37,01004
1,5,501,436,87.03,65,12.97,01005
1,6,437,379,86.73,58,13.27,01006
1,7,364,318,87.36,46,12.64,01007
1,8,417,362,86.81,55,13.19,01008
1,9,361,313,86.7,48,13.3,01009
1,10,617,528,85.58,89,14.42,01010
1,11,563,512,90.94,51,9.06,01011
1,12,600,510,85.0,90,15.0,01012
1,13,248,217,87.5,31,12.5,01013
1,14,456,389,85.31,67,14.69,01014
1,15,462,394,85.28,68,14.72,01015
1,16,543,468,86.19,75,13.81,01016
1,17,431,364,84.45,67,15.55,01017
1,18,497,429,86.32,68,13.68,01018
1,19,592,496,83.78,96,16.22,01019
1,20,404,351,86.88,53,13.12,01020
1,21,668,595,89.07,73,10.93,01021
1,22,330,278,84.24,52,15.76,01022
1,23,649,575,88.6,74,11.4,01023
1,24,452,370,81.86,82,18.14,01024
1,25,497,424,85.31,73,14.69,01025
1,26,336,270,80.36,66,19.64,01026
1,27,564,500,88.65,64,11.35,01027
1,28,168,135,80.36,33,19.64,01028
1,29,612,545,89.05,67,10.95,01029
1,30,572,481,84.09,91,15.91,01030
1,31,450,393,87.33,57,12.67,01031
1,32,483,407,84.27,76,15.73,01032
1,33,535,470,87.85,65,12.15,01033
1,34,404,352,87.13,52,12.87,01034
1,35,630,530,84.13,100,15.87,01035
1,36,577,517,89.6,60,10.4,01036
1,37,493,426,86.41,67,13.59,01037
1,38,476,403,84.66,73,15.34,01038
1,39,412,356,86.41,56,13.59,01039
1,40,431,373,86.54,58,13.46,01040
1,41,277,259,93.5,18,6.5,01041
1,42,176,145,82.39,31,17.61,01042
1,43,320,276,86.25,44,13.75,01043
1,44,455,387,85.05,68,14.95,01044
2,1,546,458,83.88,88,16.12,02001
2,2,347,303,87.32,44,12.68,02002
2,3,560,485,86.61,75,13.39,02003
2,4,478,422,88.28,56,11.72,02004
2,5,614,521,84.85,93,15.15,02005
2,6,519,447,86.13,72,13.87,02006
2,7,438,381,86.99,57,13.01,02007
2,8,615,530,86.18,85,13.82,02008
2,9,457,399,87.31,58,12.69,02009
2,10,331,283,85.5,48,14.5,02010
2,11,457,391,85.56,66,14.44,02011
2,12,384,332,86.46,52,13.54,02012
2,13,379,323,85.22,56,14.78,02013
2,14,495,443,89.49,52,10.51,02014
2,15,420,368,87.62,52,12.38,02015
2,16,479,425,88.73,54,11.27,02016
2,17,566,490,86.57,76,13.43,02017
2,18,418,366,87.56,52,12.44,02018
2,19,287,242,84.32,45,15.68,02019
2,20,579,507,87.56,72,12.44,02020
2,21,511,450,88.06,61,11.94,02021
2,22,449,395,87.97,54,12.03,02022
2,23,280,247,88.21,33,11.79,02023
2,24,412,366,88.83,46,11.17,02024
2,25,523,468,89.48,55,10.52,02025
2,26,376,316,84.04,60,15.96,02026
2,27,408,333,81.62,75,18.38,02027
2,28,522,467,89.46,55,10.54,02028
2,29,506,436,86.17,70,13.83,02029
2,30,405,353,87.16,52,12.84,02030
2,31,516,453,87.79,63,12.21,02031
2,32,419,348,83.05,71,16.95,02032
2,33,637,556,87.28,81,12.72,02033
2,34,324,284,87.65,40,12.35,02034
2,35,595,526,88.4,69,11.6,02035
2,36,482,413,85.68,69,14.32,02036
2,37,408,354,86.76,54,13.24,02037
2,38,406,341,83.99,65,16.01,02038
2,39,328,260,79.27,68,20.73,02039
2,40,639,547,85.6,92,14.4,02040
2,41,541,460,85.03,81,14.97,02041
2,42,517,457,88.39,60,11.61,02042
2,43,604,524,86.75,80,13.25,02043
2,44,286,245,85.66,41,14.34,02044
2,45,539,472,87.57,67,12.43,02045
2,46,255,212,83.14,43,16.86,02046
3,1,624,458,73.4,166,26.6,03001
3,2,448,361,80.58,87,19.42,03002
3,3,366,269,73.5,97,26.5,03003
3,4,529,401,75.8,128,24.2,03004
3,5,269,194,72.12,75,27.88,03005
3,6,638,528,82.76,110,17.24,03006
3,7,245,180,73.47,65,26.53,03007
3,8,358,238,66.48,120,33.52,03008
3,9,522,378,72.41,144,27.59,03009
3,10,207,144,69.57,63,30.43,03010
3,11,520,379,72.88,141,27.12,03011
