ward,precinct,total,Jonathan Clark Green,Jonathan Clark Green Percent,precinct_id
2,2,309,309,100.0,02002
2,9,430,430,100.0,02009
2,10,302,302,100.0,02010
2,11,435,435,100.0,02011
2,12,383,383,100.0,02012
2,13,368,368,100.0,02013
2,18,397,397,100.0,02018
2,19,261,261,100.0,02019
2,20,606,606,100.0,02020
2,22,458,458,100.0,02022
2,23,249,249,100.0,02023
2,24,398,398,100.0,02024
2,26,377,377,100.0,02026
2,27,378,378,100.0,02027
2,28,514,514,100.0,02028
2,29,486,486,100.0,02029
2,30,375,375,100.0,02030
2,31,497,497,100.0,02031
2,32,395,395,100.0,02032
2,33,611,611,100.0,02033
2,34,316,316,100.0,02034
2,35,615,615,100.0,02035
2,36,489,489,100.0,02036
2,37,392,392,100.0,02037
2,38,380,380,100.0,02038
2,39,275,275,100.0,02039
2,40,666,666,100.0,02040
2,41,559,559,100.0,02041
2,42,524,524,100.0,02042
2,43,608,608,100.0,02043
2,44,257,257,100.0,02044
2,45,564,564,100.0,02045
2,46,235,235,100.0,02046
3,3,349,349,100.0,03003
3,6,603,603,100.0,03006
3,13,544,544,100.0,03013
3,14,523,523,100.0,03014
3,17,680,680,100.0,03017
3,18,90,90,100.0,03018
3,19,560,560,100.0,03019
3,21,471,471,100.0,03021
3,22,620,620,100.0,03022
3,25,751,751,100.0,03025
3,26,497,497,100.0,03026
3,27,576,576,100.0,03027
3,32,740,740,100.0,03032
3,33,566,566,100.0,03033
3,34,692,692,100.0,03034
3,39,915,915,100.0,03039
3,40,441,441,100.0,03040
4,2,624,624,100.0,04002
4,6,163,163,100.0,04006
4,13,649,649,100.0,04013
4,16,833,833,100.0,04016
4,17,560,560,100.0,04017
4,20,358,358,100.0,04020
4,21,526,526,100.0,04021
4,25,573,573,100.0,04025
4,37,891,891,100.0,04037
11,30,171,171,100.0,11030
11,36,175,175,100.0,11036
11,37,105,105,100.0,11037
25,6,126,126,100.0,25006
25,14,253,253,100.0,25014
25,18,200,200,100.0,25018
25,21,862,862,100.0,25021
25,27,247,247,100.0,25027
27,6,423,423,100.0,27006
27,9,174,174,100.0,27009
27,11,129,129,100.0,27011
27,12,321,321,100.0,27012
27,20,232,232,100.0,27020
27,21,341,341,100.0,27021
27,28,477,477,100.0,27028
27,35,375,375,100.0,27035
27,37,355,355,100.0,27037
