ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Craig Cameron,Craig Cameron Percent,Tracy Jennings,Tracy Jennings Percent,precinct_id
1,12,861,671,77.93,135,15.68,55,6.39,01012
1,14,187,156,83.42,18,9.63,13,6.95,01014
1,15,127,103,81.1,16,12.6,8,6.3,01015
1,32,286,215,75.17,57,19.93,14,4.9,01032
2,2,498,347,69.68,130,26.1,21,4.22,02002
2,9,712,460,64.61,213,29.92,39,5.48,02009
2,10,516,330,63.95,167,32.36,19,3.68,02010
2,11,713,474,66.48,207,29.03,32,4.49,02011
2,12,327,290,88.69,20,6.12,17,5.2,02012
2,13,576,414,71.88,132,22.92,30,5.21,02013
2,14,615,479,77.89,95,15.45,41,6.67,02014
2,17,795,622,78.24,125,15.72,48,6.04,02017
2,18,644,458,71.12,162,25.16,24,3.73,02018
2,19,472,313,66.31,146,30.93,13,2.75,02019
2,20,461,323,70.07,118,25.6,20,4.34,02020
2,21,30,24,80.0,4,13.33,2,6.67,02021
2,23,466,309,66.31,131,28.11,26,5.58,02023
2,27,624,385,61.7,211,33.81,28,4.49,02027
2,28,375,262,69.87,97,25.87,16,4.27,02028
2,29,788,527,66.88,213,27.03,48,6.09,02029
2,32,608,394,64.8,195,32.07,19,3.13,02032
2,34,518,349,67.37,144,27.8,25,4.83,02034
2,35,950,616,64.84,285,30.0,49,5.16,02035
2,36,799,527,65.96,237,29.66,35,4.38,02036
2,38,512,330,64.45,163,31.84,19,3.71,02038
2,39,474,272,57.38,178,37.55,24,5.06,02039
2,40,996,659,66.16,289,29.02,48,4.82,02040
2,41,848,527,62.15,274,32.31,47,5.54,02041
2,42,792,539,68.06,216,27.27,37,4.67,02042
2,43,963,618,64.17,308,31.98,37,3.84,02043
2,45,830,589,70.96,202,24.34,39,4.7,02045
2,46,403,259,64.27,119,29.53,25,6.2,02046
3,1,793,718,90.54,15,1.89,60,7.57,03001
3,2,596,550,92.28,8,1.34,38,6.38,03002
3,3,541,455,84.1,58,10.72,28,5.18,03003
3,4,318,286,89.94,3,0.94,29,9.12,03004
3,5,352,320,90.91,12,3.41,20,5.68,03005
3,6,935,681,72.83,188,20.11,66,7.06,03006
3,8,478,420,87.87,15,3.14,43,9.0,03008
3,9,672,584,86.9,11,1.64,77,11.46,03009
3,10,306,284,92.81,7,2.29,15,4.9,03010
3,11,644,572,88.82,16,2.48,56,8.7,03011
3,12,504,464,92.06,7,1.39,33,6.55,03012
3,13,772,604,78.24,116,15.03,52,6.74,03013
3,14,748,596,79.68,96,12.83,56,7.49,03014
3,15,567,517,91.18,10,1.76,40,7.05,03015
3,16,483,436,90.27,13,2.69,34,7.04,03016
3,17,941,797,84.7,79,8.4,65,6.91,03017
3,18,611,525,85.92,28,4.58,58,9.49,03018
3,19,817,559,68.42,201,24.6,57,6.98,03019
3,20,637,571,89.64,23,3.61,43,6.75,03020
3,21,721,549,76.14,147,20.39,25,3.47,03021
3,22,932,692,74.25,188,20.17,52,5.58,03022
3,23,405,368,90.86,11,2.72,26,6.42,03023
3,24,513,456,88.89,17,3.31,40,7.8,03024
3,25,1183,839,70.92,276,23.33,68,5.75,03025
3,26,749,572,76.37,140,18.69,37,4.94,03026
3,27,853,586,68.7,210,24.62,57,6.68,03027
3,28,367,339,92.37,14,3.81,14,3.81,03028
3,29,662,591,89.27,21,3.17,50,7.55,03029
3,30,293,262,89.42,7,2.39,24,8.19,03030
3,31,690,623,90.29,10,1.45,57,8.26,03031
3,32,1064,843,79.23,174,16.35,47,4.42,03032
3,33,840,649,77.26,143,17.02,48,5.71,03033
3,34,1003,803,80.06,144,14.36,56,5.58,03034
3,35,110,90,81.82,10,9.09,10,9.09,03035
3,36,293,264,90.1,7,2.39,22,7.51,03036
