ward,precinct,total,Andr̩ Thapedi,Andr̩ Thapedi Percent,precinct_id
6,4,228,228,100.0,06004
6,5,205,205,100.0,06005
6,6,450,450,100.0,06006
6,7,336,336,100.0,06007
6,9,373,373,100.0,06009
6,11,329,329,100.0,06011
6,12,242,242,100.0,06012
6,15,173,173,100.0,06015
6,18,212,212,100.0,06018
6,19,158,158,100.0,06019
6,21,160,160,100.0,06021
6,22,63,63,100.0,06022
6,23,186,186,100.0,06023
6,24,166,166,100.0,06024
6,26,217,217,100.0,06026
6,28,113,113,100.0,06028
6,30,287,287,100.0,06030
6,32,386,386,100.0,06032
6,33,358,358,100.0,06033
6,40,306,306,100.0,06040
6,47,258,258,100.0,06047
6,48,354,354,100.0,06048
8,26,0,0,0.0,08026
15,7,109,109,100.0,15007
15,22,165,165,100.0,15022
16,6,109,109,100.0,16006
16,16,221,221,100.0,16016
16,24,122,122,100.0,16024
16,29,193,193,100.0,16029
16,30,156,156,100.0,16030
16,33,174,174,100.0,16033
17,1,148,148,100.0,17001
17,3,321,321,100.0,17003
17,8,163,163,100.0,17008
17,11,53,53,100.0,17011
17,13,229,229,100.0,17013
17,17,301,301,100.0,17017
17,19,181,181,100.0,17019
17,30,228,228,100.0,17030
17,31,191,191,100.0,17031
17,32,71,71,100.0,17032
17,33,189,189,100.0,17033
17,34,69,69,100.0,17034
17,35,222,222,100.0,17035
17,36,271,271,100.0,17036
17,37,50,50,100.0,17037
18,1,361,361,100.0,18001
18,2,395,395,100.0,18002
18,3,301,301,100.0,18003
18,5,214,214,100.0,18005
18,6,214,214,100.0,18006
18,11,333,333,100.0,18011
18,12,120,120,100.0,18012
18,15,10,10,100.0,18015
18,17,388,388,100.0,18017
18,21,294,294,100.0,18021
18,23,369,369,100.0,18023
18,24,349,349,100.0,18024
18,25,397,397,100.0,18025
18,27,315,315,100.0,18027
18,28,334,334,100.0,18028
18,29,420,420,100.0,18029
18,30,430,430,100.0,18030
18,31,399,399,100.0,18031
18,33,248,248,100.0,18033
18,39,313,313,100.0,18039
18,40,397,397,100.0,18040
18,42,312,312,100.0,18042
18,43,41,41,100.0,18043
18,44,321,321,100.0,18044
18,45,373,373,100.0,18045
18,46,177,177,100.0,18046
18,47,283,283,100.0,18047
18,48,265,265,100.0,18048
18,49,240,240,100.0,18049
18,50,165,165,100.0,18050
20,8,96,96,100.0,20008
20,28,218,218,100.0,20028
