ward,precinct,total,Delia C. Ramirez,Delia C. Ramirez Percent,precinct_id
1,1,601,601,100.0,01001
1,3,740,740,100.0,01003
1,4,716,716,100.0,01004
1,5,639,639,100.0,01005
1,6,529,529,100.0,01006
1,8,85,85,100.0,01008
1,10,763,763,100.0,01010
1,11,535,535,100.0,01011
1,14,592,592,100.0,01014
1,15,534,534,100.0,01015
1,17,438,438,100.0,01017
1,18,580,580,100.0,01018
1,20,486,486,100.0,01020
1,21,771,771,100.0,01021
1,22,408,408,100.0,01022
1,24,529,529,100.0,01024
1,25,586,586,100.0,01025
1,26,340,340,100.0,01026
1,27,652,652,100.0,01027
1,29,766,766,100.0,01029
1,30,666,666,100.0,01030
1,31,537,537,100.0,01031
1,32,416,416,100.0,01032
1,33,593,593,100.0,01033
1,35,729,729,100.0,01035
1,36,692,692,100.0,01036
1,37,454,454,100.0,01037
1,38,564,564,100.0,01038
1,39,509,509,100.0,01039
1,40,539,539,100.0,01040
1,44,562,562,100.0,01044
2,1,199,199,100.0,02001
2,3,700,700,100.0,02003
2,4,624,624,100.0,02004
2,5,731,731,100.0,02005
2,14,598,598,100.0,02014
2,15,82,82,100.0,02015
2,16,588,588,100.0,02016
2,17,105,105,100.0,02017
2,21,651,651,100.0,02021
26,1,425,425,100.0,26001
26,2,322,322,100.0,26002
26,3,490,490,100.0,26003
26,4,207,207,100.0,26004
26,5,349,349,100.0,26005
26,6,339,339,100.0,26006
26,8,232,232,100.0,26008
26,9,334,334,100.0,26009
26,10,390,390,100.0,26010
26,11,351,351,100.0,26011
26,12,400,400,100.0,26012
26,13,224,224,100.0,26013
26,14,314,314,100.0,26014
26,15,249,249,100.0,26015
26,16,211,211,100.0,26016
26,18,276,276,100.0,26018
26,19,128,128,100.0,26019
26,20,340,340,100.0,26020
26,21,482,482,100.0,26021
26,22,218,218,100.0,26022
26,23,291,291,100.0,26023
26,24,308,308,100.0,26024
26,25,312,312,100.0,26025
26,26,283,283,100.0,26026
26,27,429,429,100.0,26027
26,28,98,98,100.0,26028
26,29,207,207,100.0,26029
26,30,330,330,100.0,26030
26,31,164,164,100.0,26031
26,32,475,475,100.0,26032
26,33,466,466,100.0,26033
26,34,19,19,100.0,26034
26,35,339,339,100.0,26035
26,36,397,397,100.0,26036
26,38,191,191,100.0,26038
26,39,464,464,100.0,26039
26,40,241,241,100.0,26040
26,41,429,429,100.0,26041
26,42,314,314,100.0,26042
26,43,251,251,100.0,26043
26,44,212,212,100.0,26044
26,45,185,185,100.0,26045
26,47,275,275,100.0,26047
26,48,415,415,100.0,26048
26,49,233,233,100.0,26049
27,5,2,2,100.0,27005
27,7,686,686,100.0,27007
27,13,181,181,100.0,27013
27,24,35,35,100.0,27024
27,27,23,23,100.0,27027
27,40,81,81,100.0,27040
27,43,6,6,100.0,27043
31,4,129,129,100.0,31004
31,16,177,177,100.0,31016
35,3,344,344,100.0,35003
35,12,365,365,100.0,35012
35,13,353,353,100.0,35013
35,16,291,291,100.0,35016
35,19,124,124,100.0,35019
35,21,456,456,100.0,35021
36,12,143,143,100.0,36012
37,12,112,112,100.0,37012
37,22,5,5,100.0,37022
