ward,precinct,total,Tyria B. Walton,Tyria B. Walton Percent,precinct_id
5,12,126,126,100.0,05012
6,1,354,354,100.0,06001
6,2,370,370,100.0,06002
6,3,373,373,100.0,06003
6,4,234,234,100.0,06004
6,5,199,199,100.0,06005
6,6,416,416,100.0,06006
6,8,340,340,100.0,06008
6,10,227,227,100.0,06010
6,12,230,230,100.0,06012
6,13,250,250,100.0,06013
6,14,318,318,100.0,06014
6,15,52,52,100.0,06015
6,16,381,381,100.0,06016
6,17,238,238,100.0,06017
6,18,208,208,100.0,06018
6,19,277,277,100.0,06019
6,20,239,239,100.0,06020
6,21,7,7,100.0,06021
6,22,183,183,100.0,06022
6,25,168,168,100.0,06025
6,26,34,34,100.0,06026
6,27,202,202,100.0,06027
6,29,343,343,100.0,06029
6,30,19,19,100.0,06030
6,31,368,368,100.0,06031
6,33,339,339,100.0,06033
6,34,351,351,100.0,06034
6,35,310,310,100.0,06035
6,36,364,364,100.0,06036
6,37,393,393,100.0,06037
6,38,380,380,100.0,06038
6,39,265,265,100.0,06039
6,40,191,191,100.0,06040
6,41,335,335,100.0,06041
6,42,312,312,100.0,06042
6,43,317,317,100.0,06043
6,44,373,373,100.0,06044
6,45,340,340,100.0,06045
6,46,263,263,100.0,06046
6,47,247,247,100.0,06047
7,7,295,295,100.0,07007
7,10,408,408,100.0,07010
7,11,341,341,100.0,07011
7,12,265,265,100.0,07012
7,13,129,129,100.0,07013
7,14,369,369,100.0,07014
7,15,327,327,100.0,07015
7,16,304,304,100.0,07016
7,17,255,255,100.0,07017
7,18,303,303,100.0,07018
7,19,318,318,100.0,07019
7,20,248,248,100.0,07020
7,21,242,242,100.0,07021
7,22,279,279,100.0,07022
7,23,324,324,100.0,07023
7,24,260,260,100.0,07024
7,25,245,245,100.0,07025
7,26,280,280,100.0,07026
7,27,249,249,100.0,07027
7,28,236,236,100.0,07028
7,29,286,286,100.0,07029
7,30,265,265,100.0,07030
7,31,242,242,100.0,07031
7,32,425,425,100.0,07032
7,33,418,418,100.0,07033
7,34,427,427,100.0,07034
7,35,358,358,100.0,07035
7,36,417,417,100.0,07036
7,37,335,335,100.0,07037
7,38,312,312,100.0,07038
7,39,292,292,100.0,07039
7,40,282,282,100.0,07040
7,41,330,330,100.0,07041
7,42,330,330,100.0,07042
7,43,318,318,100.0,07043
7,44,293,293,100.0,07044
7,45,292,292,100.0,07045
7,46,92,92,100.0,07046
8,2,74,74,100.0,08002
8,3,390,390,100.0,08003
8,4,386,386,100.0,08004
8,5,367,367,100.0,08005
8,6,339,339,100.0,08006
8,7,370,370,100.0,08007
8,8,353,353,100.0,08008
8,9,220,220,100.0,08009
8,10,426,426,100.0,08010
8,11,290,290,100.0,08011
8,12,282,282,100.0,08012
8,13,367,367,100.0,08013
8,14,246,246,100.0,08014
8,15,308,308,100.0,08015
8,16,105,105,100.0,08016
8,17,291,291,100.0,08017
8,18,298,298,100.0,08018
8,19,377,377,100.0,08019
8,20,379,379,100.0,08020
8,21,444,444,100.0,08021
8,22,296,296,100.0,08022
8,23,257,257,100.0,08023
8,24,173,173,100.0,08024
8,25,315,315,100.0,08025
8,26,157,157,100.0,08026
8,27,362,362,100.0,08027
8,28,338,338,100.0,08028
8,29,347,347,100.0,08029
8,30,359,359,100.0,08030
8,31,249,249,100.0,08031
8,32,258,258,100.0,08032
8,33,255,255,100.0,08033
8,34,324,324,100.0,08034
8,35,382,382,100.0,08035
8,36,328,328,100.0,08036
8,37,260,260,100.0,08037
8,38,245,245,100.0,08038
8,39,313,313,100.0,08039
8,40,260,260,100.0,08040
8,41,348,348,100.0,08041
8,43,182,182,100.0,08043
8,44,222,222,100.0,08044
8,45,275,275,100.0,08045
8,46,266,266,100.0,08046
8,47,284,284,100.0,08047
8,48,283,283,100.0,08048
8,49,318,318,100.0,08049
8,50,329,329,100.0,08050
8,51,327,327,100.0,08051
8,52,409,409,100.0,08052
8,53,208,208,100.0,08053
8,54,263,263,100.0,08054
8,55,245,245,100.0,08055
8,56,349,349,100.0,08056
9,12,348,348,100.0,09012
9,13,329,329,100.0,09013
9,14,307,307,100.0,09014
9,23,351,351,100.0,09023
9,24,315,315,100.0,09024
