ward,precinct,total,Lynn Weaver Boyle,Lynn Weaver Boyle Percent,precinct_id
1,1,469,469,100.0,01001
1,2,417,417,100.0,01002
1,3,613,613,100.0,01003
1,4,572,572,100.0,01004
1,5,510,510,100.0,01005
1,6,412,412,100.0,01006
1,7,338,338,100.0,01007
1,8,428,428,100.0,01008
1,9,332,332,100.0,01009
1,10,638,638,100.0,01010
1,11,589,589,100.0,01011
1,12,558,558,100.0,01012
1,13,248,248,100.0,01013
1,14,456,456,100.0,01014
1,15,438,438,100.0,01015
1,16,514,514,100.0,01016
1,17,424,424,100.0,01017
1,18,473,473,100.0,01018
1,19,582,582,100.0,01019
1,20,394,394,100.0,01020
1,21,711,711,100.0,01021
1,22,326,326,100.0,01022
1,23,666,666,100.0,01023
1,24,419,419,100.0,01024
1,25,484,484,100.0,01025
1,26,286,286,100.0,01026
1,27,550,550,100.0,01027
1,28,155,155,100.0,01028
1,29,640,640,100.0,01029
1,30,526,526,100.0,01030
1,31,407,407,100.0,01031
1,32,448,448,100.0,01032
1,33,514,514,100.0,01033
1,34,408,408,100.0,01034
1,35,624,624,100.0,01035
1,36,578,578,100.0,01036
1,37,494,494,100.0,01037
1,38,464,464,100.0,01038
1,39,395,395,100.0,01039
1,40,420,420,100.0,01040
1,41,276,276,100.0,01041
1,42,170,170,100.0,01042
1,43,297,297,100.0,01043
1,44,452,452,100.0,01044
2,1,558,558,100.0,02001
2,2,323,323,100.0,02002
2,3,571,571,100.0,02003
2,4,500,500,100.0,02004
2,5,611,611,100.0,02005
2,6,524,524,100.0,02006
2,7,459,459,100.0,02007
2,8,606,606,100.0,02008
2,9,436,436,100.0,02009
2,10,309,309,100.0,02010
2,11,460,460,100.0,02011
2,12,394,394,100.0,02012
2,13,379,379,100.0,02013
2,14,475,475,100.0,02014
2,15,438,438,100.0,02015
2,16,480,480,100.0,02016
2,17,530,530,100.0,02017
2,18,412,412,100.0,02018
2,19,281,281,100.0,02019
2,20,626,626,100.0,02020
2,21,518,518,100.0,02021
2,22,474,474,100.0,02022
2,23,273,273,100.0,02023
2,24,409,409,100.0,02024
2,25,560,560,100.0,02025
2,26,384,384,100.0,02026
2,27,392,392,100.0,02027
2,28,532,532,100.0,02028
2,29,501,501,100.0,02029
2,30,387,387,100.0,02030
2,31,528,528,100.0,02031
2,32,394,394,100.0,02032
2,33,645,645,100.0,02033
2,34,329,329,100.0,02034
2,35,627,627,100.0,02035
2,36,503,503,100.0,02036
2,37,403,403,100.0,02037
2,38,396,396,100.0,02038
2,39,279,279,100.0,02039
2,40,673,673,100.0,02040
2,41,560,560,100.0,02041
2,42,533,533,100.0,02042
2,43,616,616,100.0,02043
2,44,265,265,100.0,02044
2,45,571,571,100.0,02045
2,46,241,241,100.0,02046
3,1,584,584,100.0,03001
3,2,462,462,100.0,03002
3,3,341,341,100.0,03003
3,4,533,533,100.0,03004
3,5,221,221,100.0,03005
3,6,620,620,100.0,03006
3,7,245,245,100.0,03007
3,8,333,333,100.0,03008
3,9,513,513,100.0,03009
3,10,205,205,100.0,03010
3,11,488,488,100.0,03011
3,12,408,408,100.0,03012
3,13,562,562,100.0,03013
3,14,536,536,100.0,03014
3,15,425,425,100.0,03015
3,16,362,362,100.0,03016
3,17,696,696,100.0,03017
3,18,564,564,100.0,03018
3,19,578,578,100.0,03019
3,20,449,449,100.0,03020
3,21,459,459,100.0,03021
3,22,636,636,100.0,03022
3,23,325,325,100.0,03023
3,24,359,359,100.0,03024
3,25,764,764,100.0,03025
3,26,520,520,100.0,03026
3,27,593,593,100.0,03027
3,28,202,202,100.0,03028
3,29,424,424,100.0,03029
3,30,386,386,100.0,03030
3,31,517,517,100.0,03031
3,32,754,754,100.0,03032
3,33,583,583,100.0,03033
3,34,697,697,100.0,03034
3,35,235,235,100.0,03035
3,36,198,198,100.0,03036
3,37,409,409,100.0,03037
3,38,311,311,100.0,03038
3,39,940,940,100.0,03039
3,40,435,435,100.0,03040
3,41,302,302,100.0,03041
4,1,701,701,100.0,04001
4,2,639,639,100.0,04002
4,3,382,382,100.0,04003
4,4,598,598,100.0,04004
4,5,472,472,100.0,04005
4,6,494,494,100.0,04006
4,7,610,610,100.0,04007
4,8,517,517,100.0,04008
4,9,522,522,100.0,04009
4,10,615,615,100.0,04010
4,11,443,443,100.0,04011
4,12,628,628,100.0,04012
4,13,655,655,100.0,04013
4,14,445,445,100.0,04014
4,15,532,532,100.0,04015
4,16,852,852,100.0,04016
4,17,578,578,100.0,04017
4,18,459,459,100.0,04018
4,19,275,275,100.0,04019
4,20,372,372,100.0,04020
4,21,551,551,100.0,04021
4,22,438,438,100.0,04022
4,23,584,584,100.0,04023
4,24,455,455,100.0,04024
4,25,602,602,100.0,04025
4,26,434,434,100.0,04026
4,27,658,658,100.0,04027
4,28,431,431,100.0,04028
4,29,465,465,100.0,04029
4,30,639,639,100.0,04030
4,31,426,426,100.0,04031
4,32,539,539,100.0,04032
4,33,445,445,100.0,04033
4,34,431,431,100.0,04034
4,35,563,563,100.0,04035
4,36,572,572,100.0,04036
