ward,precinct,total,Elizabeth Anne Walsh,Elizabeth Anne Walsh Percent,precinct_id
1,1,474,474,100.0,01001
1,2,422,422,100.0,01002
1,3,607,607,100.0,01003
1,4,581,581,100.0,01004
1,5,505,505,100.0,01005
1,6,414,414,100.0,01006
1,7,328,328,100.0,01007
1,8,433,433,100.0,01008
1,9,333,333,100.0,01009
1,10,637,637,100.0,01010
1,11,590,590,100.0,01011
1,12,560,560,100.0,01012
1,13,247,247,100.0,01013
1,14,449,449,100.0,01014
1,15,444,444,100.0,01015
1,16,511,511,100.0,01016
1,17,422,422,100.0,01017
1,18,472,472,100.0,01018
1,19,583,583,100.0,01019
1,20,392,392,100.0,01020
1,21,706,706,100.0,01021
1,22,330,330,100.0,01022
1,23,657,657,100.0,01023
1,24,411,411,100.0,01024
1,25,490,490,100.0,01025
1,26,295,295,100.0,01026
1,27,546,546,100.0,01027
1,28,163,163,100.0,01028
1,29,649,649,100.0,01029
1,30,520,520,100.0,01030
1,31,411,411,100.0,01031
1,32,453,453,100.0,01032
1,33,523,523,100.0,01033
1,34,405,405,100.0,01034
1,35,613,613,100.0,01035
1,36,571,571,100.0,01036
1,37,490,490,100.0,01037
1,38,468,468,100.0,01038
1,39,389,389,100.0,01039
1,40,418,418,100.0,01040
1,41,277,277,100.0,01041
1,42,168,168,100.0,01042
1,43,293,293,100.0,01043
1,44,453,453,100.0,01044
2,1,557,557,100.0,02001
2,2,318,318,100.0,02002
2,3,566,566,100.0,02003
2,4,500,500,100.0,02004
2,5,609,609,100.0,02005
2,6,523,523,100.0,02006
2,7,453,453,100.0,02007
2,8,608,608,100.0,02008
2,9,436,436,100.0,02009
2,10,302,302,100.0,02010
2,11,453,453,100.0,02011
2,12,379,379,100.0,02012
2,13,380,380,100.0,02013
2,14,471,471,100.0,02014
2,15,431,431,100.0,02015
2,16,472,472,100.0,02016
2,17,525,525,100.0,02017
2,18,404,404,100.0,02018
2,19,270,270,100.0,02019
2,20,627,627,100.0,02020
2,21,513,513,100.0,02021
2,22,472,472,100.0,02022
2,23,261,261,100.0,02023
2,24,406,406,100.0,02024
2,25,551,551,100.0,02025
2,26,389,389,100.0,02026
2,27,393,393,100.0,02027
2,28,526,526,100.0,02028
2,29,500,500,100.0,02029
2,30,390,390,100.0,02030
2,31,516,516,100.0,02031
2,32,396,396,100.0,02032
2,33,636,636,100.0,02033
2,34,324,324,100.0,02034
2,35,628,628,100.0,02035
2,36,502,502,100.0,02036
2,37,401,401,100.0,02037
2,38,393,393,100.0,02038
2,39,283,283,100.0,02039
2,40,677,677,100.0,02040
2,41,557,557,100.0,02041
2,42,535,535,100.0,02042
2,43,609,609,100.0,02043
2,44,270,270,100.0,02044
2,45,574,574,100.0,02045
2,46,240,240,100.0,02046
3,1,578,578,100.0,03001
3,2,437,437,100.0,03002
3,3,344,344,100.0,03003
3,4,531,531,100.0,03004
3,5,223,223,100.0,03005
3,6,612,612,100.0,03006
3,7,247,247,100.0,03007
3,8,327,327,100.0,03008
3,9,503,503,100.0,03009
3,10,197,197,100.0,03010
3,11,486,486,100.0,03011
3,12,392,392,100.0,03012
3,13,549,549,100.0,03013
3,14,531,531,100.0,03014
3,15,418,418,100.0,03015
3,16,358,358,100.0,03016
3,17,682,682,100.0,03017
3,18,553,553,100.0,03018
3,19,579,579,100.0,03019
3,20,460,460,100.0,03020
3,21,472,472,100.0,03021
3,22,630,630,100.0,03022
3,23,322,322,100.0,03023
3,24,364,364,100.0,03024
3,25,764,764,100.0,03025
3,26,499,499,100.0,03026
3,27,589,589,100.0,03027
3,28,196,196,100.0,03028
3,29,422,422,100.0,03029
3,30,381,381,100.0,03030
3,31,501,501,100.0,03031
3,32,743,743,100.0,03032
3,33,586,586,100.0,03033
3,34,692,692,100.0,03034
3,35,232,232,100.0,03035
3,36,202,202,100.0,03036
3,37,406,406,100.0,03037
3,38,305,305,100.0,03038
3,39,933,933,100.0,03039
3,40,441,441,100.0,03040
3,41,294,294,100.0,03041
4,1,679,679,100.0,04001
4,2,638,638,100.0,04002
4,3,370,370,100.0,04003
4,4,595,595,100.0,04004
4,5,459,459,100.0,04005
4,6,477,477,100.0,04006
4,7,590,590,100.0,04007
4,8,491,491,100.0,04008
4,9,492,492,100.0,04009
4,10,588,588,100.0,04010
4,11,434,434,100.0,04011
4,12,601,601,100.0,04012
4,13,649,649,100.0,04013
4,14,427,427,100.0,04014
4,15,514,514,100.0,04015
4,16,847,847,100.0,04016
4,17,575,575,100.0,04017
4,18,450,450,100.0,04018
4,19,266,266,100.0,04019
4,20,373,373,100.0,04020
4,21,543,543,100.0,04021
4,22,419,419,100.0,04022
4,23,569,569,100.0,04023
4,24,438,438,100.0,04024
4,25,597,597,100.0,04025
4,26,413,413,100.0,04026
4,27,625,625,100.0,04027
4,28,408,408,100.0,04028
4,29,455,455,100.0,04029
4,30,612,612,100.0,04030
4,31,400,400,100.0,04031
4,32,518,518,100.0,04032
4,33,433,433,100.0,04033
4,34,408,408,100.0,04034
4,35,534,534,100.0,04035
4,36,545,545,100.0,04036
4,37,907,907,100.0,04037
4,38,529,529,100.0,04038
5,1,373,373,100.0,05001
5,2,286,286,100.0,05002
5,3,457,457,100.0,05003
5,4,598,598,100.0,05004
5,5,385,385,100.0,05005
5,6,318,318,100.0,05006
5,7,403,403,100.0,05007
5,8,444,444,100.0,05008
5,9,527,527,100.0,05009
5,10,336,336,100.0,05010
5,11,430,430,100.0,05011
5,12,256,256,100.0,05012
5,13,371,371,100.0,05013
5,14,333,333,100.0,05014
5,15,437,437,100.0,05015
5,16,401,401,100.0,05016
5,17,334,334,100.0,05017
5,18,404,404,100.0,05018
5,19,407,407,100.0,05019
5,20,465,465,100.0,05020
5,21,464,464,100.0,05021
5,22,503,503,100.0,05022
5,23,763,763,100.0,05023
5,24,548,548,100.0,05024
5,25,382,382,100.0,05025
5,26,394,394,100.0,05026
5,27,441,441,100.0,05027
5,28,421,421,100.0,05028
5,29,439,439,100.0,05029
5,30,251,251,100.0,05030
5,31,306,306,100.0,05031
5,32,492,492,100.0,05032
5,33,416,416,100.0,05033
5,34,449,449,100.0,05034
5,35,568,568,100.0,05035
5,36,252,252,100.0,05036
5,37,460,460,100.0,05037
5,38,371,371,100.0,05038
5,39,349,349,100.0,05039
5,40,309,309,100.0,05040
5,41,194,194,100.0,05041
6,1,340,340,100.0,06001
6,2,357,357,100.0,06002
6,3,342,342,100.0,06003
6,4,222,222,100.0,06004
6,5,203,203,100.0,06005
6,6,412,412,100.0,06006
6,7,318,318,100.0,06007
6,8,319,319,100.0,06008
6,9,327,327,100.0,06009
6,10,218,218,100.0,06010
6,11,300,300,100.0,06011
6,12,227,227,100.0,06012
6,13,238,238,100.0,06013
6,14,315,315,100.0,06014
6,15,268,268,100.0,06015
6,16,356,356,100.0,06016
6,17,229,229,100.0,06017
6,18,242,242,100.0,06018
6,19,263,263,100.0,06019
6,20,226,226,100.0,06020
6,21,131,131,100.0,06021
6,22,181,181,100.0,06022
6,23,142,142,100.0,06023
6,24,165,165,100.0,06024
6,25,157,157,100.0,06025
6,26,232,232,100.0,06026
6,27,208,208,100.0,06027
6,28,157,157,100.0,06028
6,29,322,322,100.0,06029
6,30,264,264,100.0,06030
6,31,342,342,100.0,06031
6,32,349,349,100.0,06032
6,33,326,326,100.0,06033
6,34,327,327,100.0,06034
6,35,291,291,100.0,06035
6,36,344,344,100.0,06036
6,37,368,368,100.0,06037
6,38,347,347,100.0,06038
6,39,251,251,100.0,06039
6,40,288,288,100.0,06040
6,41,317,317,100.0,06041
6,42,311,311,100.0,06042
6,43,297,297,100.0,06043
6,44,364,364,100.0,06044
6,45,321,321,100.0,06045
6,46,252,252,100.0,06046
6,47,241,241,100.0,06047
6,48,332,332,100.0,06048
7,1,310,310,100.0,07001
7,2,312,312,100.0,07002
7,3,320,320,100.0,07003
7,4,310,310,100.0,07004
7,5,280,280,100.0,07005
7,6,413,413,100.0,07006
7,7,293,293,100.0,07007
7,8,273,273,100.0,07008
7,9,517,517,100.0,07009
7,10,396,396,100.0,07010
7,11,334,334,100.0,07011
7,12,269,269,100.0,07012
7,13,176,176,100.0,07013
7,14,353,353,100.0,07014
7,15,320,320,100.0,07015
7,16,296,296,100.0,07016
7,17,240,240,100.0,07017
7,18,303,303,100.0,07018
7,19,305,305,100.0,07019
7,20,250,250,100.0,07020
7,21,244,244,100.0,07021
7,22,276,276,100.0,07022
7,23,312,312,100.0,07023
7,24,255,255,100.0,07024
7,25,243,243,100.0,07025
7,26,266,266,100.0,07026
7,27,234,234,100.0,07027
7,28,219,219,100.0,07028
7,29,279,279,100.0,07029
7,30,253,253,100.0,07030
7,31,238,238,100.0,07031
7,32,404,404,100.0,07032
7,33,404,404,100.0,07033
7,34,402,402,100.0,07034
7,35,362,362,100.0,07035
7,36,408,408,100.0,07036
7,37,331,331,100.0,07037
7,38,306,306,100.0,07038
7,39,285,285,100.0,07039
7,40,280,280,100.0,07040
7,41,323,323,100.0,07041
7,42,320,320,100.0,07042
7,43,302,302,100.0,07043
7,44,279,279,100.0,07044
7,45,269,269,100.0,07045
7,46,92,92,100.0,07046
8,1,264,264,100.0,08001
8,2,289,289,100.0,08002
8,3,364,364,100.0,08003
8,4,364,364,100.0,08004
8,5,354,354,100.0,08005
8,6,330,330,100.0,08006
8,7,356,356,100.0,08007
8,8,333,333,100.0,08008
8,9,211,211,100.0,08009
8,10,410,410,100.0,08010
8,11,287,287,100.0,08011
8,12,276,276,100.0,08012
8,13,353,353,100.0,08013
8,14,246,246,100.0,08014
8,15,294,294,100.0,08015
8,16,104,104,100.0,08016
8,17,288,288,100.0,08017
8,18,292,292,100.0,08018
8,19,368,368,100.0,08019
8,20,356,356,100.0,08020
8,21,432,432,100.0,08021
8,22,295,295,100.0,08022
8,23,250,250,100.0,08023
8,24,165,165,100.0,08024
8,25,293,293,100.0,08025
8,26,261,261,100.0,08026
