ward,precinct,total,Perla Tirado,Perla Tirado Percent,precinct_id
3,28,20,20,100.0,03028
11,1,367,367,100.0,11001
11,2,32,32,100.0,11002
11,3,386,386,100.0,11003
11,4,300,300,100.0,11004
11,5,487,487,100.0,11005
11,7,288,288,100.0,11007
11,8,363,363,100.0,11008
11,9,317,317,100.0,11009
11,10,363,363,100.0,11010
11,11,387,387,100.0,11011
11,17,457,457,100.0,11017
11,19,496,496,100.0,11019
11,21,387,387,100.0,11021
11,22,447,447,100.0,11022
11,24,396,396,100.0,11024
11,25,427,427,100.0,11025
11,26,364,364,100.0,11026
11,29,382,382,100.0,11029
11,31,297,297,100.0,11031
11,33,490,490,100.0,11033
11,37,1,1,100.0,11037
11,38,199,199,100.0,11038
12,1,326,326,100.0,12001
12,2,266,266,100.0,12002
12,3,406,406,100.0,12003
12,4,406,406,100.0,12004
12,5,288,288,100.0,12005
12,6,408,408,100.0,12006
12,7,315,315,100.0,12007
12,8,313,313,100.0,12008
12,9,262,262,100.0,12009
12,10,438,438,100.0,12010
12,11,380,380,100.0,12011
12,12,356,356,100.0,12012
12,13,386,386,100.0,12013
12,14,322,322,100.0,12014
12,15,310,310,100.0,12015
12,16,317,317,100.0,12016
12,17,405,405,100.0,12017
12,18,310,310,100.0,12018
12,19,352,352,100.0,12019
12,20,445,445,100.0,12020
12,21,379,379,100.0,12021
12,22,354,354,100.0,12022
12,23,345,345,100.0,12023
14,5,518,518,100.0,14005
14,6,190,190,100.0,14006
14,10,262,262,100.0,14010
14,11,202,202,100.0,14011
14,14,354,354,100.0,14014
14,15,346,346,100.0,14015
14,16,249,249,100.0,14016
14,17,281,281,100.0,14017
14,19,359,359,100.0,14019
14,20,263,263,100.0,14020
14,21,342,342,100.0,14021
14,25,176,176,100.0,14025
14,26,265,265,100.0,14026
14,29,250,250,100.0,14029
14,30,261,261,100.0,14030
14,31,195,195,100.0,14031
15,1,290,290,100.0,15001
15,4,358,358,100.0,15004
15,5,291,291,100.0,15005
15,6,348,348,100.0,15006
15,8,333,333,100.0,15008
15,9,460,460,100.0,15009
15,10,446,446,100.0,15010
15,11,427,427,100.0,15011
15,12,419,419,100.0,15012
15,13,343,343,100.0,15013
15,14,289,289,100.0,15014
15,15,292,292,100.0,15015
15,16,400,400,100.0,15016
15,19,273,273,100.0,15019
16,1,428,428,100.0,16001
16,2,76,76,100.0,16002
16,4,240,240,100.0,16004
16,6,30,30,100.0,16006
16,7,244,244,100.0,16007
16,11,225,225,100.0,16011
16,13,288,288,100.0,16013
16,17,328,328,100.0,16017
16,18,258,258,100.0,16018
16,19,223,223,100.0,16019
16,22,209,209,100.0,16022
16,23,361,361,100.0,16023
16,32,344,344,100.0,16032
16,35,349,349,100.0,16035
17,6,301,301,100.0,17006
17,7,277,277,100.0,17007
17,12,270,270,100.0,17012
17,14,194,194,100.0,17014
17,16,319,319,100.0,17016
17,25,173,173,100.0,17025
20,4,33,33,100.0,20004
20,15,310,310,100.0,20015
20,17,166,166,100.0,20017
20,20,247,247,100.0,20020
22,3,554,554,100.0,22003
22,4,280,280,100.0,22004
22,5,293,293,100.0,22005
22,6,311,311,100.0,22006
22,7,298,298,100.0,22007
22,9,271,271,100.0,22009
22,10,454,454,100.0,22010
22,11,253,253,100.0,22011
22,12,251,251,100.0,22012
22,13,348,348,100.0,22013
22,14,258,258,100.0,22014
22,15,297,297,100.0,22015
22,16,287,287,100.0,22016
22,17,428,428,100.0,22017
22,18,293,293,100.0,22018
22,19,149,149,100.0,22019
22,20,355,355,100.0,22020
22,22,312,312,100.0,22022
22,24,408,408,100.0,22024
22,25,340,340,100.0,22025
24,7,196,196,100.0,24007
24,10,3,3,100.0,24010
24,16,784,784,100.0,24016
24,39,258,258,100.0,24039
25,1,323,323,100.0,25001
25,2,498,498,100.0,25002
25,4,75,75,100.0,25004
25,5,406,406,100.0,25005
25,7,415,415,100.0,25007
25,8,499,499,100.0,25008
25,9,416,416,100.0,25009
25,11,450,450,100.0,25011
25,12,431,431,100.0,25012
25,13,491,491,100.0,25013
25,14,42,42,100.0,25014
25,15,351,351,100.0,25015
25,17,461,461,100.0,25017
25,19,448,448,100.0,25019
25,22,457,457,100.0,25022
25,23,495,495,100.0,25023
25,24,429,429,100.0,25024
25,25,300,300,100.0,25025
25,26,442,442,100.0,25026
25,27,44,44,100.0,25027
25,28,442,442,100.0,25028
25,30,402,402,100.0,25030
25,32,321,321,100.0,25032
28,19,2,2,100.0,28019
