ward,precinct,total,"Gerardo Tristan, Jr.","Gerardo Tristan, Jr. Percent",precinct_id
3,28,20,20,100.0,03028
11,1,381,381,100.0,11001
11,2,30,30,100.0,11002
11,3,402,402,100.0,11003
11,4,310,310,100.0,11004
11,5,496,496,100.0,11005
11,7,312,312,100.0,11007
11,8,371,371,100.0,11008
11,9,318,318,100.0,11009
11,10,374,374,100.0,11010
11,11,391,391,100.0,11011
11,17,472,472,100.0,11017
11,19,507,507,100.0,11019
11,21,393,393,100.0,11021
11,22,463,463,100.0,11022
11,24,417,417,100.0,11024
11,25,453,453,100.0,11025
11,26,372,372,100.0,11026
11,29,402,402,100.0,11029
11,31,316,316,100.0,11031
11,33,526,526,100.0,11033
11,37,1,1,100.0,11037
11,38,206,206,100.0,11038
12,1,321,321,100.0,12001
12,2,264,264,100.0,12002
12,3,422,422,100.0,12003
12,4,393,393,100.0,12004
12,5,291,291,100.0,12005
12,6,408,408,100.0,12006
12,7,311,311,100.0,12007
12,8,309,309,100.0,12008
12,9,264,264,100.0,12009
12,10,421,421,100.0,12010
12,11,371,371,100.0,12011
12,12,344,344,100.0,12012
12,13,378,378,100.0,12013
12,14,313,313,100.0,12014
12,15,298,298,100.0,12015
12,16,304,304,100.0,12016
12,17,400,400,100.0,12017
12,18,296,296,100.0,12018
12,19,346,346,100.0,12019
12,20,422,422,100.0,12020
12,21,379,379,100.0,12021
12,22,342,342,100.0,12022
12,23,348,348,100.0,12023
14,5,465,465,100.0,14005
14,6,178,178,100.0,14006
14,10,255,255,100.0,14010
14,11,199,199,100.0,14011
14,14,336,336,100.0,14014
14,15,347,347,100.0,14015
14,16,238,238,100.0,14016
14,17,279,279,100.0,14017
14,19,340,340,100.0,14019
14,20,264,264,100.0,14020
14,21,334,334,100.0,14021
14,25,171,171,100.0,14025
14,26,254,254,100.0,14026
14,29,239,239,100.0,14029
14,30,253,253,100.0,14030
14,31,194,194,100.0,14031
15,1,278,278,100.0,15001
15,4,348,348,100.0,15004
15,5,287,287,100.0,15005
15,6,331,331,100.0,15006
15,8,321,321,100.0,15008
15,9,444,444,100.0,15009
15,10,423,423,100.0,15010
15,11,421,421,100.0,15011
15,12,408,408,100.0,15012
15,13,342,342,100.0,15013
15,14,275,275,100.0,15014
15,15,281,281,100.0,15015
15,16,380,380,100.0,15016
15,19,285,285,100.0,15019
16,1,415,415,100.0,16001
16,2,75,75,100.0,16002
16,4,247,247,100.0,16004
16,6,31,31,100.0,16006
16,7,237,237,100.0,16007
16,11,229,229,100.0,16011
16,13,274,274,100.0,16013
16,17,331,331,100.0,16017
16,18,251,251,100.0,16018
16,19,229,229,100.0,16019
16,22,218,218,100.0,16022
16,23,342,342,100.0,16023
16,32,338,338,100.0,16032
16,35,340,340,100.0,16035
17,6,308,308,100.0,17006
17,7,269,269,100.0,17007
17,12,277,277,100.0,17012
17,14,192,192,100.0,17014
17,16,317,317,100.0,17016
17,25,182,182,100.0,17025
20,4,31,31,100.0,20004
20,15,298,298,100.0,20015
20,17,164,164,100.0,20017
20,20,241,241,100.0,20020
22,3,520,520,100.0,22003
22,4,276,276,100.0,22004
22,5,267,267,100.0,22005
22,6,298,298,100.0,22006
22,7,295,295,100.0,22007
22,9,258,258,100.0,22009
22,10,424,424,100.0,22010
22,11,228,228,100.0,22011
22,12,238,238,100.0,22012
22,13,332,332,100.0,22013
22,14,263,263,100.0,22014
22,15,295,295,100.0,22015
22,16,281,281,100.0,22016
22,17,410,410,100.0,22017
22,18,278,278,100.0,22018
22,19,151,151,100.0,22019
22,20,351,351,100.0,22020
22,22,303,303,100.0,22022
22,24,402,402,100.0,22024
22,25,311,311,100.0,22025
24,7,199,199,100.0,24007
24,10,5,5,100.0,24010
24,16,769,769,100.0,24016
24,39,263,263,100.0,24039
25,1,319,319,100.0,25001
25,2,500,500,100.0,25002
25,4,85,85,100.0,25004
25,5,408,408,100.0,25005
25,7,424,424,100.0,25007
25,8,503,503,100.0,25008
25,9,410,410,100.0,25009
25,11,455,455,100.0,25011
25,12,427,427,100.0,25012
25,13,487,487,100.0,25013
25,14,43,43,100.0,25014
25,15,357,357,100.0,25015
25,17,456,456,100.0,25017
25,19,451,451,100.0,25019
25,22,452,452,100.0,25022
25,23,490,490,100.0,25023
25,24,434,434,100.0,25024
25,25,328,328,100.0,25025
25,26,428,428,100.0,25026
25,27,44,44,100.0,25027
25,28,438,438,100.0,25028
25,30,410,410,100.0,25030
25,32,324,324,100.0,25032
28,19,2,2,100.0,28019
