ward,precinct,total,Lamont J. Robinson,Lamont J. Robinson Percent,precinct_id
2,27,121,121,100.0,02027
2,29,205,205,100.0,02029
2,32,472,472,100.0,02032
2,36,608,608,100.0,02036
2,38,304,304,100.0,02038
2,39,330,330,100.0,02039
2,40,803,803,100.0,02040
2,41,450,450,100.0,02041
2,42,374,374,100.0,02042
2,43,723,723,100.0,02043
2,45,669,669,100.0,02045
3,1,559,559,100.0,03001
3,2,525,525,100.0,03002
3,3,7,7,100.0,03003
3,6,755,755,100.0,03006
3,7,321,321,100.0,03007
3,8,412,412,100.0,03008
3,9,608,608,100.0,03009
3,11,337,337,100.0,03011
3,12,290,290,100.0,03012
3,14,643,643,100.0,03014
3,15,507,507,100.0,03015
3,16,436,436,100.0,03016
3,17,839,839,100.0,03017
3,18,283,283,100.0,03018
3,20,573,573,100.0,03020
3,21,376,376,100.0,03021
3,22,752,752,100.0,03022
3,23,433,433,100.0,03023
3,24,448,448,100.0,03024
3,25,916,916,100.0,03025
3,27,280,280,100.0,03027
3,28,303,303,100.0,03028
3,29,483,483,100.0,03029
3,31,311,311,100.0,03031
3,32,904,904,100.0,03032
3,33,691,691,100.0,03033
3,34,848,848,100.0,03034
3,35,270,270,100.0,03035
3,36,174,174,100.0,03036
3,37,491,491,100.0,03037
3,38,390,390,100.0,03038
3,39,1101,1101,100.0,03039
3,40,555,555,100.0,03040
3,41,155,155,100.0,03041
4,2,738,738,100.0,04002
4,6,431,431,100.0,04006
4,11,140,140,100.0,04011
4,14,547,547,100.0,04014
4,16,860,860,100.0,04016
4,21,136,136,100.0,04021
4,25,707,707,100.0,04025
4,36,308,308,100.0,04036
4,38,206,206,100.0,04038
5,2,398,398,100.0,05002
5,12,319,319,100.0,05012
5,13,46,46,100.0,05013
5,30,102,102,100.0,05030
6,7,7,7,100.0,06007
7,1,27,27,100.0,07001
7,3,1,1,100.0,07003
8,1,307,307,100.0,08001
8,2,208,208,100.0,08002
8,9,255,255,100.0,08009
8,13,457,457,100.0,08013
8,16,128,128,100.0,08016
8,20,466,466,100.0,08020
8,21,496,496,100.0,08021
8,26,196,196,100.0,08026
8,28,396,396,100.0,08028
8,43,39,39,100.0,08043
8,54,208,208,100.0,08054
8,55,321,321,100.0,08055
20,1,428,428,100.0,20001
20,3,374,374,100.0,20003
20,7,487,487,100.0,20007
20,8,232,232,100.0,20008
20,10,303,303,100.0,20010
20,11,539,539,100.0,20011
20,12,382,382,100.0,20012
20,14,227,227,100.0,20014
20,18,285,285,100.0,20018
20,19,423,423,100.0,20019
20,23,368,368,100.0,20023
20,27,0,0,0.0,20027
20,30,183,183,100.0,20030
20,31,480,480,100.0,20031
20,33,249,249,100.0,20033
20,35,280,280,100.0,20035
20,37,122,122,100.0,20037
20,39,4,4,100.0,20039
27,38,149,149,100.0,27038
42,10,517,517,100.0,42010
42,14,526,526,100.0,42014
42,15,132,132,100.0,42015
42,19,436,436,100.0,42019
42,20,728,728,100.0,42020
42,22,302,302,100.0,42022
42,23,610,610,100.0,42023
42,25,639,639,100.0,42025
42,27,375,375,100.0,42027
42,32,678,678,100.0,42032
42,33,658,658,100.0,42033
42,39,1085,1085,100.0,42039
42,40,164,164,100.0,42040
42,42,1068,1068,100.0,42042
