ward,precinct,total,Kam Buckner,Kam Buckner Percent,precinct_id
2,2,369,369,100.0,02002
2,10,348,348,100.0,02010
2,11,525,525,100.0,02011
2,13,425,425,100.0,02013
2,18,486,486,100.0,02018
2,19,321,321,100.0,02019
2,23,318,318,100.0,02023
2,27,316,316,100.0,02027
2,29,381,381,100.0,02029
2,34,374,374,100.0,02034
2,42,249,249,100.0,02042
3,2,40,40,100.0,03002
3,4,591,591,100.0,03004
3,11,245,245,100.0,03011
3,12,210,210,100.0,03012
3,19,663,663,100.0,03019
3,21,184,184,100.0,03021
3,27,410,410,100.0,03027
3,30,444,444,100.0,03030
3,31,297,297,100.0,03031
4,3,426,426,100.0,04003
4,4,671,671,100.0,04004
4,6,173,173,100.0,04006
4,7,686,686,100.0,04007
4,8,589,589,100.0,04008
4,11,402,402,100.0,04011
4,12,703,703,100.0,04012
4,15,113,113,100.0,04015
4,18,521,521,100.0,04018
4,19,408,408,100.0,04019
4,23,162,162,100.0,04023
4,24,517,517,100.0,04024
4,26,494,494,100.0,04026
4,28,483,483,100.0,04028
4,29,524,524,100.0,04029
4,30,740,740,100.0,04030
4,32,597,597,100.0,04032
4,33,530,530,100.0,04033
4,34,147,147,100.0,04034
4,35,626,626,100.0,04035
4,36,372,372,100.0,04036
4,38,411,411,100.0,04038
5,4,686,686,100.0,05004
5,5,443,443,100.0,05005
5,6,381,381,100.0,05006
5,10,411,411,100.0,05010
5,13,390,390,100.0,05013
5,14,105,105,100.0,05014
5,15,493,493,100.0,05015
5,16,478,478,100.0,05016
5,17,203,203,100.0,05017
5,21,265,265,100.0,05021
5,28,224,224,100.0,05028
5,30,216,216,100.0,05030
5,36,300,300,100.0,05036
7,1,347,347,100.0,07001
7,2,382,382,100.0,07002
7,3,382,382,100.0,07003
7,4,372,372,100.0,07004
7,10,451,451,100.0,07010
7,11,39,39,100.0,07011
7,15,384,384,100.0,07015
7,16,12,12,100.0,07016
7,17,0,0,0.0,07017
7,19,353,353,100.0,07019
7,20,294,294,100.0,07020
7,21,45,45,100.0,07021
7,23,359,359,100.0,07023
7,24,298,298,100.0,07024
7,25,235,235,100.0,07025
7,28,123,123,100.0,07028
7,30,51,51,100.0,07030
7,31,267,267,100.0,07031
7,33,4,4,100.0,07033
8,1,52,52,100.0,08001
8,2,178,178,100.0,08002
8,21,34,34,100.0,08021
8,42,490,490,100.0,08042
10,18,235,235,100.0,10018
10,27,336,336,100.0,10027
10,34,205,205,100.0,10034
10,36,4,4,100.0,10036
20,5,465,465,100.0,20005
20,9,568,568,100.0,20009
20,16,469,469,100.0,20016
20,22,538,538,100.0,20022
20,24,329,329,100.0,20024
42,1,436,436,100.0,42001
42,2,761,761,100.0,42002
42,4,1399,1399,100.0,42004
42,6,498,498,100.0,42006
42,7,649,649,100.0,42007
42,8,464,464,100.0,42008
42,11,354,354,100.0,42011
42,13,405,405,100.0,42013
42,19,239,239,100.0,42019
42,24,509,509,100.0,42024
42,26,950,950,100.0,42026
42,28,569,569,100.0,42028
42,29,674,674,100.0,42029
42,30,402,402,100.0,42030
42,31,685,685,100.0,42031
42,34,410,410,100.0,42034
42,35,733,733,100.0,42035
42,40,734,734,100.0,42040
43,35,546,546,100.0,43035
