ward,precinct,total,Robin Kelly,Robin Kelly Percent,Theresa J. Raborn,Theresa J. Raborn Percent,precinct_id
5,1,528,501,94.89,27,5.11,05001
5,6,456,432,94.74,24,5.26,05006
5,10,208,206,99.04,2,0.96,05010
5,11,346,335,96.82,11,3.18,05011
5,14,448,439,97.99,9,2.01,05014
5,18,206,197,95.63,9,4.37,05018
5,23,1042,968,92.9,74,7.1,05023
5,25,377,365,96.82,12,3.18,05025
5,26,557,527,94.61,30,5.39,05026
5,28,581,550,94.66,31,5.34,05028
5,29,592,567,95.78,25,4.22,05029
5,31,437,422,96.57,15,3.43,05031
5,32,629,602,95.71,27,4.29,05032
5,35,110,105,95.45,5,4.55,05035
5,36,363,347,95.59,16,4.41,05036
5,37,631,596,94.45,35,5.55,05037
5,38,529,515,97.35,14,2.65,05038
5,40,433,411,94.92,22,5.08,05040
5,41,279,268,96.06,11,3.94,05041
7,1,276,262,94.93,14,5.07,07001
7,2,459,440,95.86,19,4.14,07002
7,3,437,424,97.03,13,2.97,07003
7,4,433,415,95.84,18,4.16,07004
7,5,404,377,93.32,27,6.68,07005
7,6,572,555,97.03,17,2.97,07006
7,7,433,403,93.07,30,6.93,07007
7,8,361,332,91.97,29,8.03,07008
7,9,742,710,95.69,32,4.31,07009
7,10,506,494,97.63,12,2.37,07010
7,11,508,494,97.24,14,2.76,07011
7,12,437,418,95.65,19,4.35,07012
7,13,283,274,96.82,9,3.18,07013
7,14,504,477,94.64,27,5.36,07014
7,15,431,419,97.22,12,2.78,07015
7,16,434,408,94.01,26,5.99,07016
7,17,354,336,94.92,18,5.08,07017
7,18,439,416,94.76,23,5.24,07018
7,19,420,409,97.38,11,2.62,07019
7,20,353,336,95.18,17,4.82,07020
7,21,342,328,95.91,14,4.09,07021
7,22,392,360,91.84,32,8.16,07022
7,23,403,389,96.53,14,3.47,07023
7,24,364,349,95.88,15,4.12,07024
7,25,371,332,89.49,39,10.51,07025
7,26,342,329,96.2,13,3.8,07026
7,27,349,342,97.99,7,2.01,07027
7,28,341,322,94.43,19,5.57,07028
7,29,396,380,95.96,16,4.04,07029
7,30,344,323,93.9,21,6.1,07030
7,31,318,294,92.45,24,7.55,07031
7,32,537,512,95.34,25,4.66,07032
7,33,524,508,96.95,16,3.05,07033
7,34,531,517,97.36,14,2.64,07034
7,35,470,449,95.53,21,4.47,07035
7,36,525,508,96.76,17,3.24,07036
7,37,441,425,96.37,16,3.63,07037
7,38,367,356,97.0,11,3.0,07038
7,39,390,383,98.21,7,1.79,07039
7,40,372,363,97.58,9,2.42,07040
7,41,403,394,97.77,9,2.23,07041
7,42,393,384,97.71,9,2.29,07042
7,43,410,393,95.85,17,4.15,07043
7,44,378,366,96.83,12,3.17,07044
7,45,434,418,96.31,16,3.69,07045
7,46,154,144,93.51,10,6.49,07046
8,4,302,295,97.68,7,2.32,08004
8,5,10,10,100.0,0,0.0,08005
8,7,497,481,96.78,16,3.22,08007
8,9,292,283,96.92,9,3.08,08009
8,17,387,379,97.93,8,2.07,08017
8,27,398,383,96.23,15,3.77,08027
8,28,457,442,96.72,15,3.28,08028
8,32,361,353,97.78,8,2.22,08032
8,36,448,435,97.1,13,2.9,08036
8,39,436,432,99.08,4,0.92,08039
8,42,578,563,97.4,15,2.6,08042
8,46,361,355,98.34,6,1.66,08046
8,49,23,21,91.3,2,8.7,08049
8,50,138,137,99.28,1,0.72,08050
8,53,269,260,96.65,9,3.35,08053
9,1,422,406,96.21,16,3.79,09001
9,2,341,330,96.77,11,3.23,09002
9,3,303,287,94.72,16,5.28,09003
9,4,333,327,98.2,6,1.8,09004
9,5,416,405,97.36,11,2.64,09005
9,6,397,383,96.47,14,3.53,09006
9,7,325,310,95.38,15,4.62,09007
9,8,458,439,95.85,19,4.15,09008
9,9,491,482,98.17,9,1.83,09009
9,10,335,321,95.82,14,4.18,09010
