ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,precinct_id
11,1,454,454,100.0,11001
11,3,492,492,100.0,11003
11,4,387,387,100.0,11004
11,5,601,601,100.0,11005
11,8,451,451,100.0,11008
11,9,383,383,100.0,11009
11,10,447,447,100.0,11010
11,11,476,476,100.0,11011
11,14,250,250,100.0,11014
11,15,171,171,100.0,11015
11,16,313,313,100.0,11016
11,17,571,571,100.0,11017
11,18,375,375,100.0,11018
11,19,619,619,100.0,11019
11,20,324,324,100.0,11020
11,22,555,555,100.0,11022
11,23,249,249,100.0,11023
11,25,555,555,100.0,11025
11,26,474,474,100.0,11026
11,27,175,175,100.0,11027
11,30,250,250,100.0,11030
11,36,222,222,100.0,11036
11,37,139,139,100.0,11037
11,38,253,253,100.0,11038
12,1,410,410,100.0,12001
12,3,502,502,100.0,12003
12,4,487,487,100.0,12004
12,5,362,362,100.0,12005
12,6,22,22,100.0,12006
12,8,427,427,100.0,12008
12,9,342,342,100.0,12009
12,13,352,352,100.0,12013
12,17,197,197,100.0,12017
12,19,428,428,100.0,12019
12,20,2,2,100.0,12020
12,21,454,454,100.0,12021
12,23,444,444,100.0,12023
14,1,329,329,100.0,14001
14,2,542,542,100.0,14002
14,4,342,342,100.0,14004
14,5,568,568,100.0,14005
14,6,167,167,100.0,14006
14,7,527,527,100.0,14007
14,8,485,485,100.0,14008
14,9,440,440,100.0,14009
14,10,279,279,100.0,14010
14,12,417,417,100.0,14012
14,13,346,346,100.0,14013
14,14,384,384,100.0,14014
14,16,290,290,100.0,14016
14,17,327,327,100.0,14017
14,18,46,46,100.0,14018
14,19,379,379,100.0,14019
14,20,310,310,100.0,14020
14,21,394,394,100.0,14021
14,22,149,149,100.0,14022
14,23,223,223,100.0,14023
14,24,427,427,100.0,14024
14,25,205,205,100.0,14025
14,26,304,304,100.0,14026
14,27,379,379,100.0,14027
14,28,348,348,100.0,14028
14,29,299,299,100.0,14029
14,30,270,270,100.0,14030
14,31,219,219,100.0,14031
15,3,48,48,100.0,15003
15,4,392,392,100.0,15004
15,5,315,315,100.0,15005
15,8,381,381,100.0,15008
15,9,480,480,100.0,15009
15,10,236,236,100.0,15010
15,11,255,255,100.0,15011
15,12,431,431,100.0,15012
15,13,312,312,100.0,15013
15,14,292,292,100.0,15014
15,15,346,346,100.0,15015
15,16,456,456,100.0,15016
15,19,336,336,100.0,15019
16,1,496,496,100.0,16001
16,2,89,89,100.0,16002
16,7,298,298,100.0,16007
16,11,317,317,100.0,16011
16,13,370,370,100.0,16013
16,17,275,275,100.0,16017
16,23,421,421,100.0,16023
16,32,390,390,100.0,16032
16,35,439,439,100.0,16035
17,1,230,230,100.0,17001
17,7,365,365,100.0,17007
17,12,507,507,100.0,17012
17,14,411,411,100.0,17014
17,16,363,363,100.0,17016
17,30,94,94,100.0,17030
20,20,0,0,0.0,20020
22,1,214,214,100.0,22001
22,2,430,430,100.0,22002
22,8,516,516,100.0,22008
22,12,301,301,100.0,22012
22,23,414,414,100.0,22023
23,3,294,294,100.0,23003
23,6,142,142,100.0,23006
23,12,26,26,100.0,23012
23,14,270,270,100.0,23014
23,17,213,213,100.0,23017
23,19,339,339,100.0,23019
23,20,36,36,100.0,23020
23,22,110,110,100.0,23022
23,24,214,214,100.0,23024
23,25,266,266,100.0,23025
23,26,160,160,100.0,23026
23,31,337,337,100.0,23031
23,37,132,132,100.0,23037
25,1,378,378,100.0,25001
25,2,608,608,100.0,25002
25,5,520,520,100.0,25005
25,6,163,163,100.0,25006
25,7,512,512,100.0,25007
25,8,571,571,100.0,25008
25,9,500,500,100.0,25009
25,11,531,531,100.0,25011
25,12,485,485,100.0,25012
25,13,591,591,100.0,25013
25,14,367,367,100.0,25014
25,15,421,421,100.0,25015
25,17,539,539,100.0,25017
25,18,285,285,100.0,25018
25,19,524,524,100.0,25019
25,22,511,511,100.0,25022
25,23,578,578,100.0,25023
25,24,505,505,100.0,25024
25,26,501,501,100.0,25026
25,27,54,54,100.0,25027
25,28,536,536,100.0,25028
25,30,487,487,100.0,25030
25,32,415,415,100.0,25032
28,19,2,2,100.0,28019
