ward,precinct,total,Camille Lilly,Camille Lilly Percent,Joshua Flynn,Joshua Flynn Percent,precinct_id
29,1,650,561,86.31,89,13.69,29001
29,4,561,507,90.37,54,9.63,29004
29,5,382,356,93.19,26,6.81,29005
29,7,503,455,90.46,48,9.54,29007
29,9,524,429,81.87,95,18.13,29009
29,10,624,527,84.46,97,15.54,29010
29,12,555,520,93.69,35,6.31,29012
29,13,490,464,94.69,26,5.31,29013
29,15,472,435,92.16,37,7.84,29015
29,17,444,423,95.27,21,4.73,29017
29,23,505,400,79.21,105,20.79,29023
29,24,386,365,94.56,21,5.44,29024
29,25,525,490,93.33,35,6.67,29025
29,26,446,414,92.83,32,7.17,29026
29,27,429,401,93.47,28,6.53,29027
29,30,283,234,82.69,49,17.31,29030
29,33,340,320,94.12,20,5.88,29033
29,35,359,336,93.59,23,6.41,29035
29,36,76,70,92.11,6,7.89,29036
29,37,438,398,90.87,40,9.13,29037
29,40,535,496,92.71,39,7.29,29040
29,41,403,361,89.58,42,10.42,29041
29,43,599,519,86.64,80,13.36,29043
29,44,606,555,91.58,51,8.42,29044
37,18,372,338,90.86,34,9.14,37018
37,29,223,215,96.41,8,3.59,37029
37,35,405,384,94.81,21,5.19,37035
37,37,463,439,94.82,24,5.18,37037
