ward,precinct,total,Robert Martwick,Robert Martwick Percent,Anthony Beckman,Anthony Beckman Percent,precinct_id
29,29,515,330,64.08,185,35.92,29029
29,31,270,148,54.81,122,45.19,29031
29,32,592,345,58.28,247,41.72,29032
38,1,516,391,75.78,125,24.22,38001
38,2,613,216,35.24,397,64.76,38002
38,3,594,338,56.9,256,43.1,38003
38,5,594,365,61.45,229,38.55,38005
38,6,601,324,53.91,277,46.09,38006
38,7,552,274,49.64,278,50.36,38007
38,9,652,324,49.69,328,50.31,38009
38,11,512,323,63.09,189,36.91,38011
38,12,593,231,38.95,362,61.05,38012
38,13,648,340,52.47,308,47.53,38013
38,14,596,382,64.09,214,35.91,38014
38,15,539,358,66.42,181,33.58,38015
38,17,695,311,44.75,384,55.25,38017
38,18,622,378,60.77,244,39.23,38018
38,19,647,390,60.28,257,39.72,38019
38,20,598,285,47.66,313,52.34,38020
38,21,541,346,63.96,195,36.04,38021
38,22,522,375,71.84,147,28.16,38022
38,24,607,316,52.06,291,47.94,38024
38,25,541,339,62.66,202,37.34,38025
38,26,606,359,59.24,247,40.76,38026
38,27,599,308,51.42,291,48.58,38027
38,28,704,347,49.29,357,50.71,38028
38,29,608,363,59.7,245,40.3,38029
38,30,586,292,49.83,294,50.17,38030
38,31,552,391,70.83,161,29.17,38031
38,32,549,372,67.76,177,32.24,38032
38,33,561,376,67.02,185,32.98,38033
38,36,548,367,66.97,181,33.03,38036
38,38,573,344,60.03,229,39.97,38038
38,40,572,397,69.41,175,30.59,38040
38,41,505,401,79.41,104,20.59,38041
39,20,716,406,56.7,310,43.3,39020
39,21,572,327,57.17,245,42.83,39021
39,23,573,334,58.29,239,41.71,39023
39,24,709,390,55.01,319,44.99,39024
39,41,4,1,25.0,3,75.0,39041
41,1,581,249,42.86,332,57.14,41001
41,2,629,267,42.45,362,57.55,41002
41,3,590,318,53.9,272,46.1,41003
41,4,581,289,49.74,292,50.26,41004
41,5,708,381,53.81,327,46.19,41005
41,7,629,302,48.01,327,51.99,41007
41,8,611,281,45.99,330,54.01,41008
41,10,608,293,48.19,315,51.81,41010
41,11,648,300,46.3,348,53.7,41011
41,12,655,309,47.18,346,52.82,41012
41,13,734,338,46.05,396,53.95,41013
41,15,759,382,50.33,377,49.67,41015
41,16,579,288,49.74,291,50.26,41016
41,17,546,276,50.55,270,49.45,41017
41,18,569,302,53.08,267,46.92,41018
41,20,451,220,48.78,231,51.22,41020
41,21,594,308,51.85,286,48.15,41021
41,22,666,320,48.05,346,51.95,41022
41,23,639,231,36.15,408,63.85,41023
41,24,592,259,43.75,333,56.25,41024
41,25,629,330,52.46,299,47.54,41025
41,26,529,242,45.75,287,54.25,41026
41,27,604,261,43.21,343,56.79,41027
41,30,583,314,53.86,269,46.14,41030
41,31,555,319,57.48,236,42.52,41031
41,33,580,283,48.79,297,51.21,41033
41,34,564,268,47.52,296,52.48,41034
41,35,738,351,47.56,387,52.44,41035
41,36,594,280,47.14,314,52.86,41036
41,37,661,348,52.65,313,47.35,41037
41,38,605,293,48.43,312,51.57,41038
41,40,687,284,41.34,403,58.66,41040
41,41,649,310,47.77,339,52.23,41041
41,42,624,269,43.11,355,56.89,41042
41,43,626,315,50.32,311,49.68,41043
41,44,634,269,42.43,365,57.57,41044
41,45,601,299,49.75,302,50.25,41045
41,46,603,286,47.43,317,52.57,41046
45,12,560,418,74.64,142,25.36,45012
45,13,491,366,74.54,125,25.46,45013
45,14,828,645,77.9,183,22.1,45014
45,15,687,546,79.48,141,20.52,45015
45,16,487,352,72.28,135,27.72,45016
45,17,675,454,67.26,221,32.74,45017
45,18,652,442,67.79,210,32.21,45018
45,19,349,233,66.76,116,33.24,45019
45,20,422,301,71.33,121,28.67,45020
45,21,537,329,61.27,208,38.73,45021
45,22,570,362,63.51,208,36.49,45022
45,23,564,339,60.11,225,39.89,45023
45,24,473,264,55.81,209,44.19,45024
45,25,384,223,58.07,161,41.93,45025
45,26,337,175,51.93,162,48.07,45026
45,27,593,344,58.01,249,41.99,45027
45,28,506,325,64.23,181,35.77,45028
45,29,393,236,60.05,157,39.95,45029
45,30,548,419,76.46,129,23.54,45030
45,31,481,358,74.43,123,25.57,45031
45,32,399,286,71.68,113,28.32,45032
45,33,410,304,74.15,106,25.85,45033
45,34,600,411,68.5,189,31.5,45034
45,35,631,439,69.57,192,30.43,45035
45,36,614,403,65.64,211,34.36,45036
45,37,579,358,61.83,221,38.17,45037
45,38,581,390,67.13,191,32.87,45038
45,39,587,356,60.65,231,39.35,45039
45,40,542,329,60.7,213,39.3,45040
45,41,545,321,58.9,224,41.1,45041
45,42,539,301,55.84,238,44.16,45042
45,43,597,316,52.93,281,47.07,45043
45,44,560,297,53.04,263,46.96,45044
45,45,396,188,47.47,208,52.53,45045
45,46,459,250,54.47,209,45.53,45046
45,47,434,225,51.84,209,48.16,45047
45,48,499,235,47.09,264,52.91,45048
