ward,precinct,total,Theresa Mah,Theresa Mah Percent,precinct_id
11,1,468,468,100.0,11001
11,3,497,497,100.0,11003
11,4,395,395,100.0,11004
11,5,614,614,100.0,11005
11,8,451,451,100.0,11008
11,9,398,398,100.0,11009
11,10,462,462,100.0,11010
11,11,492,492,100.0,11011
11,14,259,259,100.0,11014
11,15,188,188,100.0,11015
11,16,321,321,100.0,11016
11,17,562,562,100.0,11017
11,18,365,365,100.0,11018
11,19,618,618,100.0,11019
11,20,307,307,100.0,11020
11,22,565,565,100.0,11022
11,23,257,257,100.0,11023
11,25,565,565,100.0,11025
11,26,470,470,100.0,11026
11,27,188,188,100.0,11027
11,30,245,245,100.0,11030
11,36,217,217,100.0,11036
11,37,166,166,100.0,11037
11,38,254,254,100.0,11038
12,1,407,407,100.0,12001
12,3,504,504,100.0,12003
12,4,473,473,100.0,12004
12,5,384,384,100.0,12005
12,6,21,21,100.0,12006
12,8,410,410,100.0,12008
12,9,338,338,100.0,12009
12,13,344,344,100.0,12013
12,17,198,198,100.0,12017
12,19,398,398,100.0,12019
12,21,446,446,100.0,12021
12,23,425,425,100.0,12023
15,5,290,290,100.0,15005
15,9,395,395,100.0,15009
15,13,281,281,100.0,15013
15,14,280,280,100.0,15014
15,15,314,314,100.0,15015
20,20,0,0,0.0,20020
25,1,368,368,100.0,25001
25,2,608,608,100.0,25002
25,5,494,494,100.0,25005
25,6,184,184,100.0,25006
25,7,518,518,100.0,25007
25,8,571,571,100.0,25008
25,9,487,487,100.0,25009
25,11,518,518,100.0,25011
25,12,483,483,100.0,25012
25,13,583,583,100.0,25013
25,14,398,398,100.0,25014
25,15,404,404,100.0,25015
25,17,537,537,100.0,25017
25,18,293,293,100.0,25018
25,19,516,516,100.0,25019
25,22,510,510,100.0,25022
25,23,581,581,100.0,25023
25,24,512,512,100.0,25024
25,26,494,494,100.0,25026
25,27,55,55,100.0,25027
25,28,525,525,100.0,25028
25,30,484,484,100.0,25030
25,32,414,414,100.0,25032
28,19,2,2,100.0,28019
