ward,precinct,total,Nicholas ''Nick'' Smith,Nicholas ''Nick'' Smith Percent,precinct_id
6,1,417,417,100.0,06001
6,2,423,423,100.0,06002
6,3,397,397,100.0,06003
6,8,422,422,100.0,06008
6,13,298,298,100.0,06013
6,14,381,381,100.0,06014
6,16,417,417,100.0,06016
6,19,60,60,100.0,06019
6,29,425,425,100.0,06029
6,31,418,418,100.0,06031
6,34,409,409,100.0,06034
6,35,367,367,100.0,06035
6,36,432,432,100.0,06036
6,37,436,436,100.0,06037
6,38,439,439,100.0,06038
6,39,331,331,100.0,06039
6,41,396,396,100.0,06041
6,42,395,395,100.0,06042
6,43,369,369,100.0,06043
6,44,442,442,100.0,06044
6,45,393,393,100.0,06045
6,46,294,294,100.0,06046
8,15,137,137,100.0,08015
8,22,375,375,100.0,08022
8,26,162,162,100.0,08026
8,31,309,309,100.0,08031
8,32,312,312,100.0,08032
8,34,376,376,100.0,08034
8,39,377,377,100.0,08039
8,43,177,177,100.0,08043
8,45,112,112,100.0,08045
8,47,346,346,100.0,08047
8,54,24,24,100.0,08054
9,1,155,155,100.0,09001
9,7,11,11,100.0,09007
9,8,377,377,100.0,09008
9,9,325,325,100.0,09009
9,12,428,428,100.0,09012
9,13,313,313,100.0,09013
9,23,425,425,100.0,09023
9,24,374,374,100.0,09024
9,25,365,365,100.0,09025
9,28,93,93,100.0,09028
9,31,49,49,100.0,09031
9,36,321,321,100.0,09036
9,37,527,527,100.0,09037
9,38,234,234,100.0,09038
9,42,400,400,100.0,09042
9,43,115,115,100.0,09043
9,46,328,328,100.0,09046
9,47,401,401,100.0,09047
9,48,399,399,100.0,09048
9,49,411,411,100.0,09049
9,50,540,540,100.0,09050
9,51,366,366,100.0,09051
10,13,1,1,100.0,10013
10,16,4,4,100.0,10016
17,21,329,329,100.0,17021
21,31,287,287,100.0,21031
21,53,139,139,100.0,21053
