ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,precinct_id
28,1,216,216,100.0,28001
28,12,314,314,100.0,28012
28,14,335,335,100.0,28014
28,31,409,409,100.0,28031
28,39,277,277,100.0,28039
28,41,224,224,100.0,28041
28,42,228,228,100.0,28042
28,43,434,434,100.0,28043
29,2,555,555,100.0,29002
29,3,461,461,100.0,29003
29,6,324,324,100.0,29006
29,8,395,395,100.0,29008
29,11,229,229,100.0,29011
29,14,365,365,100.0,29014
29,16,394,394,100.0,29016
29,18,406,406,100.0,29018
29,19,405,405,100.0,29019
29,20,432,432,100.0,29020
29,21,563,563,100.0,29021
29,22,323,323,100.0,29022
29,28,539,539,100.0,29028
29,34,287,287,100.0,29034
29,42,449,449,100.0,29042
37,1,332,332,100.0,37001
37,5,381,381,100.0,37005
37,6,389,389,100.0,37006
37,9,379,379,100.0,37009
37,10,474,474,100.0,37010
37,11,244,244,100.0,37011
37,14,384,384,100.0,37014
37,15,381,381,100.0,37015
37,16,429,429,100.0,37016
37,17,274,274,100.0,37017
37,20,345,345,100.0,37020
37,22,160,160,100.0,37022
37,23,349,349,100.0,37023
37,24,393,393,100.0,37024
37,25,312,312,100.0,37025
37,26,486,486,100.0,37026
37,27,335,335,100.0,37027
37,29,151,151,100.0,37029
37,30,246,246,100.0,37030
37,31,421,421,100.0,37031
37,32,316,316,100.0,37032
37,33,411,411,100.0,37033
37,34,318,318,100.0,37034
37,36,343,343,100.0,37036
37,38,390,390,100.0,37038
37,39,350,350,100.0,37039
37,40,381,381,100.0,37040
37,41,387,387,100.0,37041
