ward,precinct,total,Kim Foxx,Kim Foxx Percent,Patrick W. ''Pat'' O'Brien,Patrick W. ''Pat'' O'Brien Percent,Brian Dennehy,Brian Dennehy Percent,precinct_id
1,1,700,476,68.0,164,23.43,60,8.57,01001
1,2,582,432,74.23,99,17.01,51,8.76,01002
1,3,792,504,63.64,228,28.79,60,7.58,01003
1,4,797,471,59.1,264,33.12,62,7.78,01004
1,5,729,442,60.63,234,32.1,53,7.27,01005
1,6,620,347,55.97,217,35.0,56,9.03,01006
1,7,461,289,62.69,124,26.9,48,10.41,01007
1,8,599,391,65.28,158,26.38,50,8.35,01008
1,9,474,329,69.41,112,23.63,33,6.96,01009
1,10,867,515,59.4,282,32.53,70,8.07,01010
1,11,782,493,63.04,242,30.95,47,6.01,01011
1,12,832,507,60.94,254,30.53,71,8.53,01012
1,13,338,216,63.91,93,27.51,29,8.58,01013
1,14,670,430,64.18,206,30.75,34,5.07,01014
1,15,614,366,59.61,182,29.64,66,10.75,01015
1,16,725,508,70.07,161,22.21,56,7.72,01016
1,17,591,418,70.73,122,20.64,51,8.63,01017
1,18,651,476,73.12,104,15.98,71,10.91,01018
1,19,784,575,73.34,147,18.75,62,7.91,01019
1,20,515,372,72.23,86,16.7,57,11.07,01020
1,21,987,638,64.64,275,27.86,74,7.5,01021
1,22,462,308,66.67,117,25.32,37,8.01,01022
1,23,857,649,75.73,136,15.87,72,8.4,01023
1,24,615,444,72.2,123,20.0,48,7.8,01024
1,25,658,480,72.95,125,19.0,53,8.05,01025
1,26,459,319,69.5,95,20.7,45,9.8,01026
1,27,750,467,62.27,215,28.67,68,9.07,01027
1,28,236,177,75.0,44,18.64,15,6.36,01028
1,29,872,578,66.28,239,27.41,55,6.31,01029
1,30,763,533,69.86,163,21.36,67,8.78,01030
1,31,614,404,65.8,169,27.52,41,6.68,01031
1,32,653,385,58.96,205,31.39,63,9.65,01032
1,33,774,437,56.46,284,36.69,53,6.85,01033
1,34,519,378,72.83,96,18.5,45,8.67,01034
1,35,844,450,53.32,307,36.37,87,10.31,01035
1,36,786,474,60.31,247,31.42,65,8.27,01036
1,37,718,404,56.27,243,33.84,71,9.89,01037
1,38,639,429,67.14,160,25.04,50,7.82,01038
1,39,552,329,59.6,169,30.62,54,9.78,01039
1,40,614,356,57.98,203,33.06,55,8.96,01040
1,41,390,271,69.49,76,19.49,43,11.03,01041
1,42,217,126,58.06,66,30.41,25,11.52,01042
1,43,426,262,61.5,127,29.81,37,8.69,01043
1,44,611,429,70.21,124,20.29,58,9.49,01044
2,1,775,502,64.77,202,26.06,71,9.16,02001
2,2,484,198,40.91,260,53.72,26,5.37,02002
2,3,791,484,61.19,238,30.09,69,8.72,02003
2,4,687,468,68.12,164,23.87,55,8.01,02004
2,5,814,475,58.35,257,31.57,82,10.07,02005
2,6,733,468,63.85,208,28.38,57,7.78,02006
2,7,646,399,61.76,202,31.27,45,6.97,02007
2,8,879,529,60.18,293,33.33,57,6.48,02008
2,9,688,308,44.77,348,50.58,32,4.65,02009
2,10,499,166,33.27,305,61.12,28,5.61,02010
2,11,681,241,35.39,409,60.06,31,4.55,02011
2,12,576,332,57.64,210,36.46,34,5.9,02012
2,13,538,219,40.71,284,52.79,35,6.51,02013
2,14,689,418,60.67,202,29.32,69,10.01,02014
2,15,633,415,65.56,170,26.86,48,7.58,02015
2,16,668,433,64.82,197,29.49,38,5.69,02016
2,17,760,453,59.61,245,32.24,62,8.16,02017
2,18,613,269,43.88,300,48.94,44,7.18,02018
2,19,459,155,33.77,280,61.0,24,5.23,02019
2,20,912,439,48.14,414,45.39,59,6.47,02020
2,21,728,468,64.29,202,27.75,58,7.97,02021
2,22,722,304,42.11,381,52.77,37,5.12,02022
2,23,423,144,34.04,257,60.76,22,5.2,02023
2,24,624,301,48.24,285,45.67,38,6.09,02024
2,25,798,467,58.52,278,34.84,53,6.64,02025
2,26,609,282,46.31,287,47.13,40,6.57,02026
2,27,611,224,36.66,355,58.1,32,5.24,02027
2,28,775,365,47.1,354,45.68,56,7.23,02028
2,29,752,334,44.41,373,49.6,45,5.98,02029
2,30,566,214,37.81,320,56.54,32,5.65,02030
2,31,748,275,36.76,435,58.16,38,5.08,02031
2,32,589,267,45.33,295,50.08,27,4.58,02032
2,33,924,348,37.66,519,56.17,57,6.17,02033
2,34,485,165,34.02,301,62.06,19,3.92,02034
2,35,909,425,46.75,434,47.74,50,5.5,02035
2,36,759,320,42.16,383,50.46,56,7.38,02036
2,37,566,236,41.7,293,51.77,37,6.54,02037
2,38,610,221,36.23,354,58.03,35,5.74,02038
2,39,464,186,40.09,247,53.23,31,6.68,02039
2,40,950,469,49.37,427,44.95,54,5.68,02040
2,41,815,340,41.72,425,52.15,50,6.13,02041
2,42,759,386,50.86,331,43.61,42,5.53,02042
2,43,910,369,40.55,504,55.38,37,4.07,02043
2,44,398,157,39.45,214,53.77,27,6.78,02044
2,45,783,420,53.64,310,39.59,53,6.77,02045
2,46,379,157,41.42,202,53.3,20,5.28,02046
3,1,790,716,90.63,34,4.3,40,5.06,03001
3,2,623,568,91.17,36,5.78,19,3.05,03002
3,3,504,381,75.6,95,18.85,28,5.56,03003
3,4,649,600,92.45,33,5.08,16,2.47,03004
3,5,352,307,87.22,27,7.67,18,5.11,03005
3,6,892,460,51.57,365,40.92,67,7.51,03006
3,7,363,327,90.08,21,5.79,15,4.13,03007
