ward,precinct,total,"Marcus C. Evans, Jr.","Marcus C. Evans, Jr. Percent",precinct_id
7,26,309,309,100.0,07026
7,27,309,309,100.0,07027
7,28,156,156,100.0,07028
7,29,343,343,100.0,07029
7,30,247,247,100.0,07030
7,32,209,209,100.0,07032
7,36,484,484,100.0,07036
7,37,26,26,100.0,07037
7,38,335,335,100.0,07038
7,39,346,346,100.0,07039
7,40,332,332,100.0,07040
7,41,374,374,100.0,07041
7,42,368,368,100.0,07042
7,43,370,370,100.0,07043
7,44,341,341,100.0,07044
7,45,370,370,100.0,07045
8,3,461,461,100.0,08003
8,4,467,467,100.0,08004
8,5,452,452,100.0,08005
8,6,416,416,100.0,08006
8,7,445,445,100.0,08007
8,8,417,417,100.0,08008
8,10,510,510,100.0,08010
8,11,345,345,100.0,08011
8,12,360,360,100.0,08012
8,14,324,324,100.0,08014
8,15,249,249,100.0,08015
8,17,350,350,100.0,08017
8,18,364,364,100.0,08018
8,19,445,445,100.0,08019
8,23,334,334,100.0,08023
8,24,229,229,100.0,08024
8,25,397,397,100.0,08025
8,27,450,450,100.0,08027
8,29,459,459,100.0,08029
8,30,463,463,100.0,08030
8,33,338,338,100.0,08033
8,35,491,491,100.0,08035
8,36,412,412,100.0,08036
8,37,326,326,100.0,08037
8,38,302,302,100.0,08038
8,40,340,340,100.0,08040
8,41,433,433,100.0,08041
8,44,302,302,100.0,08044
8,45,221,221,100.0,08045
8,46,321,321,100.0,08046
8,48,382,382,100.0,08048
8,49,385,385,100.0,08049
8,50,411,411,100.0,08050
8,51,412,412,100.0,08051
8,52,514,514,100.0,08052
8,53,238,238,100.0,08053
8,54,102,102,100.0,08054
8,56,440,440,100.0,08056
10,2,336,336,100.0,10002
10,3,364,364,100.0,10003
10,5,276,276,100.0,10005
10,9,331,331,100.0,10009
10,13,352,352,100.0,10013
10,14,12,12,100.0,10014
10,15,686,686,100.0,10015
10,16,295,295,100.0,10016
10,17,441,441,100.0,10017
10,21,6,6,100.0,10021
10,23,30,30,100.0,10023
10,24,340,340,100.0,10024
10,27,13,13,100.0,10027
10,33,3,3,100.0,10033
