ward,precinct,total,Curtis J. Tarver II,Curtis J. Tarver II Percent,precinct_id
4,1,806,806,100.0,04001
4,5,560,560,100.0,04005
4,9,568,568,100.0,04009
4,10,707,707,100.0,04010
4,15,486,486,100.0,04015
4,22,515,515,100.0,04022
4,23,530,530,100.0,04023
4,27,743,743,100.0,04027
4,31,466,466,100.0,04031
4,34,348,348,100.0,04034
5,1,420,420,100.0,05001
5,3,521,521,100.0,05003
5,7,497,497,100.0,05007
5,8,522,522,100.0,05008
5,9,620,620,100.0,05009
5,11,492,492,100.0,05011
5,14,289,289,100.0,05014
5,17,170,170,100.0,05017
5,18,479,479,100.0,05018
5,19,452,452,100.0,05019
5,20,537,537,100.0,05020
5,21,260,260,100.0,05021
5,22,592,592,100.0,05022
5,23,888,888,100.0,05023
5,24,637,637,100.0,05024
5,25,455,455,100.0,05025
5,26,457,457,100.0,05026
5,27,506,506,100.0,05027
5,28,262,262,100.0,05028
5,29,492,492,100.0,05029
5,31,344,344,100.0,05031
5,32,541,541,100.0,05032
5,33,496,496,100.0,05033
5,34,537,537,100.0,05034
5,35,659,659,100.0,05035
5,37,529,529,100.0,05037
5,38,426,426,100.0,05038
5,39,395,395,100.0,05039
5,40,358,358,100.0,05040
5,41,234,234,100.0,05041
7,5,327,327,100.0,07005
7,6,477,477,100.0,07006
7,7,336,336,100.0,07007
7,8,301,301,100.0,07008
7,9,609,609,100.0,07009
7,11,359,359,100.0,07011
7,12,332,332,100.0,07012
7,13,216,216,100.0,07013
7,14,403,403,100.0,07014
7,16,338,338,100.0,07016
7,17,279,279,100.0,07017
7,18,351,351,100.0,07018
7,21,236,236,100.0,07021
7,22,309,309,100.0,07022
7,25,55,55,100.0,07025
7,32,265,265,100.0,07032
7,33,451,451,100.0,07033
7,34,470,470,100.0,07034
7,35,397,397,100.0,07035
7,37,359,359,100.0,07037
7,46,112,112,100.0,07046
10,1,277,277,100.0,10001
10,4,266,266,100.0,10004
10,6,298,298,100.0,10006
10,7,280,280,100.0,10007
10,8,179,179,100.0,10008
10,10,389,389,100.0,10010
10,11,482,482,100.0,10011
10,12,260,260,100.0,10012
10,14,437,437,100.0,10014
10,19,362,362,100.0,10019
10,20,377,377,100.0,10020
10,21,369,369,100.0,10021
10,22,210,210,100.0,10022
10,23,299,299,100.0,10023
10,25,116,116,100.0,10025
10,26,286,286,100.0,10026
10,28,424,424,100.0,10028
10,29,403,403,100.0,10029
10,30,343,343,100.0,10030
10,31,309,309,100.0,10031
10,32,365,365,100.0,10032
10,33,303,303,100.0,10033
10,34,48,48,100.0,10034
10,35,374,374,100.0,10035
10,36,90,90,100.0,10036
20,24,199,199,100.0,20024
20,26,364,364,100.0,20026
20,34,509,509,100.0,20034
