ward,precinct,total,"Edgar Gonzalez, Jr.","Edgar Gonzalez, Jr. Percent",precinct_id
12,2,371,371,100.0,12002
12,6,480,480,100.0,12006
12,7,411,411,100.0,12007
12,10,461,461,100.0,12010
12,11,467,467,100.0,12011
12,12,420,420,100.0,12012
12,13,93,93,100.0,12013
12,14,402,402,100.0,12014
12,15,397,397,100.0,12015
12,16,386,386,100.0,12016
12,17,303,303,100.0,12017
12,18,394,394,100.0,12018
12,20,524,524,100.0,12020
12,22,433,433,100.0,12022
14,1,17,17,100.0,14001
15,6,423,423,100.0,15006
15,9,56,56,100.0,15009
15,10,297,297,100.0,15010
15,11,227,227,100.0,15011
15,12,54,54,100.0,15012
22,4,142,142,100.0,22004
22,5,8,8,100.0,22005
22,7,65,65,100.0,22007
22,10,556,556,100.0,22010
22,13,236,236,100.0,22013
22,14,328,328,100.0,22014
22,15,274,274,100.0,22015
22,16,317,317,100.0,22016
22,17,96,96,100.0,22017
22,18,185,185,100.0,22018
22,19,4,4,100.0,22019
22,22,403,403,100.0,22022
23,1,104,104,100.0,23001
23,12,322,322,100.0,23012
23,16,322,322,100.0,23016
23,21,285,285,100.0,23021
23,27,294,294,100.0,23027
23,36,321,321,100.0,23036
23,37,217,217,100.0,23037
24,16,913,913,100.0,24016
