ward,precinct,total,Pamela Reaves-Harris,Pamela Reaves-Harris Percent,precinct_id
11,6,638,638,100.0,11006
11,7,87,87,100.0,11007
22,19,0,0,0.0,22019
22,21,295,295,100.0,22021
24,1,230,230,100.0,24001
24,2,267,267,100.0,24002
24,3,336,336,100.0,24003
24,4,237,237,100.0,24004
24,5,161,161,100.0,24005
24,6,316,316,100.0,24006
24,8,131,131,100.0,24008
24,9,261,261,100.0,24009
24,10,124,124,100.0,24010
24,11,297,297,100.0,24011
24,12,177,177,100.0,24012
24,13,169,169,100.0,24013
24,14,236,236,100.0,24014
24,15,148,148,100.0,24015
24,17,208,208,100.0,24017
24,18,280,280,100.0,24018
24,19,318,318,100.0,24019
24,20,256,256,100.0,24020
24,21,154,154,100.0,24021
24,22,336,336,100.0,24022
24,23,254,254,100.0,24023
24,24,355,355,100.0,24024
24,25,197,197,100.0,24025
24,26,413,413,100.0,24026
24,27,314,314,100.0,24027
24,28,189,189,100.0,24028
24,29,209,209,100.0,24029
24,30,177,177,100.0,24030
24,31,290,290,100.0,24031
24,32,158,158,100.0,24032
24,33,163,163,100.0,24033
24,34,263,263,100.0,24034
24,35,227,227,100.0,24035
24,36,311,311,100.0,24036
24,37,156,156,100.0,24037
24,38,226,226,100.0,24038
24,40,297,297,100.0,24040
24,41,201,201,100.0,24041
25,3,717,717,100.0,25003
25,4,237,237,100.0,25004
25,10,572,572,100.0,25010
25,16,665,665,100.0,25016
25,20,212,212,100.0,25020
25,25,0,0,0.0,25025
25,27,278,278,100.0,25027
25,29,324,324,100.0,25029
25,31,814,814,100.0,25031
26,2,166,166,100.0,26002
26,10,195,195,100.0,26010
26,17,259,259,100.0,26017
26,31,0,0,0.0,26031
26,46,211,211,100.0,26046
27,2,419,419,100.0,27002
27,3,189,189,100.0,27003
27,4,206,206,100.0,27004
27,5,280,280,100.0,27005
27,8,282,282,100.0,27008
27,10,272,272,100.0,27010
27,14,184,184,100.0,27014
27,15,165,165,100.0,27015
27,16,446,446,100.0,27016
27,17,369,369,100.0,27017
27,18,235,235,100.0,27018
27,19,164,164,100.0,27019
27,22,167,167,100.0,27022
27,23,223,223,100.0,27023
27,24,216,216,100.0,27024
27,25,330,330,100.0,27025
27,26,235,235,100.0,27026
27,27,443,443,100.0,27027
27,29,216,216,100.0,27029
27,30,166,166,100.0,27030
27,31,263,263,100.0,27031
27,32,357,357,100.0,27032
27,33,420,420,100.0,27033
27,34,241,241,100.0,27034
27,36,271,271,100.0,27036
27,39,247,247,100.0,27039
27,41,299,299,100.0,27041
27,43,292,292,100.0,27043
27,44,213,213,100.0,27044
27,45,1078,1078,100.0,27045
27,49,256,256,100.0,27049
27,50,315,315,100.0,27050
28,1,221,221,100.0,28001
28,2,252,252,100.0,28002
28,3,209,209,100.0,28003
28,4,288,288,100.0,28004
28,5,174,174,100.0,28005
28,6,160,160,100.0,28006
28,7,265,265,100.0,28007
28,8,468,468,100.0,28008
28,9,275,275,100.0,28009
28,10,380,380,100.0,28010
28,11,669,669,100.0,28011
28,12,261,261,100.0,28012
28,13,299,299,100.0,28013
28,14,270,270,100.0,28014
28,15,52,52,100.0,28015
28,16,177,177,100.0,28016
28,17,233,233,100.0,28017
28,18,205,205,100.0,28018
28,19,254,254,100.0,28019
28,20,229,229,100.0,28020
28,21,238,238,100.0,28021
28,22,220,220,100.0,28022
28,23,331,331,100.0,28023
28,24,243,243,100.0,28024
28,25,399,399,100.0,28025
28,26,242,242,100.0,28026
28,27,279,279,100.0,28027
28,28,363,363,100.0,28028
28,29,143,143,100.0,28029
28,30,46,46,100.0,28030
28,31,320,320,100.0,28031
28,32,280,280,100.0,28032
28,33,304,304,100.0,28033
28,34,456,456,100.0,28034
28,35,303,303,100.0,28035
28,36,128,128,100.0,28036
28,37,281,281,100.0,28037
28,38,125,125,100.0,28038
28,39,215,215,100.0,28039
28,40,385,385,100.0,28040
28,41,185,185,100.0,28041
28,42,271,271,100.0,28042
28,43,333,333,100.0,28043
28,44,210,210,100.0,28044
28,45,435,435,100.0,28045
28,46,519,519,100.0,28046
29,2,434,434,100.0,29002
29,3,352,352,100.0,29003
29,4,397,397,100.0,29004
29,5,245,245,100.0,29005
29,6,261,261,100.0,29006
29,8,304,304,100.0,29008
29,11,179,179,100.0,29011
29,13,346,346,100.0,29013
29,14,302,302,100.0,29014
29,16,334,334,100.0,29016
29,18,332,332,100.0,29018
29,19,358,358,100.0,29019
29,20,369,369,100.0,29020
29,21,440,440,100.0,29021
29,22,250,250,100.0,29022
29,25,399,399,100.0,29025
29,26,334,334,100.0,29026
29,27,322,322,100.0,29027
29,28,439,439,100.0,29028
29,33,245,245,100.0,29033
29,34,240,240,100.0,29034
29,35,252,252,100.0,29035
29,37,327,327,100.0,29037
29,40,381,381,100.0,29040
29,41,302,302,100.0,29041
29,42,374,374,100.0,29042
29,44,416,416,100.0,29044
37,1,297,297,100.0,37001
37,3,218,218,100.0,37003
37,4,242,242,100.0,37004
37,5,304,304,100.0,37005
37,6,312,312,100.0,37006
37,7,226,226,100.0,37007
37,8,214,214,100.0,37008
37,9,295,295,100.0,37009
37,11,184,184,100.0,37011
37,13,232,232,100.0,37013
37,14,325,325,100.0,37014
37,15,305,305,100.0,37015
37,17,220,220,100.0,37017
37,18,253,253,100.0,37018
37,19,211,211,100.0,37019
37,20,287,287,100.0,37020
37,21,243,243,100.0,37021
37,22,64,64,100.0,37022
37,23,278,278,100.0,37023
37,24,53,53,100.0,37024
37,25,260,260,100.0,37025
37,27,306,306,100.0,37027
37,28,289,289,100.0,37028
37,29,273,273,100.0,37029
37,30,291,291,100.0,37030
37,31,343,343,100.0,37031
37,32,239,239,100.0,37032
37,33,322,322,100.0,37033
37,34,256,256,100.0,37034
37,35,308,308,100.0,37035
37,36,279,279,100.0,37036
37,37,314,314,100.0,37037
37,38,289,289,100.0,37038
37,39,288,288,100.0,37039
37,40,323,323,100.0,37040
37,41,211,211,100.0,37041
42,3,524,524,100.0,42003
42,12,135,135,100.0,42012
42,16,502,502,100.0,42016
42,18,635,635,100.0,42018
42,21,630,630,100.0,42021
42,36,683,683,100.0,42036
42,41,549,549,100.0,42041
