ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,precinct_id
13,1,307,307,100.0,13001
13,2,242,242,100.0,13002
13,3,316,316,100.0,13003
13,4,342,342,100.0,13004
13,5,465,465,100.0,13005
13,6,283,283,100.0,13006
13,7,296,296,100.0,13007
13,8,258,258,100.0,13008
13,9,392,392,100.0,13009
13,10,250,250,100.0,13010
13,11,351,351,100.0,13011
13,12,335,335,100.0,13012
13,13,362,362,100.0,13013
13,14,358,358,100.0,13014
13,15,545,545,100.0,13015
13,16,281,281,100.0,13016
13,17,293,293,100.0,13017
13,18,266,266,100.0,13018
13,19,500,500,100.0,13019
13,20,225,225,100.0,13020
13,21,326,326,100.0,13021
13,22,338,338,100.0,13022
13,23,308,308,100.0,13023
13,24,353,353,100.0,13024
13,25,379,379,100.0,13025
13,26,359,359,100.0,13026
13,27,324,324,100.0,13027
13,28,294,294,100.0,13028
13,29,297,297,100.0,13029
13,30,312,312,100.0,13030
13,31,348,348,100.0,13031
13,32,261,261,100.0,13032
13,33,307,307,100.0,13033
13,34,381,381,100.0,13034
13,35,344,344,100.0,13035
13,36,271,271,100.0,13036
13,37,356,356,100.0,13037
13,38,262,262,100.0,13038
13,39,359,359,100.0,13039
13,40,352,352,100.0,13040
13,41,478,478,100.0,13041
13,42,299,299,100.0,13042
13,43,357,357,100.0,13043
13,44,413,413,100.0,13044
13,45,353,353,100.0,13045
13,46,437,437,100.0,13046
13,47,456,456,100.0,13047
13,48,286,286,100.0,13048
14,3,403,403,100.0,14003
14,6,41,41,100.0,14006
14,10,0,0,0.0,14010
14,11,247,247,100.0,14011
14,15,421,421,100.0,14015
14,18,146,146,100.0,14018
14,22,363,363,100.0,14022
14,23,94,94,100.0,14023
18,15,406,406,100.0,18015
18,43,291,291,100.0,18043
18,46,243,243,100.0,18046
23,1,180,180,100.0,23001
23,2,315,315,100.0,23002
23,4,325,325,100.0,23004
23,5,403,403,100.0,23005
23,6,244,244,100.0,23006
23,7,378,378,100.0,23007
23,8,410,410,100.0,23008
23,9,371,371,100.0,23009
23,10,425,425,100.0,23010
23,11,449,449,100.0,23011
23,13,369,369,100.0,23013
23,14,42,42,100.0,23014
23,15,369,369,100.0,23015
23,17,99,99,100.0,23017
23,18,286,286,100.0,23018
23,20,234,234,100.0,23020
23,22,254,254,100.0,23022
23,23,283,283,100.0,23023
23,24,132,132,100.0,23024
23,25,69,69,100.0,23025
23,26,187,187,100.0,23026
23,28,339,339,100.0,23028
23,29,271,271,100.0,23029
23,30,441,441,100.0,23030
23,32,371,371,100.0,23032
23,33,436,436,100.0,23033
23,34,438,438,100.0,23034
23,35,231,231,100.0,23035
23,38,273,273,100.0,23038
23,39,426,426,100.0,23039
