ward,precinct,total,Maire Aileen Dempsey,Maire Aileen Dempsey Percent,precinct_id
30,3,164,164,100.0,30003
30,15,351,351,100.0,30015
30,20,79,79,100.0,30020
30,32,326,326,100.0,30032
32,19,402,402,100.0,32019
32,21,436,436,100.0,32021
32,25,424,424,100.0,32025
33,2,614,614,100.0,33002
33,7,484,484,100.0,33007
33,18,696,696,100.0,33018
35,9,353,353,100.0,35009
35,22,512,512,100.0,35022
35,23,172,172,100.0,35023
35,29,385,385,100.0,35029
35,30,378,378,100.0,35030
35,31,444,444,100.0,35031
38,1,319,319,100.0,38001
38,31,351,351,100.0,38031
38,32,315,315,100.0,38032
38,41,312,312,100.0,38041
39,1,332,332,100.0,39001
39,2,215,215,100.0,39002
39,3,417,417,100.0,39003
39,4,337,337,100.0,39004
39,5,370,370,100.0,39005
39,6,366,366,100.0,39006
39,7,334,334,100.0,39007
39,8,367,367,100.0,39008
39,9,327,327,100.0,39009
39,10,203,203,100.0,39010
39,11,334,334,100.0,39011
39,12,498,498,100.0,39012
39,13,278,278,100.0,39013
39,14,350,350,100.0,39014
39,15,392,392,100.0,39015
39,16,339,339,100.0,39016
39,17,389,389,100.0,39017
39,18,330,330,100.0,39018
39,19,368,368,100.0,39019
39,20,428,428,100.0,39020
39,21,330,330,100.0,39021
39,22,366,366,100.0,39022
39,23,349,349,100.0,39023
39,24,419,419,100.0,39024
39,25,327,327,100.0,39025
39,26,323,323,100.0,39026
39,27,45,45,100.0,39027
39,28,463,463,100.0,39028
39,29,216,216,100.0,39029
39,30,489,489,100.0,39030
39,31,333,333,100.0,39031
39,32,102,102,100.0,39032
39,33,375,375,100.0,39033
39,34,441,441,100.0,39034
39,35,371,371,100.0,39035
39,36,67,67,100.0,39036
39,37,335,335,100.0,39037
39,38,195,195,100.0,39038
39,39,221,221,100.0,39039
39,40,357,357,100.0,39040
39,41,354,354,100.0,39041
39,42,378,378,100.0,39042
39,43,349,349,100.0,39043
39,44,276,276,100.0,39044
39,45,297,297,100.0,39045
40,1,363,363,100.0,40001
40,2,471,471,100.0,40002
40,3,559,559,100.0,40003
40,4,271,271,100.0,40004
40,5,499,499,100.0,40005
40,6,544,544,100.0,40006
40,7,435,435,100.0,40007
40,10,342,342,100.0,40010
40,11,451,451,100.0,40011
40,12,397,397,100.0,40012
40,13,371,371,100.0,40013
40,14,400,400,100.0,40014
40,15,424,424,100.0,40015
40,16,594,594,100.0,40016
40,17,369,369,100.0,40017
40,18,68,68,100.0,40018
40,19,543,543,100.0,40019
40,20,467,467,100.0,40020
40,21,391,391,100.0,40021
40,24,398,398,100.0,40024
40,25,545,545,100.0,40025
40,29,453,453,100.0,40029
40,30,352,352,100.0,40030
40,34,378,378,100.0,40034
40,38,267,267,100.0,40038
40,39,170,170,100.0,40039
41,1,286,286,100.0,41001
41,2,331,331,100.0,41002
41,3,328,328,100.0,41003
41,4,326,326,100.0,41004
41,5,413,413,100.0,41005
41,6,208,208,100.0,41006
41,7,345,345,100.0,41007
41,8,313,313,100.0,41008
41,10,332,332,100.0,41010
41,11,341,341,100.0,41011
41,12,365,365,100.0,41012
41,13,364,364,100.0,41013
41,14,225,225,100.0,41014
41,15,439,439,100.0,41015
41,16,325,325,100.0,41016
41,17,312,312,100.0,41017
41,18,311,311,100.0,41018
41,20,234,234,100.0,41020
41,21,358,358,100.0,41021
41,22,379,379,100.0,41022
41,23,308,308,100.0,41023
41,24,310,310,100.0,41024
41,26,291,291,100.0,41026
41,30,344,344,100.0,41030
41,31,325,325,100.0,41031
41,32,294,294,100.0,41032
41,33,310,310,100.0,41033
41,34,308,308,100.0,41034
41,35,377,377,100.0,41035
41,36,318,318,100.0,41036
41,37,400,400,100.0,41037
41,38,338,338,100.0,41038
41,39,349,349,100.0,41039
41,40,337,337,100.0,41040
41,41,347,347,100.0,41041
41,42,315,315,100.0,41042
41,43,339,339,100.0,41043
41,44,316,316,100.0,41044
41,45,336,336,100.0,41045
41,46,351,351,100.0,41046
41,47,181,181,100.0,41047
45,1,325,325,100.0,45001
45,2,396,396,100.0,45002
