ward,precinct,total,Sondra Nicole Denmark,Sondra Nicole Denmark Percent,precinct_id
9,1,305,305,100.0,09001
9,2,251,251,100.0,09002
9,3,171,171,100.0,09003
9,4,246,246,100.0,09004
9,5,333,333,100.0,09005
9,6,297,297,100.0,09006
9,7,253,253,100.0,09007
9,8,342,342,100.0,09008
9,9,370,370,100.0,09009
9,10,234,234,100.0,09010
9,11,223,223,100.0,09011
9,13,19,19,100.0,09013
9,14,64,64,100.0,09014
9,15,317,317,100.0,09015
9,16,308,308,100.0,09016
9,17,216,216,100.0,09017
9,18,223,223,100.0,09018
9,19,313,313,100.0,09019
9,20,303,303,100.0,09020
9,21,300,300,100.0,09021
9,22,339,339,100.0,09022
9,26,354,354,100.0,09026
9,27,267,267,100.0,09027
9,28,191,191,100.0,09028
9,29,278,278,100.0,09029
9,30,270,270,100.0,09030
9,31,261,261,100.0,09031
9,32,318,318,100.0,09032
9,33,204,204,100.0,09033
9,34,270,270,100.0,09034
9,35,132,132,100.0,09035
9,37,458,458,100.0,09037
9,38,295,295,100.0,09038
9,39,327,327,100.0,09039
9,40,347,347,100.0,09040
9,41,258,258,100.0,09041
9,43,274,274,100.0,09043
9,44,290,290,100.0,09044
9,45,262,262,100.0,09045
9,46,306,306,100.0,09046
19,28,264,264,100.0,19028
19,43,90,90,100.0,19043
21,1,348,348,100.0,21001
21,2,134,134,100.0,21002
21,3,319,319,100.0,21003
21,5,354,354,100.0,21005
21,6,261,261,100.0,21006
21,7,329,329,100.0,21007
21,8,342,342,100.0,21008
21,9,336,336,100.0,21009
21,10,277,277,100.0,21010
21,11,293,293,100.0,21011
21,12,293,293,100.0,21012
21,13,178,178,100.0,21013
21,14,362,362,100.0,21014
21,16,290,290,100.0,21016
21,17,154,154,100.0,21017
21,18,352,352,100.0,21018
21,19,373,373,100.0,21019
21,20,36,36,100.0,21020
21,21,264,264,100.0,21021
21,22,292,292,100.0,21022
21,23,291,291,100.0,21023
21,24,350,350,100.0,21024
21,25,282,282,100.0,21025
21,27,371,371,100.0,21027
21,29,345,345,100.0,21029
21,32,323,323,100.0,21032
21,33,151,151,100.0,21033
21,34,124,124,100.0,21034
21,35,386,386,100.0,21035
21,36,307,307,100.0,21036
21,37,242,242,100.0,21037
21,38,342,342,100.0,21038
21,39,327,327,100.0,21039
21,40,278,278,100.0,21040
21,41,327,327,100.0,21041
21,42,349,349,100.0,21042
21,44,233,233,100.0,21044
21,45,307,307,100.0,21045
21,46,347,347,100.0,21046
21,48,203,203,100.0,21048
21,49,346,346,100.0,21049
21,50,216,216,100.0,21050
21,52,36,36,100.0,21052
34,1,364,364,100.0,34001
34,2,308,308,100.0,34002
34,3,345,345,100.0,34003
34,4,269,269,100.0,34004
34,5,282,282,100.0,34005
34,6,389,389,100.0,34006
34,7,367,367,100.0,34007
34,8,285,285,100.0,34008
34,9,242,242,100.0,34009
34,10,357,357,100.0,34010
34,11,283,283,100.0,34011
34,12,363,363,100.0,34012
34,13,345,345,100.0,34013
34,14,240,240,100.0,34014
34,15,305,305,100.0,34015
34,16,291,291,100.0,34016
34,18,224,224,100.0,34018
34,19,274,274,100.0,34019
34,20,412,412,100.0,34020
34,21,405,405,100.0,34021
34,22,361,361,100.0,34022
34,23,288,288,100.0,34023
34,24,296,296,100.0,34024
34,25,510,510,100.0,34025
34,26,401,401,100.0,34026
34,27,262,262,100.0,34027
34,28,204,204,100.0,34028
34,29,273,273,100.0,34029
34,30,341,341,100.0,34030
34,31,248,248,100.0,34031
34,32,342,342,100.0,34032
34,33,273,273,100.0,34033
34,34,410,410,100.0,34034
34,35,399,399,100.0,34035
34,36,303,303,100.0,34036
34,37,194,194,100.0,34037
34,38,158,158,100.0,34038
34,39,249,249,100.0,34039
34,40,368,368,100.0,34040
34,41,189,189,100.0,34041
34,42,334,334,100.0,34042
34,43,319,319,100.0,34043
34,44,326,326,100.0,34044
34,45,337,337,100.0,34045
34,46,232,232,100.0,34046
34,47,315,315,100.0,34047
34,48,351,351,100.0,34048
34,49,122,122,100.0,34049
34,50,274,274,100.0,34050
34,51,372,372,100.0,34051
34,52,268,268,100.0,34052
34,53,220,220,100.0,34053
