ward,precinct,total,Lakesia Collins,Lakesia Collins Percent,precinct_id
2,9,529,529,100.0,02009
2,12,457,457,100.0,02012
2,20,16,16,100.0,02020
2,41,203,203,100.0,02041
2,46,293,293,100.0,02046
11,2,33,33,100.0,11002
11,6,738,738,100.0,11006
11,7,454,454,100.0,11007
11,33,618,618,100.0,11033
12,10,96,96,100.0,12010
22,19,199,199,100.0,22019
22,21,397,397,100.0,22021
24,1,306,306,100.0,24001
24,2,331,331,100.0,24002
24,3,404,404,100.0,24003
24,4,285,285,100.0,24004
24,5,207,207,100.0,24005
24,6,358,358,100.0,24006
24,7,246,246,100.0,24007
24,8,173,173,100.0,24008
24,9,345,345,100.0,24009
24,10,168,168,100.0,24010
24,11,410,410,100.0,24011
24,12,225,225,100.0,24012
24,13,208,208,100.0,24013
24,14,310,310,100.0,24014
24,15,179,179,100.0,24015
24,16,24,24,100.0,24016
24,17,188,188,100.0,24017
24,18,344,344,100.0,24018
24,20,61,61,100.0,24020
24,21,193,193,100.0,24021
24,22,425,425,100.0,24022
24,23,303,303,100.0,24023
24,24,386,386,100.0,24024
24,25,280,280,100.0,24025
24,26,513,513,100.0,24026
24,27,349,349,100.0,24027
24,28,224,224,100.0,24028
24,29,255,255,100.0,24029
24,30,202,202,100.0,24030
24,31,369,369,100.0,24031
24,33,213,213,100.0,24033
24,34,334,334,100.0,24034
24,35,356,356,100.0,24035
24,36,380,380,100.0,24036
24,37,195,195,100.0,24037
24,38,265,265,100.0,24038
24,39,341,341,100.0,24039
24,40,419,419,100.0,24040
25,3,867,867,100.0,25003
25,4,391,391,100.0,25004
25,10,696,696,100.0,25010
25,16,821,821,100.0,25016
25,20,315,315,100.0,25020
25,25,406,406,100.0,25025
25,27,332,332,100.0,25027
25,29,402,402,100.0,25029
25,31,997,997,100.0,25031
27,2,488,488,100.0,27002
27,6,531,531,100.0,27006
27,9,217,217,100.0,27009
27,10,171,171,100.0,27010
27,11,161,161,100.0,27011
27,14,118,118,100.0,27014
27,16,375,375,100.0,27016
27,18,312,312,100.0,27018
27,20,322,322,100.0,27020
27,21,442,442,100.0,27021
27,25,93,93,100.0,27025
27,28,621,621,100.0,27028
27,33,207,207,100.0,27033
27,37,466,466,100.0,27037
27,38,452,452,100.0,27038
27,41,359,359,100.0,27041
27,42,318,318,100.0,27042
27,45,1324,1324,100.0,27045
27,47,292,292,100.0,27047
27,48,904,904,100.0,27048
28,4,353,353,100.0,28004
28,5,226,226,100.0,28005
28,6,183,183,100.0,28006
28,8,549,549,100.0,28008
28,10,472,472,100.0,28010
28,11,810,810,100.0,28011
28,18,272,272,100.0,28018
28,19,299,299,100.0,28019
28,27,337,337,100.0,28027
28,28,430,430,100.0,28028
28,29,165,165,100.0,28029
28,32,29,29,100.0,28032
28,34,586,586,100.0,28034
28,35,388,388,100.0,28035
28,45,528,528,100.0,28045
28,46,641,641,100.0,28046
42,3,622,622,100.0,42003
42,9,4,4,100.0,42009
42,12,258,258,100.0,42012
42,16,611,611,100.0,42016
42,18,3,3,100.0,42018
42,21,184,184,100.0,42021
42,36,455,455,100.0,42036
42,41,204,204,100.0,42041
43,1,288,288,100.0,43001
43,3,520,520,100.0,43003
43,5,283,283,100.0,43005
43,45,345,345,100.0,43045
