ward,precinct,total,Sharon O. Johnson,Sharon O. Johnson Percent,precinct_id
1,1,525,525,100.0,01001
1,2,460,460,100.0,01002
1,3,639,639,100.0,01003
1,4,610,610,100.0,01004
1,5,544,544,100.0,01005
1,6,447,447,100.0,01006
1,7,357,357,100.0,01007
1,8,458,458,100.0,01008
1,9,363,363,100.0,01009
1,10,673,673,100.0,01010
1,11,617,617,100.0,01011
1,12,604,604,100.0,01012
1,13,265,265,100.0,01013
1,14,491,491,100.0,01014
1,15,475,475,100.0,01015
1,16,557,557,100.0,01016
1,17,451,451,100.0,01017
1,18,515,515,100.0,01018
1,19,617,617,100.0,01019
1,20,434,434,100.0,01020
1,21,776,776,100.0,01021
1,22,348,348,100.0,01022
1,23,693,693,100.0,01023
1,24,457,457,100.0,01024
1,25,533,533,100.0,01025
1,26,336,336,100.0,01026
1,27,570,570,100.0,01027
1,28,185,185,100.0,01028
1,29,683,683,100.0,01029
1,30,566,566,100.0,01030
1,31,457,457,100.0,01031
1,32,490,490,100.0,01032
1,33,560,560,100.0,01033
1,34,427,427,100.0,01034
1,35,651,651,100.0,01035
1,36,609,609,100.0,01036
1,37,537,537,100.0,01037
1,38,514,514,100.0,01038
1,39,429,429,100.0,01039
1,40,461,461,100.0,01040
1,41,305,305,100.0,01041
1,42,175,175,100.0,01042
1,43,331,331,100.0,01043
1,44,481,481,100.0,01044
2,1,597,597,100.0,02001
2,2,330,330,100.0,02002
2,3,612,612,100.0,02003
2,4,526,526,100.0,02004
2,5,648,648,100.0,02005
2,6,560,560,100.0,02006
2,7,490,490,100.0,02007
2,8,649,649,100.0,02008
2,9,469,469,100.0,02009
2,10,329,329,100.0,02010
2,11,487,487,100.0,02011
2,12,420,420,100.0,02012
2,13,397,397,100.0,02013
2,14,512,512,100.0,02014
2,15,471,471,100.0,02015
2,16,511,511,100.0,02016
2,17,570,570,100.0,02017
2,18,437,437,100.0,02018
2,19,286,286,100.0,02019
2,20,646,646,100.0,02020
2,21,559,559,100.0,02021
2,22,492,492,100.0,02022
2,23,288,288,100.0,02023
2,24,446,446,100.0,02024
2,25,595,595,100.0,02025
2,26,409,409,100.0,02026
2,27,420,420,100.0,02027
2,28,552,552,100.0,02028
2,29,538,538,100.0,02029
2,30,410,410,100.0,02030
2,31,541,541,100.0,02031
2,32,413,413,100.0,02032
2,33,665,665,100.0,02033
2,34,341,341,100.0,02034
2,35,680,680,100.0,02035
2,36,522,522,100.0,02036
2,37,427,427,100.0,02037
2,38,424,424,100.0,02038
2,39,307,307,100.0,02039
2,40,721,721,100.0,02040
2,41,582,582,100.0,02041
2,42,565,565,100.0,02042
2,43,642,642,100.0,02043
2,44,274,274,100.0,02044
2,45,610,610,100.0,02045
2,46,260,260,100.0,02046
3,1,644,644,100.0,03001
3,2,487,487,100.0,03002
3,3,400,400,100.0,03003
3,4,579,579,100.0,03004
3,5,267,267,100.0,03005
3,6,657,657,100.0,03006
3,7,292,292,100.0,03007
3,8,359,359,100.0,03008
3,9,568,568,100.0,03009
3,10,234,234,100.0,03010
3,11,530,530,100.0,03011
3,12,451,451,100.0,03012
3,13,578,578,100.0,03013
3,14,586,586,100.0,03014
3,15,470,470,100.0,03015
3,16,394,394,100.0,03016
3,17,744,744,100.0,03017
