ward,precinct,total,Tammy Wendt,Tammy Wendt Percent,Dan Patlak,Dan Patlak Percent,precinct_id
19,1,450,205,45.56,245,54.44,19001
19,2,490,373,76.12,117,23.88,19002
19,3,437,125,28.6,312,71.4,19003
19,4,608,235,38.65,373,61.35,19004
19,6,307,118,38.44,189,61.56,19006
19,8,561,169,30.12,392,69.88,19008
19,9,360,150,41.67,210,58.33,19009
19,11,501,126,25.15,375,74.85,19011
19,12,449,141,31.4,308,68.6,19012
19,15,689,207,30.04,482,69.96,19015
19,16,512,186,36.33,326,63.67,19016
19,19,366,267,72.95,99,27.05,19019
19,21,479,151,31.52,328,68.48,19021
19,22,534,343,64.23,191,35.77,19022
19,24,383,126,32.9,257,67.1,19024
19,29,76,27,35.53,49,64.47,19029
19,30,510,160,31.37,350,68.63,19030
19,33,568,189,33.27,379,66.73,19033
19,39,232,218,93.97,14,6.03,19039
19,41,510,168,32.94,342,67.06,19041
19,44,593,212,35.75,381,64.25,19044
19,45,519,231,44.51,288,55.49,19045
19,47,674,558,82.79,116,17.21,19047
19,51,540,275,50.93,265,49.07,19051
19,53,454,238,52.42,216,47.58,19053
19,54,439,124,28.25,315,71.75,19054
19,55,451,145,32.15,306,67.85,19055
41,3,541,262,48.43,279,51.57,41003
41,5,663,303,45.7,360,54.3,41005
41,7,590,235,39.83,355,60.17,41007
41,8,565,224,39.65,341,60.35,41008
41,11,524,208,39.69,316,60.31,41011
41,13,686,270,39.36,416,60.64,41013
41,15,716,316,44.13,400,55.87,41015
41,16,304,139,45.72,165,54.28,41016
41,17,517,231,44.68,286,55.32,41017
41,18,533,242,45.4,291,54.6,41018
41,20,424,187,44.1,237,55.9,41020
41,21,560,256,45.71,304,54.29,41021
41,22,597,252,42.21,345,57.79,41022
41,23,611,205,33.55,406,66.45,41023
41,25,583,291,49.91,292,50.09,41025
41,26,502,212,42.23,290,57.77,41026
41,27,317,127,40.06,190,59.94,41027
41,28,653,357,54.67,296,45.33,41028
41,29,510,233,45.69,277,54.31,41029
41,30,554,278,50.18,276,49.82,41030
41,31,522,247,47.32,275,52.68,41031
41,33,552,252,45.65,300,54.35,41033
41,34,529,213,40.26,316,59.74,41034
41,35,655,269,41.07,386,58.93,41035
41,36,559,249,44.54,310,55.46,41036
41,37,624,284,45.51,340,54.49,41037
41,38,567,267,47.09,300,52.91,41038
41,41,620,252,40.65,368,59.35,41041
41,43,601,276,45.92,325,54.08,41043
41,45,565,271,47.96,294,52.04,41045
41,46,564,235,41.67,329,58.33,41046
45,45,378,172,45.5,206,54.5,45045
45,46,431,227,52.67,204,47.33,45046
45,47,401,191,47.63,210,52.37,45047
45,48,467,203,43.47,264,56.53,45048
