ward,precinct,total,Maura McMahon Zeller,Maura McMahon Zeller Percent,precinct_id
1,1,438,438,100.0,01001
1,2,403,403,100.0,01002
1,3,573,573,100.0,01003
1,4,527,527,100.0,01004
1,5,464,464,100.0,01005
1,6,384,384,100.0,01006
1,7,307,307,100.0,01007
1,8,403,403,100.0,01008
1,9,318,318,100.0,01009
1,10,604,604,100.0,01010
1,11,538,538,100.0,01011
1,12,520,520,100.0,01012
1,13,232,232,100.0,01013
1,14,417,417,100.0,01014
1,15,405,405,100.0,01015
1,16,489,489,100.0,01016
1,17,387,387,100.0,01017
1,18,438,438,100.0,01018
1,19,555,555,100.0,01019
1,20,369,369,100.0,01020
1,21,649,649,100.0,01021
1,22,312,312,100.0,01022
1,23,623,623,100.0,01023
1,24,390,390,100.0,01024
1,25,456,456,100.0,01025
1,26,279,279,100.0,01026
1,27,512,512,100.0,01027
1,28,149,149,100.0,01028
1,29,589,589,100.0,01029
1,30,491,491,100.0,01030
1,31,387,387,100.0,01031
1,32,422,422,100.0,01032
1,33,487,487,100.0,01033
1,34,378,378,100.0,01034
1,35,568,568,100.0,01035
1,36,518,518,100.0,01036
1,37,449,449,100.0,01037
1,38,436,436,100.0,01038
1,39,361,361,100.0,01039
1,40,394,394,100.0,01040
1,41,253,253,100.0,01041
1,42,155,155,100.0,01042
1,43,267,267,100.0,01043
1,44,418,418,100.0,01044
2,1,527,527,100.0,02001
2,2,287,287,100.0,02002
2,3,524,524,100.0,02003
2,4,471,471,100.0,02004
2,5,560,560,100.0,02005
2,6,501,501,100.0,02006
2,7,430,430,100.0,02007
2,8,563,563,100.0,02008
2,9,415,415,100.0,02009
2,10,279,279,100.0,02010
2,11,430,430,100.0,02011
2,12,365,365,100.0,02012
2,13,344,344,100.0,02013
2,14,425,425,100.0,02014
2,15,393,393,100.0,02015
2,16,436,436,100.0,02016
2,17,493,493,100.0,02017
2,18,378,378,100.0,02018
2,19,264,264,100.0,02019
2,20,579,579,100.0,02020
2,21,480,480,100.0,02021
2,22,437,437,100.0,02022
2,23,245,245,100.0,02023
2,24,373,373,100.0,02024
2,25,504,504,100.0,02025
2,26,354,354,100.0,02026
2,27,368,368,100.0,02027
2,28,482,482,100.0,02028
2,29,469,469,100.0,02029
2,30,357,357,100.0,02030
2,31,475,475,100.0,02031
2,32,376,376,100.0,02032
2,33,580,580,100.0,02033
2,34,307,307,100.0,02034
2,35,601,601,100.0,02035
2,36,470,470,100.0,02036
2,37,356,356,100.0,02037
2,38,357,357,100.0,02038
2,39,264,264,100.0,02039
2,40,642,642,100.0,02040
2,41,534,534,100.0,02041
2,42,511,511,100.0,02042
2,43,558,558,100.0,02043
2,44,243,243,100.0,02044
2,45,544,544,100.0,02045
2,46,216,216,100.0,02046
3,1,580,580,100.0,03001
3,2,437,437,100.0,03002
3,3,326,326,100.0,03003
3,4,520,520,100.0,03004
3,5,215,215,100.0,03005
3,6,569,569,100.0,03006
3,7,239,239,100.0,03007
3,8,329,329,100.0,03008
3,9,505,505,100.0,03009
3,10,200,200,100.0,03010
3,11,478,478,100.0,03011
3,12,395,395,100.0,03012
3,13,514,514,100.0,03013
3,14,494,494,100.0,03014
3,15,411,411,100.0,03015
3,16,357,357,100.0,03016
3,17,666,666,100.0,03017
3,18,558,558,100.0,03018
3,19,524,524,100.0,03019
3,20,442,442,100.0,03020
3,21,437,437,100.0,03021
3,22,581,581,100.0,03022
3,23,320,320,100.0,03023
3,24,358,358,100.0,03024
3,25,713,713,100.0,03025
3,26,473,473,100.0,03026
3,27,547,547,100.0,03027
3,28,198,198,100.0,03028
3,29,412,412,100.0,03029
3,30,385,385,100.0,03030
3,31,503,503,100.0,03031
3,32,705,705,100.0,03032
3,33,537,537,100.0,03033
3,34,667,667,100.0,03034
3,35,231,231,100.0,03035
3,36,198,198,100.0,03036
3,37,404,404,100.0,03037
3,38,303,303,100.0,03038
3,39,874,874,100.0,03039
3,40,410,410,100.0,03040
3,41,294,294,100.0,03041
4,1,656,656,100.0,04001
4,2,604,604,100.0,04002
4,3,372,372,100.0,04003
4,4,590,590,100.0,04004
4,5,462,462,100.0,04005
4,6,482,482,100.0,04006
4,7,591,591,100.0,04007
4,8,508,508,100.0,04008
4,9,507,507,100.0,04009
4,10,595,595,100.0,04010
4,11,435,435,100.0,04011
4,12,615,615,100.0,04012
4,13,616,616,100.0,04013
4,14,432,432,100.0,04014
4,15,513,513,100.0,04015
4,16,779,779,100.0,04016
4,17,537,537,100.0,04017
4,18,454,454,100.0,04018
4,19,273,273,100.0,04019
4,20,345,345,100.0,04020
4,21,517,517,100.0,04021
