ward,precinct,total,Jacqueline ''Jacqui'' Collins,Jacqueline ''Jacqui'' Collins Percent,precinct_id
6,4,309,309,100.0,06004
6,5,289,289,100.0,06005
6,6,487,487,100.0,06006
6,7,406,406,100.0,06007
6,9,417,417,100.0,06009
6,10,289,289,100.0,06010
6,11,363,363,100.0,06011
6,12,322,322,100.0,06012
6,15,229,229,100.0,06015
6,17,280,280,100.0,06017
6,18,291,291,100.0,06018
6,19,287,287,100.0,06019
6,20,275,275,100.0,06020
6,21,212,212,100.0,06021
6,22,245,245,100.0,06022
6,23,232,232,100.0,06023
6,24,224,224,100.0,06024
6,25,213,213,100.0,06025
6,26,312,312,100.0,06026
6,27,249,249,100.0,06027
6,28,143,143,100.0,06028
6,30,346,346,100.0,06030
6,32,412,412,100.0,06032
6,33,406,406,100.0,06033
6,40,364,364,100.0,06040
6,47,307,307,100.0,06047
6,48,407,407,100.0,06048
8,26,0,0,0.0,08026
15,7,128,128,100.0,15007
15,22,203,203,100.0,15022
16,6,136,136,100.0,16006
16,16,260,260,100.0,16016
16,24,154,154,100.0,16024
16,29,247,247,100.0,16029
16,30,220,220,100.0,16030
16,33,213,213,100.0,16033
17,1,178,178,100.0,17001
17,2,356,356,100.0,17002
17,3,356,356,100.0,17003
17,4,389,389,100.0,17004
17,5,268,268,100.0,17005
17,8,214,214,100.0,17008
17,9,279,279,100.0,17009
17,10,467,467,100.0,17010
17,11,267,267,100.0,17011
17,13,297,297,100.0,17013
17,15,376,376,100.0,17015
17,17,365,365,100.0,17017
17,18,380,380,100.0,17018
17,19,231,231,100.0,17019
17,20,423,423,100.0,17020
17,21,76,76,100.0,17021
17,22,340,340,100.0,17022
17,23,227,227,100.0,17023
17,24,353,353,100.0,17024
17,26,348,348,100.0,17026
17,27,332,332,100.0,17027
17,28,289,289,100.0,17028
17,29,330,330,100.0,17029
17,30,243,243,100.0,17030
17,31,230,230,100.0,17031
17,32,273,273,100.0,17032
17,33,201,201,100.0,17033
17,34,252,252,100.0,17034
17,35,257,257,100.0,17035
17,36,327,327,100.0,17036
17,37,294,294,100.0,17037
17,38,376,376,100.0,17038
17,39,356,356,100.0,17039
17,40,384,384,100.0,17040
17,41,451,451,100.0,17041
18,1,390,390,100.0,18001
18,2,456,456,100.0,18002
18,3,338,338,100.0,18003
18,4,417,417,100.0,18004
18,5,240,240,100.0,18005
18,6,347,347,100.0,18006
18,7,396,396,100.0,18007
18,8,398,398,100.0,18008
18,9,158,158,100.0,18009
18,10,499,499,100.0,18010
18,11,378,378,100.0,18011
18,12,358,358,100.0,18012
18,13,433,433,100.0,18013
18,14,397,397,100.0,18014
18,15,11,11,100.0,18015
18,16,389,389,100.0,18016
18,17,417,417,100.0,18017
18,18,284,284,100.0,18018
18,19,328,328,100.0,18019
18,20,265,265,100.0,18020
18,21,497,497,100.0,18021
18,22,420,420,100.0,18022
18,23,402,402,100.0,18023
18,24,367,367,100.0,18024
18,25,406,406,100.0,18025
18,26,369,369,100.0,18026
18,27,342,342,100.0,18027
18,28,346,346,100.0,18028
18,29,463,463,100.0,18029
18,30,454,454,100.0,18030
18,31,441,441,100.0,18031
18,32,24,24,100.0,18032
18,33,306,306,100.0,18033
18,35,446,446,100.0,18035
18,36,406,406,100.0,18036
18,37,452,452,100.0,18037
18,38,352,352,100.0,18038
18,39,357,357,100.0,18039
18,40,414,414,100.0,18040
18,41,465,465,100.0,18041
18,42,367,367,100.0,18042
18,43,40,40,100.0,18043
18,44,348,348,100.0,18044
18,45,414,414,100.0,18045
18,46,188,188,100.0,18046
18,47,322,322,100.0,18047
18,48,299,299,100.0,18048
18,49,277,277,100.0,18049
18,50,197,197,100.0,18050
20,8,134,134,100.0,20008
20,28,263,263,100.0,20028
21,2,115,115,100.0,21002
21,4,363,363,100.0,21004
21,13,51,51,100.0,21013
21,15,268,268,100.0,21015
21,17,47,47,100.0,21017
21,20,218,218,100.0,21020
21,26,345,345,100.0,21026
21,28,454,454,100.0,21028
21,30,339,339,100.0,21030
21,34,202,202,100.0,21034
21,43,349,349,100.0,21043
21,44,128,128,100.0,21044
21,47,338,338,100.0,21047
21,51,403,403,100.0,21051
21,52,329,329,100.0,21052
21,53,181,181,100.0,21053
21,54,319,319,100.0,21054
