ward,precinct,total,Jawaharial ''Omar'' Williams,Jawaharial ''Omar'' Williams Percent,precinct_id
1,8,434,434,100.0,01008
1,11,171,171,100.0,01011
1,12,707,707,100.0,01012
1,21,135,135,100.0,01021
1,32,148,148,100.0,01032
1,33,53,53,100.0,01033
1,37,149,149,100.0,01037
2,1,467,467,100.0,02001
2,6,639,639,100.0,02006
2,7,559,559,100.0,02007
2,8,760,760,100.0,02008
2,15,454,454,100.0,02015
2,17,524,524,100.0,02017
2,20,617,617,100.0,02020
2,25,667,667,100.0,02025
24,17,72,72,100.0,24017
24,19,377,377,100.0,24019
24,20,235,235,100.0,24020
24,32,178,178,100.0,24032
24,41,239,239,100.0,24041
26,4,77,77,100.0,26004
26,17,316,316,100.0,26017
26,19,124,124,100.0,26019
26,28,388,388,100.0,26028
26,46,264,264,100.0,26046
27,1,1057,1057,100.0,27001
27,3,234,234,100.0,27003
27,4,234,234,100.0,27004
27,5,330,330,100.0,27005
27,8,336,336,100.0,27008
27,10,204,204,100.0,27010
27,11,402,402,100.0,27011
27,13,439,439,100.0,27013
27,14,103,103,100.0,27014
27,15,222,222,100.0,27015
27,16,160,160,100.0,27016
27,17,426,426,100.0,27017
27,19,221,221,100.0,27019
27,22,198,198,100.0,27022
27,23,288,288,100.0,27023
27,24,245,245,100.0,27024
27,25,306,306,100.0,27025
27,26,289,289,100.0,27026
27,27,551,551,100.0,27027
27,29,265,265,100.0,27029
27,30,190,190,100.0,27030
27,31,311,311,100.0,27031
27,32,408,408,100.0,27032
27,33,423,423,100.0,27033
27,34,303,303,100.0,27034
27,35,570,570,100.0,27035
27,36,321,321,100.0,27036
27,37,5,5,100.0,27037
27,39,307,307,100.0,27039
27,40,548,548,100.0,27040
27,43,342,342,100.0,27043
27,44,276,276,100.0,27044
27,45,45,45,100.0,27045
27,49,306,306,100.0,27049
27,50,376,376,100.0,27050
28,1,30,30,100.0,28001
28,2,296,296,100.0,28002
28,3,240,240,100.0,28003
28,7,325,325,100.0,28007
28,9,314,314,100.0,28009
28,13,377,377,100.0,28013
28,15,65,65,100.0,28015
28,16,213,213,100.0,28016
28,17,271,271,100.0,28017
28,20,265,265,100.0,28020
28,21,267,267,100.0,28021
28,22,295,295,100.0,28022
28,23,385,385,100.0,28023
28,24,280,280,100.0,28024
28,25,472,472,100.0,28025
28,26,302,302,100.0,28026
28,30,50,50,100.0,28030
28,32,275,275,100.0,28032
28,33,350,350,100.0,28033
28,36,167,167,100.0,28036
28,37,337,337,100.0,28037
28,38,126,126,100.0,28038
28,40,437,437,100.0,28040
28,42,108,108,100.0,28042
28,44,237,237,100.0,28044
29,6,4,4,100.0,29006
32,2,655,655,100.0,32002
32,4,532,532,100.0,32004
32,5,601,601,100.0,32005
32,6,741,741,100.0,32006
32,29,467,467,100.0,32029
32,31,618,618,100.0,32031
32,32,704,704,100.0,32032
32,33,288,288,100.0,32033
32,34,596,596,100.0,32034
32,35,566,566,100.0,32035
32,36,607,607,100.0,32036
32,37,269,269,100.0,32037
37,2,323,323,100.0,37002
37,3,254,254,100.0,37003
37,4,292,292,100.0,37004
37,7,284,284,100.0,37007
37,8,266,266,100.0,37008
37,12,234,234,100.0,37012
37,13,262,262,100.0,37013
37,14,20,20,100.0,37014
37,19,277,277,100.0,37019
37,20,8,8,100.0,37020
37,21,313,313,100.0,37021
37,22,46,46,100.0,37022
37,27,4,4,100.0,37027
37,28,313,313,100.0,37028
37,30,92,92,100.0,37030
43,5,220,220,100.0,43005
43,7,355,355,100.0,43007
43,10,668,668,100.0,43010
43,11,500,500,100.0,43011
43,23,398,398,100.0,43023
