ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,Sargis Sangari,Sargis Sangari Percent,precinct_id
40,4,395,314,79.49,81,20.51,40004
40,9,522,423,81.03,99,18.97,40009
40,10,547,459,83.91,88,16.09,40010
40,18,532,461,86.65,71,13.35,40018
40,22,760,687,90.39,73,9.61,40022
40,25,143,134,93.71,9,6.29,40025
40,26,679,618,91.02,61,8.98,40026
40,27,821,722,87.94,99,12.06,40027
40,28,652,588,90.18,64,9.82,40028
40,31,594,542,91.25,52,8.75,40031
40,33,614,569,92.67,45,7.33,40033
40,35,470,373,79.36,97,20.64,40035
40,36,559,493,88.19,66,11.81,40036
40,37,664,577,86.9,87,13.1,40037
40,39,271,205,75.65,66,24.35,40039
41,1,585,275,47.01,310,52.99,41001
41,2,636,298,46.86,338,53.14,41002
41,4,594,338,56.9,256,43.1,41004
41,5,718,410,57.1,308,42.9,41005
41,7,638,353,55.33,285,44.67,41007
41,8,617,325,52.67,292,47.33,41008
41,10,609,346,56.81,263,43.19,41010
41,11,470,224,47.66,246,52.34,41011
41,13,735,378,51.43,357,48.57,41013
41,15,756,446,58.99,310,41.01,41015
41,17,105,65,61.9,40,38.1,41017
41,18,568,330,58.1,238,41.9,41018
41,20,450,246,54.67,204,45.33,41020
41,23,345,139,40.29,206,59.71,41023
41,25,637,355,55.73,282,44.27,41025
41,28,708,447,63.14,261,36.86,41028
41,29,554,309,55.78,245,44.22,41029
41,31,566,352,62.19,214,37.81,41031
41,33,93,56,60.22,37,39.78,41033
41,34,563,302,53.64,261,46.36,41034
41,36,588,331,56.29,257,43.71,41036
41,37,660,375,56.82,285,43.18,41037
41,40,690,322,46.67,368,53.33,41040
41,41,658,349,53.04,309,46.96,41041
41,42,633,306,48.34,327,51.66,41042
41,43,633,354,55.92,279,44.08,41043
41,44,637,282,44.27,355,55.73,41044
41,45,334,190,56.89,144,43.11,41045
44,3,417,358,85.85,59,14.15,44003
44,4,622,517,83.12,105,16.88,44004
44,7,504,394,78.17,110,21.83,44007
44,24,546,454,83.15,92,16.85,44024
44,35,878,724,82.46,154,17.54,44035
46,1,500,441,88.2,59,11.8,46001
46,2,662,603,91.09,59,8.91,46002
46,4,645,593,91.94,52,8.06,46004
46,5,19,13,68.42,6,31.58,46005
46,6,636,576,90.57,60,9.43,46006
46,7,723,612,84.65,111,15.35,46007
46,8,514,457,88.91,57,11.09,46008
46,9,764,690,90.31,74,9.69,46009
46,11,727,583,80.19,144,19.81,46011
46,12,622,565,90.84,57,9.16,46012
46,13,737,642,87.11,95,12.89,46013
46,14,775,689,88.9,86,11.1,46014
46,15,738,641,86.86,97,13.14,46015
46,16,412,375,91.02,37,8.98,46016
46,17,763,636,83.36,127,16.64,46017
46,18,825,673,81.58,152,18.42,46018
46,20,576,523,90.8,53,9.2,46020
46,21,533,447,83.86,86,16.14,46021
46,22,495,455,91.92,40,8.08,46022
46,23,610,565,92.62,45,7.38,46023
46,24,627,539,85.96,88,14.04,46024
46,25,655,603,92.06,52,7.94,46025
46,26,973,879,90.34,94,9.66,46026
46,27,903,799,88.48,104,11.52,46027
46,29,585,503,85.98,82,14.02,46029
46,32,684,604,88.3,80,11.7,46032
46,34,880,787,89.43,93,10.57,46034
46,35,796,705,88.57,91,11.43,46035
46,37,577,519,89.95,58,10.05,46037
46,38,147,130,88.44,17,11.56,46038
46,40,576,516,89.58,60,10.42,46040
47,15,844,793,93.96,51,6.04,47015
47,19,1096,1018,92.88,78,7.12,47019
47,23,785,725,92.36,60,7.64,47023
47,30,510,461,90.39,49,9.61,47030
48,1,656,607,92.53,49,7.47,48001
48,2,306,264,86.27,42,13.73,48002
48,3,773,690,89.26,83,10.74,48003
48,4,657,612,93.15,45,6.85,48004
48,5,376,332,88.3,44,11.7,48005
48,6,820,730,89.02,90,10.98,48006
48,7,703,649,92.32,54,7.68,48007
48,8,355,296,83.38,59,16.62,48008
48,9,469,368,78.46,101,21.54,48009
48,10,915,860,93.99,55,6.01,48010
48,11,545,499,91.56,46,8.44,48011
48,12,833,758,91.0,75,9.0,48012
48,13,868,733,84.45,135,15.55,48013
48,14,332,266,80.12,66,19.88,48014
48,15,428,363,84.81,65,15.19,48015
48,16,733,648,88.4,85,11.6,48016
48,17,587,519,88.42,68,11.58,48017
48,18,477,403,84.49,74,15.51,48018
48,19,463,422,91.14,41,8.86,48019
48,20,698,635,90.97,63,9.03,48020
48,21,899,789,87.76,110,12.24,48021
48,22,540,459,85.0,81,15.0,48022
48,23,640,544,85.0,96,15.0,48023
48,24,819,611,74.6,208,25.4,48024
48,25,543,491,90.42,52,9.58,48025
48,26,333,288,86.49,45,13.51,48026
48,27,649,587,90.45,62,9.55,48027
48,28,821,635,77.34,186,22.66,48028
48,29,307,271,88.27,36,11.73,48029
48,30,557,508,91.2,49,8.8,48030
48,31,938,846,90.19,92,9.81,48031
48,32,727,656,90.23,71,9.77,48032
48,33,366,315,86.07,51,13.93,48033
48,34,577,527,91.33,50,8.67,48034
48,35,439,364,82.92,75,17.08,48035
48,36,379,322,84.96,57,15.04,48036
48,37,710,647,91.13,63,8.87,48037
48,38,664,589,88.7,75,11.3,48038
48,39,529,445,84.12,84,15.88,48039
48,40,575,526,91.48,49,8.52,48040
48,41,866,800,92.38,66,7.62,48041
48,42,724,690,95.3,34,4.7,48042
48,43,774,696,89.92,78,10.08,48043
48,44,811,758,93.46,53,6.54,48044
48,45,482,448,92.95,34,7.05,48045
48,46,432,373,86.34,59,13.66,48046
49,1,435,412,94.71,23,5.29,49001
49,2,413,394,95.4,19,4.6,49002
49,3,812,753,92.73,59,7.27,49003
49,4,861,791,91.87,70,8.13,49004
49,5,615,566,92.03,49,7.97,49005
49,6,587,535,91.14,52,8.86,49006
49,7,560,492,87.86,68,12.14,49007
49,8,601,547,91.01,54,8.99,49008
49,9,698,623,89.26,75,10.74,49009
49,10,742,666,89.76,76,10.24,49010
49,11,845,784,92.78,61,7.22,49011
49,12,810,735,90.74,75,9.26,49012
49,13,783,709,90.55,74,9.45,49013
49,14,537,488,90.88,49,9.12,49014
49,15,505,469,92.87,36,7.13,49015
49,16,640,566,88.44,74,11.56,49016
49,17,559,468,83.72,91,16.28,49017
49,18,828,774,93.48,54,6.52,49018
49,19,635,587,92.44,48,7.56,49019
49,20,986,903,91.58,83,8.42,49020
49,21,423,380,89.83,43,10.17,49021
49,22,709,638,89.99,71,10.01,49022
49,23,866,783,90.42,83,9.58,49023
49,24,547,511,93.42,36,6.58,49024
49,25,853,776,90.97,77,9.03,49025
49,26,789,706,89.48,83,10.52,49026
49,27,760,697,91.71,63,8.29,49027
49,28,939,861,91.69,78,8.31,49028
49,29,807,741,91.82,66,8.18,49029
49,30,733,649,88.54,84,11.46,49030
49,31,501,450,89.82,51,10.18,49031
49,32,638,593,92.95,45,7.05,49032
49,33,520,480,92.31,40,7.69,49033
50,1,575,309,53.74,266,46.26,50001
50,2,360,213,59.17,147,40.83,50002
50,3,509,286,56.19,223,43.81,50003
50,4,628,459,73.09,169,26.91,50004
50,5,432,208,48.15,224,51.85,50005
50,6,582,450,77.32,132,22.68,50006
50,7,605,535,88.43,70,11.57,50007
50,8,534,472,88.39,62,11.61,50008
50,9,471,346,73.46,125,26.54,50009
50,10,648,372,57.41,276,42.59,50010
50,11,420,139,33.1,281,66.9,50011
50,12,253,157,62.06,96,37.94,50012
50,13,652,550,84.36,102,15.64,50013
50,14,196,109,55.61,87,44.39,50014
50,15,621,517,83.25,104,16.75,50015
50,16,187,114,60.96,73,39.04,50016
50,17,620,409,65.97,211,34.03,50017
50,18,107,53,49.53,54,50.47,50018
