ward,precinct,total,Justin Q. Slaughter,Justin Q. Slaughter Percent,precinct_id
9,2,60,60,100.0,09002
9,10,293,293,100.0,09010
9,17,94,94,100.0,09017
9,20,343,343,100.0,09020
9,21,338,338,100.0,09021
9,27,304,304,100.0,09027
9,30,303,303,100.0,09030
19,14,466,466,100.0,19014
19,20,367,367,100.0,19020
19,31,355,355,100.0,19031
19,40,440,440,100.0,19040
19,42,336,336,100.0,19042
19,43,603,603,100.0,19043
19,47,609,609,100.0,19047
19,48,532,532,100.0,19048
19,49,540,540,100.0,19049
21,2,191,191,100.0,21002
21,5,421,421,100.0,21005
21,6,326,326,100.0,21006
21,10,345,345,100.0,21010
21,11,372,372,100.0,21011
21,12,354,354,100.0,21012
21,17,285,285,100.0,21017
21,19,443,443,100.0,21019
21,20,141,141,100.0,21020
21,21,316,316,100.0,21021
21,22,239,239,100.0,21022
21,23,368,368,100.0,21023
21,24,414,414,100.0,21024
21,25,351,351,100.0,21025
21,27,443,443,100.0,21027
21,33,341,341,100.0,21033
21,34,167,167,100.0,21034
21,35,475,475,100.0,21035
21,36,296,296,100.0,21036
21,37,305,305,100.0,21037
21,38,401,401,100.0,21038
21,39,357,357,100.0,21039
21,40,357,357,100.0,21040
21,41,416,416,100.0,21041
21,42,307,307,100.0,21042
21,43,46,46,100.0,21043
21,44,293,293,100.0,21044
21,45,378,378,100.0,21045
21,46,419,419,100.0,21046
21,48,212,212,100.0,21048
21,49,440,440,100.0,21049
21,50,278,278,100.0,21050
21,52,51,51,100.0,21052
34,1,428,428,100.0,34001
34,2,169,169,100.0,34002
34,5,358,358,100.0,34005
34,7,438,438,100.0,34007
34,8,342,342,100.0,34008
34,10,410,410,100.0,34010
34,12,438,438,100.0,34012
34,13,403,403,100.0,34013
34,15,260,260,100.0,34015
34,17,495,495,100.0,34017
34,19,432,432,100.0,34019
34,20,155,155,100.0,34020
34,21,480,480,100.0,34021
34,25,601,601,100.0,34025
34,29,336,336,100.0,34029
34,31,37,37,100.0,34031
34,32,406,406,100.0,34032
34,34,469,469,100.0,34034
34,35,491,491,100.0,34035
34,40,436,436,100.0,34040
34,43,354,354,100.0,34043
34,44,379,379,100.0,34044
34,45,402,402,100.0,34045
34,46,282,282,100.0,34046
34,47,364,364,100.0,34047
34,48,404,404,100.0,34048
34,49,320,320,100.0,34049
34,51,191,191,100.0,34051
34,52,310,310,100.0,34052
