ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,2,348,348,100.0,33002
33,7,127,127,100.0,33007
35,30,4,4,100.0,35030
39,1,427,427,100.0,39001
39,2,306,306,100.0,39002
39,4,423,423,100.0,39004
39,5,476,476,100.0,39005
39,6,472,472,100.0,39006
39,7,409,409,100.0,39007
39,8,505,505,100.0,39008
39,9,437,437,100.0,39009
39,10,239,239,100.0,39010
39,11,455,455,100.0,39011
39,12,274,274,100.0,39012
39,13,353,353,100.0,39013
39,14,453,453,100.0,39014
39,15,502,502,100.0,39015
39,16,436,436,100.0,39016
39,17,467,467,100.0,39017
39,18,443,443,100.0,39018
39,19,455,455,100.0,39019
39,24,11,11,100.0,39024
39,25,72,72,100.0,39025
39,26,415,415,100.0,39026
39,27,58,58,100.0,39027
39,29,258,258,100.0,39029
39,30,381,381,100.0,39030
39,31,45,45,100.0,39031
39,32,363,363,100.0,39032
39,33,479,479,100.0,39033
39,35,457,457,100.0,39035
39,36,110,110,100.0,39036
39,37,418,418,100.0,39037
39,38,237,237,100.0,39038
39,39,298,298,100.0,39039
39,40,432,432,100.0,39040
39,41,431,431,100.0,39041
39,42,444,444,100.0,39042
39,43,439,439,100.0,39043
39,44,325,325,100.0,39044
39,45,378,378,100.0,39045
41,6,509,509,100.0,41006
41,9,413,413,100.0,41009
41,14,485,485,100.0,41014
41,19,454,454,100.0,41019
41,32,374,374,100.0,41032
41,39,477,477,100.0,41039
41,47,480,480,100.0,41047
45,32,117,117,100.0,45032
50,24,254,254,100.0,50024
50,25,71,71,100.0,50025
