ward,precinct,total,Aaron M. Ortiz,Aaron M. Ortiz Percent,precinct_id
12,20,2,2,100.0,12020
14,1,324,324,100.0,14001
14,2,544,544,100.0,14002
14,4,332,332,100.0,14004
14,5,564,564,100.0,14005
14,6,159,159,100.0,14006
14,7,525,525,100.0,14007
14,8,486,486,100.0,14008
14,9,446,446,100.0,14009
14,10,266,266,100.0,14010
14,12,418,418,100.0,14012
14,13,334,334,100.0,14013
14,14,370,370,100.0,14014
14,16,283,283,100.0,14016
14,17,326,326,100.0,14017
14,18,40,40,100.0,14018
14,19,375,375,100.0,14019
14,20,294,294,100.0,14020
14,21,382,382,100.0,14021
14,22,146,146,100.0,14022
14,23,213,213,100.0,14023
14,24,402,402,100.0,14024
14,25,211,211,100.0,14025
14,26,307,307,100.0,14026
14,27,381,381,100.0,14027
14,28,332,332,100.0,14028
14,29,310,310,100.0,14029
14,30,265,265,100.0,14030
14,31,220,220,100.0,14031
15,3,36,36,100.0,15003
15,4,381,381,100.0,15004
15,8,360,360,100.0,15008
15,9,50,50,100.0,15009
15,10,231,231,100.0,15010
15,11,252,252,100.0,15011
15,12,408,408,100.0,15012
15,16,449,449,100.0,15016
15,19,309,309,100.0,15019
16,1,481,481,100.0,16001
16,2,83,83,100.0,16002
16,7,278,278,100.0,16007
16,11,271,271,100.0,16011
16,13,319,319,100.0,16013
16,17,248,248,100.0,16017
16,23,411,411,100.0,16023
16,32,372,372,100.0,16032
16,35,385,385,100.0,16035
17,1,208,208,100.0,17001
17,7,307,307,100.0,17007
17,12,449,449,100.0,17012
17,14,349,349,100.0,17014
17,16,336,336,100.0,17016
17,30,95,95,100.0,17030
22,1,201,201,100.0,22001
22,2,435,435,100.0,22002
22,8,517,517,100.0,22008
22,12,301,301,100.0,22012
22,23,378,378,100.0,22023
23,3,288,288,100.0,23003
23,6,131,131,100.0,23006
23,12,24,24,100.0,23012
23,14,256,256,100.0,23014
23,17,198,198,100.0,23017
23,19,328,328,100.0,23019
23,20,34,34,100.0,23020
23,22,104,104,100.0,23022
23,24,213,213,100.0,23024
23,25,262,262,100.0,23025
23,26,159,159,100.0,23026
23,31,327,327,100.0,23031
23,37,128,128,100.0,23037
