ward,precinct,total,"Jaime M. Andrade, Jr.","Jaime M. Andrade, Jr. Percent",precinct_id
1,41,24,24,100.0,01041
1,42,34,34,100.0,01042
30,3,358,358,100.0,30003
30,7,6,6,100.0,30007
30,8,549,549,100.0,30008
30,15,431,431,100.0,30015
30,18,341,341,100.0,30018
30,22,684,684,100.0,30022
30,23,35,35,100.0,30023
30,24,519,519,100.0,30024
30,25,291,291,100.0,30025
30,28,476,476,100.0,30028
30,32,393,393,100.0,30032
32,1,225,225,100.0,32001
32,3,322,322,100.0,32003
32,17,566,566,100.0,32017
32,26,303,303,100.0,32026
32,28,252,252,100.0,32028
32,43,502,502,100.0,32043
33,1,627,627,100.0,33001
33,2,428,428,100.0,33002
33,3,702,702,100.0,33003
33,4,795,795,100.0,33004
33,5,455,455,100.0,33005
33,6,557,557,100.0,33006
33,7,503,503,100.0,33007
33,9,674,674,100.0,33009
33,11,626,626,100.0,33011
33,12,634,634,100.0,33012
33,13,591,591,100.0,33013
33,14,287,287,100.0,33014
33,15,639,639,100.0,33015
33,16,834,834,100.0,33016
33,17,630,630,100.0,33017
33,18,615,615,100.0,33018
33,19,739,739,100.0,33019
33,20,685,685,100.0,33020
33,21,660,660,100.0,33021
33,22,574,574,100.0,33022
33,25,724,724,100.0,33025
33,26,468,468,100.0,33026
33,27,676,676,100.0,33027
33,28,535,535,100.0,33028
35,1,532,532,100.0,35001
35,4,506,506,100.0,35004
35,5,433,433,100.0,35005
35,6,538,538,100.0,35006
35,9,446,446,100.0,35009
35,20,527,527,100.0,35020
35,22,615,615,100.0,35022
35,23,531,531,100.0,35023
35,24,462,462,100.0,35024
35,26,430,430,100.0,35026
35,27,485,485,100.0,35027
35,29,481,481,100.0,35029
35,30,492,492,100.0,35030
35,31,550,550,100.0,35031
39,3,529,529,100.0,39003
39,6,5,5,100.0,39006
39,12,351,351,100.0,39012
39,25,344,344,100.0,39025
39,28,601,601,100.0,39028
39,31,368,368,100.0,39031
39,34,549,549,100.0,39034
45,1,420,420,100.0,45001
45,2,502,502,100.0,45002
45,3,470,470,100.0,45003
45,4,582,582,100.0,45004
45,5,530,530,100.0,45005
45,6,656,656,100.0,45006
45,7,712,712,100.0,45007
45,8,39,39,100.0,45008
