ward,precinct,total,Julie Bess Aimen,Julie Bess Aimen Percent,precinct_id
39,13,21,21,100.0,39013
39,18,32,32,100.0,39018
39,32,168,168,100.0,39032
39,36,26,26,100.0,39036
40,9,344,344,100.0,40009
40,10,148,148,100.0,40010
40,18,292,292,100.0,40018
40,27,574,574,100.0,40027
40,28,361,361,100.0,40028
40,35,291,291,100.0,40035
40,37,470,470,100.0,40037
41,6,178,178,100.0,41006
41,9,310,310,100.0,41009
41,14,140,140,100.0,41014
41,19,366,366,100.0,41019
41,47,147,147,100.0,41047
48,13,572,572,100.0,48013
48,15,313,313,100.0,48015
48,22,352,352,100.0,48022
48,27,296,296,100.0,48027
48,31,325,325,100.0,48031
48,32,356,356,100.0,48032
48,33,240,240,100.0,48033
48,46,289,289,100.0,48046
49,1,294,294,100.0,49001
49,3,610,610,100.0,49003
49,4,626,626,100.0,49004
49,5,458,458,100.0,49005
49,6,436,436,100.0,49006
49,7,394,394,100.0,49007
49,8,430,430,100.0,49008
49,9,503,503,100.0,49009
49,10,580,580,100.0,49010
49,11,626,626,100.0,49011
49,12,613,613,100.0,49012
49,13,556,556,100.0,49013
49,14,382,382,100.0,49014
49,15,378,378,100.0,49015
49,16,442,442,100.0,49016
49,18,638,638,100.0,49018
49,19,467,467,100.0,49019
49,20,748,748,100.0,49020
49,21,307,307,100.0,49021
49,22,503,503,100.0,49022
49,23,636,636,100.0,49023
49,24,381,381,100.0,49024
49,25,627,627,100.0,49025
49,26,569,569,100.0,49026
49,27,559,559,100.0,49027
49,28,702,702,100.0,49028
49,29,579,579,100.0,49029
49,30,508,508,100.0,49030
49,31,342,342,100.0,49031
49,32,475,475,100.0,49032
49,33,398,398,100.0,49033
50,1,266,266,100.0,50001
50,2,184,184,100.0,50002
50,3,255,255,100.0,50003
50,4,351,351,100.0,50004
50,5,190,190,100.0,50005
50,6,370,370,100.0,50006
50,7,440,440,100.0,50007
50,8,353,353,100.0,50008
50,9,289,289,100.0,50009
50,10,327,327,100.0,50010
50,11,140,140,100.0,50011
50,12,111,111,100.0,50012
50,13,451,451,100.0,50013
50,14,104,104,100.0,50014
50,15,431,431,100.0,50015
50,16,85,85,100.0,50016
50,17,344,344,100.0,50017
50,18,34,34,100.0,50018
50,19,300,300,100.0,50019
50,20,381,381,100.0,50020
50,21,319,319,100.0,50021
50,22,282,282,100.0,50022
50,24,154,154,100.0,50024
50,25,263,263,100.0,50025
50,26,301,301,100.0,50026
50,27,89,89,100.0,50027
50,28,379,379,100.0,50028
50,29,385,385,100.0,50029
50,30,231,231,100.0,50030
50,31,401,401,100.0,50031
50,32,434,434,100.0,50032
50,33,189,189,100.0,50033
50,34,429,429,100.0,50034
50,35,500,500,100.0,50035
50,36,356,356,100.0,50036
50,37,372,372,100.0,50037
50,38,105,105,100.0,50038
50,39,208,208,100.0,50039
50,40,191,191,100.0,50040
