ward,precinct,total,Elizabeth ''Lisa'' Hernandez,Elizabeth ''Lisa'' Hernandez Percent,precinct_id
12,16,15,15,100.0,12016
22,3,620,620,100.0,22003
22,4,191,191,100.0,22004
22,5,361,361,100.0,22005
22,6,384,384,100.0,22006
22,7,266,266,100.0,22007
22,9,330,330,100.0,22009
22,10,8,8,100.0,22010
22,11,323,323,100.0,22011
22,13,183,183,100.0,22013
22,15,61,61,100.0,22015
22,16,11,11,100.0,22016
22,17,413,413,100.0,22017
22,18,158,158,100.0,22018
22,20,401,401,100.0,22020
22,24,474,474,100.0,22024
22,25,386,386,100.0,22025
