ward,precinct,total,Marie Newman,Marie Newman Percent,Mike Fricilone,Mike Fricilone Percent,precinct_id
11,1,595,436,73.28,159,26.72,11001
11,4,463,360,77.75,103,22.25,11004
11,5,728,608,83.52,120,16.48,11005
11,8,532,408,76.69,124,23.31,11008
11,9,488,355,72.75,133,27.25,11009
11,10,551,383,69.51,168,30.49,11010
11,11,647,444,68.62,203,31.38,11011
11,12,724,390,53.87,334,46.13,11012
11,13,696,364,52.3,332,47.7,11013
11,15,219,159,72.6,60,27.4,11015
11,16,420,274,65.24,146,34.76,11016
11,17,682,531,77.86,151,22.14,11017
11,18,476,309,64.92,167,35.08,11018
11,19,736,585,79.48,151,20.52,11019
11,20,409,265,64.79,144,35.21,11020
11,21,658,419,63.68,239,36.32,11021
11,22,691,488,70.62,203,29.38,11022
11,23,318,195,61.32,123,38.68,11023
11,24,610,400,65.57,210,34.43,11024
11,25,711,526,73.98,185,26.02,11025
11,26,596,425,71.31,171,28.69,11026
11,27,230,169,73.48,61,26.52,11027
11,28,280,174,62.14,106,37.86,11028
11,29,676,418,61.83,258,38.17,11029
11,31,574,346,60.28,228,39.72,11031
11,32,260,126,48.46,134,51.54,11032
11,37,0,0,0.0,0,0.0,11037
12,1,488,409,83.81,79,16.19,12001
12,3,457,384,84.03,73,15.97,12003
12,4,557,469,84.2,88,15.8,12004
12,5,146,109,74.66,37,25.34,12005
12,8,21,17,80.95,4,19.05,12008
12,9,424,337,79.48,87,20.52,12009
12,19,485,404,83.3,81,16.7,12019
12,23,520,438,84.23,82,15.77,12023
13,1,420,263,62.62,157,37.38,13001
13,2,352,205,58.24,147,41.76,13002
13,3,358,308,86.03,50,13.97,13003
13,4,479,274,57.2,205,42.8,13004
13,5,518,438,84.56,80,15.44,13005
13,6,411,203,49.39,208,50.61,13006
13,7,372,290,77.96,82,22.04,13007
13,8,346,220,63.58,126,36.42,13008
13,9,469,387,82.52,82,17.48,13009
13,10,386,170,44.04,216,55.96,13010
13,11,462,289,62.55,173,37.45,13011
13,12,402,307,76.37,95,23.63,13012
13,13,408,329,80.64,79,19.36,13013
13,14,427,326,76.35,101,23.65,13014
13,15,626,522,83.39,104,16.61,13015
13,16,316,276,87.34,40,12.66,13016
13,17,382,259,67.8,123,32.2,13017
13,18,375,207,55.2,168,44.8,13018
13,20,318,166,52.2,152,47.8,13020
13,21,515,243,47.18,272,52.82,13021
13,22,505,272,53.86,233,46.14,13022
13,23,354,294,83.05,60,16.95,13023
13,24,434,324,74.65,110,25.35,13024
13,25,444,356,80.18,88,19.82,13025
13,26,453,323,71.3,130,28.7,13026
13,27,428,294,68.69,134,31.31,13027
13,28,336,270,80.36,66,19.64,13028
13,29,347,269,77.52,78,22.48,13029
13,30,342,307,89.77,35,10.23,13030
13,31,484,262,54.13,222,45.87,13031
13,32,390,178,45.64,212,54.36,13032
13,33,423,227,53.66,196,46.34,13033
13,34,419,372,88.78,47,11.22,13034
13,35,374,300,80.21,74,19.79,13035
13,36,309,270,87.38,39,12.62,13036
13,37,432,356,82.41,76,17.59,13037
13,38,372,194,52.15,178,47.85,13038
13,39,400,333,83.25,67,16.75,13039
13,40,437,325,74.37,112,25.63,13040
13,41,417,363,87.05,54,12.95,13041
13,42,461,232,50.33,229,49.67,13042
13,43,432,318,73.61,114,26.39,13043
13,44,448,390,87.05,58,12.95,13044
13,45,458,312,68.12,146,31.88,13045
13,46,492,401,81.5,91,18.5,13046
13,47,508,439,86.42,69,13.58,13047
13,48,388,227,58.51,161,41.49,13048
14,1,541,247,45.66,294,54.34,14001
14,4,513,267,52.05,246,47.95,14004
14,5,35,35,100.0,0,0.0,14005
14,7,614,511,83.22,103,16.78,14007
14,8,578,463,80.1,115,19.9,14008
14,9,616,357,57.95,259,42.05,14009
14,12,525,393,74.86,132,25.14,14012
14,18,232,173,74.57,59,25.43,14018
14,21,449,376,83.74,73,16.26,14021
14,22,670,480,71.64,190,28.36,14022
14,23,406,291,71.67,115,28.33,14023
14,24,573,317,55.32,256,44.68,14024
14,25,0,0,0.0,0,0.0,14025
14,26,363,332,91.46,31,8.54,14026
14,29,340,302,88.82,38,11.18,14029
15,1,326,289,88.65,37,11.35,15001
15,5,99,85,85.86,14,14.14,15005
15,8,161,139,86.34,22,13.66,15008
15,13,381,337,88.45,44,11.55,15013
15,14,330,289,87.58,41,12.42,15014
15,15,256,223,87.11,33,12.89,15015
15,16,493,441,89.45,52,10.55,15016
15,19,383,348,90.86,35,9.14,15019
16,1,379,341,89.97,38,10.03,16001
16,7,15,15,100.0,0,0.0,16007
16,23,428,395,92.29,33,7.71,16023
16,32,466,417,89.48,49,10.52,16032
16,35,147,128,87.07,19,12.93,16035
18,15,486,411,84.57,75,15.43,18015
18,24,472,365,77.33,107,22.67,18024
18,25,496,400,80.65,96,19.35,18025
18,30,583,440,75.47,143,24.53,18030
18,40,492,420,85.37,72,14.63,18040
18,43,406,322,79.31,84,20.69,18043
18,46,534,415,77.72,119,22.28,18046
19,1,462,234,50.65,228,49.35,19001
19,2,93,71,76.34,22,23.66,19002
19,3,460,133,28.91,327,71.09,19003
19,4,632,232,36.71,400,63.29,19004
19,5,197,137,69.54,60,30.46,19005
19,6,588,253,43.03,335,56.97,19006
19,7,483,290,60.04,193,39.96,19007
19,8,591,192,32.49,399,67.51,19008
19,9,374,174,46.52,200,53.48,19009
19,10,569,445,78.21,124,21.79,19010
19,11,487,137,28.13,350,71.87,19011
19,12,476,154,32.35,322,67.65,19012
19,15,715,263,36.78,452,63.22,19015
19,16,536,201,37.5,335,62.5,19016
19,17,448,210,46.88,238,53.13,19017
19,18,509,376,73.87,133,26.13,19018
19,19,657,510,77.63,147,22.37,19019
19,21,567,203,35.8,364,64.2,19021
19,22,564,398,70.57,166,29.43,19022
19,23,549,273,49.73,276,50.27,19023
19,24,397,149,37.53,248,62.47,19024
19,25,373,223,59.79,150,40.21,19025
19,26,521,337,64.68,184,35.32,19026
19,29,590,224,37.97,366,62.03,19029
19,30,528,193,36.55,335,63.45,19030
19,32,483,249,51.55,234,48.45,19032
19,33,589,204,34.63,385,65.37,19033
19,34,454,309,68.06,145,31.94,19034
19,35,468,332,70.94,136,29.06,19035
19,41,537,182,33.89,355,66.11,19041
19,44,634,215,33.91,419,66.09,19044
19,45,535,272,50.84,263,49.16,19045
19,46,533,256,48.03,277,51.97,19046
19,50,437,262,59.95,175,40.05,19050
19,51,576,308,53.47,268,46.53,19051
19,52,647,265,40.96,382,59.04,19052
19,53,492,302,61.38,190,38.62,19053
19,54,466,142,30.47,324,69.53,19054
19,55,465,158,33.98,307,66.02,19055
19,56,549,426,77.6,123,22.4,19056
19,57,389,316,81.23,73,18.77,19057
20,4,76,63,82.89,13,17.11,20004
20,15,219,189,86.3,30,13.7,20015
20,20,0,0,0.0,0,0.0,20020
22,1,250,238,95.2,12,4.8,22001
22,2,584,407,69.69,177,30.31,22002
22,8,654,520,79.51,134,20.49,22008
22,12,395,302,76.46,93,23.54,22012
22,23,493,474,96.15,19,3.85,22023
23,1,444,217,48.87,227,51.13,23001
23,2,491,271,55.19,220,44.81,23002
23,3,444,227,51.13,217,48.87,23003
23,4,519,313,60.31,206,39.69,23004
23,5,467,406,86.94,61,13.06,23005
23,6,477,377,79.04,100,20.96,23006
23,7,431,352,81.67,79,18.33,23007
23,8,557,390,70.02,167,29.98,23008
23,9,197,172,87.31,25,12.69,23009
23,10,525,418,79.62,107,20.38,23010
23,11,519,446,85.93,73,14.07,23011
23,12,508,225,44.29,283,55.71,23012
23,14,448,236,52.68,212,47.32,23014
23,15,351,308,87.75,43,12.25,23015
23,16,465,230,49.46,235,50.54,23016
23,17,213,191,89.67,22,10.33,23017
23,18,426,238,55.87,188,44.13,23018
23,19,258,226,87.6,32,12.4,23019
23,20,324,273,84.26,51,15.74,23020
23,21,449,206,45.88,243,54.12,23021
23,22,479,302,63.05,177,36.95,23022
23,23,442,263,59.5,179,40.5,23023
23,25,407,325,79.85,82,20.15,23025
23,26,290,205,70.69,85,29.31,23026
23,27,437,212,48.51,225,51.49,23027
23,28,518,281,54.25,237,45.75,23028
23,29,405,253,62.47,152,37.53,23029
23,30,534,433,81.09,101,18.91,23030
23,31,313,259,82.75,54,17.25,23031
23,32,427,369,86.42,58,13.58,23032
23,33,512,442,86.33,70,13.67,23033
23,34,310,269,86.77,41,13.23,23034
23,35,372,198,53.23,174,46.77,23035
23,36,469,240,51.17,229,48.83,23036
23,37,510,237,46.47,273,53.53,23037
23,38,428,266,62.15,162,37.85,23038
23,39,94,82,87.23,12,12.77,23039
