ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,precinct_id
1,28,184,184,100.0,01028
1,42,52,52,100.0,01042
2,20,99,99,100.0,02020
2,22,592,592,100.0,02022
2,24,512,512,100.0,02024
2,26,474,474,100.0,02026
2,28,644,644,100.0,02028
2,30,465,465,100.0,02030
2,31,602,602,100.0,02031
2,33,768,768,100.0,02033
2,35,754,754,100.0,02035
2,37,487,487,100.0,02037
2,38,160,160,100.0,02038
2,44,321,321,100.0,02044
27,9,0,0,0.0,27009
27,12,392,392,100.0,27012
27,46,406,406,100.0,27046
32,1,508,508,100.0,32001
32,5,53,53,100.0,32005
32,7,710,710,100.0,32007
32,8,777,777,100.0,32008
32,9,631,631,100.0,32009
32,10,685,685,100.0,32010
32,13,692,692,100.0,32013
32,15,556,556,100.0,32015
32,16,580,580,100.0,32016
32,18,586,586,100.0,32018
32,19,582,582,100.0,32019
32,21,607,607,100.0,32021
32,23,637,637,100.0,32023
32,24,517,517,100.0,32024
32,25,598,598,100.0,32025
32,27,643,643,100.0,32027
32,29,169,169,100.0,32029
32,30,626,626,100.0,32030
32,33,272,272,100.0,32033
32,34,73,73,100.0,32034
32,36,29,29,100.0,32036
32,37,443,443,100.0,32037
32,38,605,605,100.0,32038
32,39,689,689,100.0,32039
32,40,630,630,100.0,32040
32,41,640,640,100.0,32041
32,42,572,572,100.0,32042
33,3,121,121,100.0,33003
33,5,140,140,100.0,33005
33,8,750,750,100.0,33008
33,10,519,519,100.0,33010
33,20,92,92,100.0,33020
33,23,659,659,100.0,33023
33,24,720,720,100.0,33024
43,2,636,636,100.0,43002
43,4,699,699,100.0,43004
43,6,475,475,100.0,43006
43,8,423,423,100.0,43008
43,9,551,551,100.0,43009
43,12,389,389,100.0,43012
43,13,581,581,100.0,43013
43,14,584,584,100.0,43014
43,15,579,579,100.0,43015
43,16,840,840,100.0,43016
43,17,448,448,100.0,43017
43,18,646,646,100.0,43018
43,19,598,598,100.0,43019
43,20,738,738,100.0,43020
43,21,652,652,100.0,43021
43,22,421,421,100.0,43022
43,24,433,433,100.0,43024
43,25,487,487,100.0,43025
43,26,363,363,100.0,43026
43,27,521,521,100.0,43027
43,28,731,731,100.0,43028
43,29,810,810,100.0,43029
43,30,587,587,100.0,43030
43,31,530,530,100.0,43031
43,32,607,607,100.0,43032
43,33,561,561,100.0,43033
43,34,383,383,100.0,43034
43,36,384,384,100.0,43036
43,37,696,696,100.0,43037
43,38,406,406,100.0,43038
43,39,450,450,100.0,43039
43,40,443,443,100.0,43040
43,41,709,709,100.0,43041
43,42,553,553,100.0,43042
43,43,567,567,100.0,43043
43,44,584,584,100.0,43044
43,46,376,376,100.0,43046
44,1,991,991,100.0,44001
44,2,658,658,100.0,44002
44,3,364,364,100.0,44003
44,4,514,514,100.0,44004
44,5,654,654,100.0,44005
44,6,859,859,100.0,44006
44,7,400,400,100.0,44007
44,8,899,899,100.0,44008
44,9,650,650,100.0,44009
44,10,692,692,100.0,44010
44,11,726,726,100.0,44011
44,12,693,693,100.0,44012
44,13,555,555,100.0,44013
44,14,607,607,100.0,44014
44,15,600,600,100.0,44015
44,16,746,746,100.0,44016
44,17,840,840,100.0,44017
44,18,725,725,100.0,44018
44,19,787,787,100.0,44019
44,20,810,810,100.0,44020
44,21,787,787,100.0,44021
44,22,611,611,100.0,44022
44,23,633,633,100.0,44023
44,24,464,464,100.0,44024
44,25,667,667,100.0,44025
44,26,824,824,100.0,44026
44,27,760,760,100.0,44027
44,28,703,703,100.0,44028
44,29,768,768,100.0,44029
44,30,785,785,100.0,44030
44,31,581,581,100.0,44031
44,32,740,740,100.0,44032
44,33,715,715,100.0,44033
44,34,705,705,100.0,44034
44,35,727,727,100.0,44035
44,36,743,743,100.0,44036
44,37,730,730,100.0,44037
44,38,800,800,100.0,44038
44,39,697,697,100.0,44039
44,40,639,639,100.0,44040
44,41,876,876,100.0,44041
46,3,702,702,100.0,46003
46,5,817,817,100.0,46005
46,7,603,603,100.0,46007
46,9,678,678,100.0,46009
46,10,1082,1082,100.0,46010
46,11,574,574,100.0,46011
46,13,647,647,100.0,46013
46,15,636,636,100.0,46015
46,17,655,655,100.0,46017
46,18,696,696,100.0,46018
46,19,412,412,100.0,46019
46,24,773,773,100.0,46024
46,26,307,307,100.0,46026
46,27,797,797,100.0,46027
46,28,563,563,100.0,46028
46,29,451,451,100.0,46029
46,30,659,659,100.0,46030
46,31,652,652,100.0,46031
46,33,673,673,100.0,46033
46,34,774,774,100.0,46034
46,35,681,681,100.0,46035
46,36,574,574,100.0,46036
46,38,727,727,100.0,46038
46,39,564,564,100.0,46039
47,1,420,420,100.0,47001
47,2,588,588,100.0,47002
47,3,545,545,100.0,47003
47,4,740,740,100.0,47004
47,5,163,163,100.0,47005
47,6,745,745,100.0,47006
47,7,569,569,100.0,47007
47,8,596,596,100.0,47008
47,9,585,585,100.0,47009
47,11,627,627,100.0,47011
47,12,659,659,100.0,47012
47,13,597,597,100.0,47013
47,14,539,539,100.0,47014
47,16,575,575,100.0,47016
47,17,597,597,100.0,47017
47,18,570,570,100.0,47018
47,21,571,571,100.0,47021
47,24,672,672,100.0,47024
47,25,755,755,100.0,47025
47,27,526,526,100.0,47027
47,28,42,42,100.0,47028
47,29,699,699,100.0,47029
47,33,642,642,100.0,47033
47,35,588,588,100.0,47035
47,39,591,591,100.0,47039
47,40,568,568,100.0,47040
47,41,107,107,100.0,47041
47,43,548,548,100.0,47043
47,44,541,541,100.0,47044
47,46,599,599,100.0,47046
47,47,739,739,100.0,47047
47,48,31,31,100.0,47048
