ward,precinct,total,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,188,188,100.0,01028
1,42,53,53,100.0,01042
2,20,98,98,100.0,02020
2,22,576,576,100.0,02022
2,24,501,501,100.0,02024
2,26,480,480,100.0,02026
32,1,492,492,100.0,32001
32,5,54,54,100.0,32005
32,7,698,698,100.0,32007
32,8,771,771,100.0,32008
32,9,620,620,100.0,32009
32,10,675,675,100.0,32010
32,13,683,683,100.0,32013
32,15,557,557,100.0,32015
32,16,583,583,100.0,32016
32,18,588,588,100.0,32018
32,19,570,570,100.0,32019
32,21,606,606,100.0,32021
32,23,621,621,100.0,32023
32,24,516,516,100.0,32024
32,25,592,592,100.0,32025
32,27,629,629,100.0,32027
32,29,166,166,100.0,32029
32,30,622,622,100.0,32030
32,33,273,273,100.0,32033
32,34,72,72,100.0,32034
32,36,29,29,100.0,32036
32,37,438,438,100.0,32037
32,38,600,600,100.0,32038
32,39,687,687,100.0,32039
32,40,642,642,100.0,32040
32,41,634,634,100.0,32041
32,42,570,570,100.0,32042
33,3,118,118,100.0,33003
33,5,138,138,100.0,33005
33,8,771,771,100.0,33008
33,10,515,515,100.0,33010
33,20,91,91,100.0,33020
33,23,664,664,100.0,33023
33,24,725,725,100.0,33024
43,2,625,625,100.0,43002
43,6,471,471,100.0,43006
43,9,553,553,100.0,43009
43,16,830,830,100.0,43016
43,17,444,444,100.0,43017
43,18,642,642,100.0,43018
43,20,725,725,100.0,43020
43,21,643,643,100.0,43021
43,22,411,411,100.0,43022
43,24,415,415,100.0,43024
43,29,808,808,100.0,43029
43,30,581,581,100.0,43030
43,31,533,533,100.0,43031
43,37,691,691,100.0,43037
43,39,448,448,100.0,43039
43,40,440,440,100.0,43040
43,41,712,712,100.0,43041
43,44,584,584,100.0,43044
43,46,369,369,100.0,43046
44,2,649,649,100.0,44002
44,9,644,644,100.0,44009
44,11,440,440,100.0,44011
44,16,723,723,100.0,44016
44,25,621,621,100.0,44025
44,30,780,780,100.0,44030
47,1,421,421,100.0,47001
47,2,590,590,100.0,47002
47,3,554,554,100.0,47003
47,4,730,730,100.0,47004
47,5,158,158,100.0,47005
47,6,754,754,100.0,47006
47,7,566,566,100.0,47007
47,8,597,597,100.0,47008
47,9,589,589,100.0,47009
47,11,622,622,100.0,47011
47,12,659,659,100.0,47012
47,13,596,596,100.0,47013
47,14,542,542,100.0,47014
47,16,579,579,100.0,47016
47,17,600,600,100.0,47017
47,18,568,568,100.0,47018
47,21,562,562,100.0,47021
47,24,662,662,100.0,47024
47,25,751,751,100.0,47025
47,27,532,532,100.0,47027
47,28,42,42,100.0,47028
47,29,708,708,100.0,47029
47,33,626,626,100.0,47033
47,35,586,586,100.0,47035
47,39,586,586,100.0,47039
47,40,556,556,100.0,47040
47,41,107,107,100.0,47041
47,43,538,538,100.0,47043
47,44,529,529,100.0,47044
47,46,599,599,100.0,47046
47,47,737,737,100.0,47047
47,48,36,36,100.0,47048
