ward,precinct,total,Richard J. Durbin,Richard J. Durbin Percent,Mark C. Curran Jr.,Mark C. Curran Jr. Percent,Willie L. Wilson,Willie L. Wilson Percent,Danny Malouf,Danny Malouf Percent,precinct_id
1,1,759,618,81.42,77,10.14,36,4.74,10,1.32,01001
1,2,610,514,84.26,53,8.69,25,4.1,6,0.98,01002
1,3,843,704,83.51,96,11.39,22,2.61,12,1.42,01003
1,4,828,673,81.28,107,12.92,21,2.54,13,1.57,01004
1,5,772,628,81.35,110,14.25,13,1.68,10,1.3,01005
1,6,658,512,77.81,98,14.89,24,3.65,7,1.06,01006
1,7,496,403,81.25,51,10.28,29,5.85,8,1.61,01007
1,8,655,519,79.24,77,11.76,41,6.26,6,0.92,01008
1,9,507,427,84.22,51,10.06,16,3.16,2,0.39,01009
1,10,914,735,80.42,143,15.65,12,1.31,13,1.42,01010
1,11,832,690,82.93,99,11.9,23,2.76,8,0.96,01011
1,12,882,693,78.57,127,14.4,24,2.72,16,1.81,01012
1,13,357,297,83.19,38,10.64,8,2.24,7,1.96,01013
1,14,723,602,83.26,87,12.03,23,3.18,7,0.97,01014
1,15,644,502,77.95,94,14.6,22,3.42,11,1.71,01015
1,16,775,666,85.94,72,9.29,20,2.58,8,1.03,01016
1,17,618,512,82.85,48,7.77,40,6.47,6,0.97,01017
1,18,693,592,85.43,46,6.64,27,3.9,8,1.15,01018
1,19,822,706,85.89,62,7.54,27,3.28,11,1.34,01019
1,20,543,459,84.53,39,7.18,32,5.89,4,0.74,01020
1,21,1082,901,83.27,136,12.57,13,1.2,12,1.11,01021
1,22,488,406,83.2,55,11.27,13,2.66,4,0.82,01022
1,23,910,776,85.27,71,7.8,29,3.19,12,1.32,01023
1,24,649,544,83.82,49,7.55,35,5.39,6,0.92,01024
1,25,694,574,82.71,73,10.52,29,4.18,7,1.01,01025
1,26,478,386,80.75,41,8.58,31,6.49,9,1.88,01026
1,27,792,638,80.56,99,12.5,17,2.15,24,3.03,01027
1,28,251,186,74.1,35,13.94,27,10.76,1,0.4,01028
1,29,936,783,83.65,104,11.11,20,2.14,18,1.92,01029
1,30,789,660,83.65,66,8.37,41,5.2,5,0.63,01030
1,31,656,534,81.4,67,10.21,36,5.49,6,0.91,01031
1,32,688,533,77.47,111,16.13,21,3.05,15,2.18,01032
1,33,822,643,78.22,132,16.06,23,2.8,7,0.85,01033
1,34,560,493,88.04,46,8.21,11,1.96,4,0.71,01034
1,35,892,710,79.6,126,14.13,24,2.69,17,1.91,01035
1,36,830,659,79.4,134,16.14,13,1.57,10,1.2,01036
1,37,753,597,79.28,120,15.94,16,2.12,6,0.8,01037
1,38,697,577,82.78,73,10.47,18,2.58,10,1.43,01038
1,39,608,500,82.24,79,12.99,15,2.47,6,0.99,01039
1,40,681,518,76.06,90,13.22,53,7.78,11,1.62,01040
1,41,404,349,86.39,27,6.68,12,2.97,9,2.23,01041
1,42,224,183,81.7,26,11.61,7,3.13,2,0.89,01042
1,43,457,375,82.06,44,9.63,18,3.94,8,1.75,01043
1,44,648,548,84.57,57,8.8,16,2.47,14,2.16,01044
2,1,823,667,81.04,100,12.15,20,2.43,20,2.43,02001
2,2,506,378,74.7,113,22.33,9,1.78,4,0.79,02002
2,3,841,688,81.81,112,13.32,11,1.31,15,1.78,02003
2,4,742,624,84.1,79,10.65,14,1.89,10,1.35,02004
2,5,865,710,82.08,109,12.6,15,1.73,12,1.39,02005
2,6,774,622,80.36,107,13.82,19,2.45,12,1.55,02006
2,7,685,547,79.85,96,14.01,15,2.19,15,2.19,02007
2,8,932,761,81.65,124,13.3,19,2.04,12,1.29,02008
2,9,723,481,66.53,204,28.22,23,3.18,11,1.52,02009
2,10,532,357,67.11,159,29.89,9,1.69,4,0.75,02010
2,11,725,504,69.52,199,27.45,13,1.79,5,0.69,02011
2,12,621,484,77.94,87,14.01,41,6.6,7,1.13,02012
2,13,595,452,75.97,131,22.02,0,0.0,6,1.01,02013
2,14,742,603,81.27,92,12.4,20,2.7,13,1.75,02014
2,15,694,569,81.99,80,11.53,25,3.6,9,1.3,02015
2,16,699,562,80.4,98,14.02,21,3.0,7,1.0,02016
2,17,807,646,80.05,117,14.5,20,2.48,12,1.49,02017
2,18,659,476,72.23,154,23.37,16,2.43,12,1.82,02018
2,19,483,344,71.22,127,26.29,6,1.24,6,1.24,02019
2,20,961,696,72.42,230,23.93,10,1.04,14,1.46,02020
2,21,767,643,83.83,86,11.21,17,2.22,9,1.17,02021
2,22,779,577,74.07,173,22.21,22,2.82,5,0.64,02022
2,23,473,342,72.3,117,24.74,13,2.75,1,0.21,02023
2,24,686,526,76.68,136,19.83,15,2.19,7,1.02,02024
2,25,835,672,80.48,125,14.97,11,1.32,14,1.68,02025
2,26,657,470,71.54,140,21.31,40,6.09,5,0.76,02026
2,27,639,398,62.28,213,33.33,11,1.72,10,1.56,02027
2,28,819,600,73.26,194,23.69,10,1.22,11,1.34,02028
2,29,802,590,73.57,187,23.32,12,1.5,6,0.75,02029
2,30,608,418,68.75,169,27.8,12,1.97,6,0.99,02030
2,31,812,593,73.03,187,23.03,14,1.72,13,1.6,02031
2,32,614,417,67.92,181,29.48,7,1.14,3,0.49,02032
2,33,1007,709,70.41,262,26.02,21,2.09,11,1.09,02033
2,34,526,371,70.53,138,26.24,7,1.33,5,0.95,02034
2,35,973,684,70.3,251,25.8,20,2.06,10,1.03,02035
2,36,819,574,70.09,221,26.98,15,1.83,5,0.61,02036
2,37,604,451,74.67,120,19.87,17,2.81,12,1.99,02037
2,38,648,435,67.13,192,29.63,12,1.85,5,0.77,02038
2,39,493,286,58.01,173,35.09,22,4.46,10,2.03,02039
2,40,1018,707,69.45,268,26.33,25,2.46,9,0.88,02040
2,41,872,579,66.4,249,28.56,19,2.18,16,1.83,02041
2,42,800,570,71.25,196,24.5,17,2.13,9,1.13,02042
2,43,986,657,66.63,289,29.31,17,1.72,18,1.83,02043
2,44,424,296,69.81,116,27.36,7,1.65,3,0.71,02044
2,45,843,605,71.77,183,21.71,36,4.27,12,1.42,02045
2,46,407,278,68.3,108,26.54,12,2.95,9,2.21,02046
3,1,810,595,73.46,10,1.23,198,24.44,2,0.25,03001
3,2,642,526,81.93,9,1.4,101,15.73,3,0.47,03002
3,3,543,405,74.59,50,9.21,82,15.1,1,0.18,03003
3,4,662,515,77.79,8,1.21,129,19.49,4,0.6,03004
3,5,356,264,74.16,12,3.37,71,19.94,4,1.12,03005
3,6,948,720,75.95,173,18.25,32,3.38,12,1.27,03006
3,7,377,278,73.74,6,1.59,92,24.4,0,0.0,03007
3,8,490,344,70.2,11,2.24,128,26.12,4,0.82,03008
