ward,precinct,total,Michelle Darbro,Michelle Darbro Percent,Brad Stephens,Brad Stephens Percent,precinct_id
38,2,620,186,30.0,434,70.0,38002
38,7,167,88,52.69,79,47.31,38007
38,12,601,221,36.77,380,63.23,38012
38,17,151,81,53.64,70,46.36,38017
38,20,603,251,41.63,352,58.37,38020
38,24,3,1,33.33,2,66.67,38024
38,28,710,334,47.04,376,52.96,38028
41,1,590,254,43.05,336,56.95,41001
41,2,645,265,41.09,380,58.91,41002
41,3,336,165,49.11,171,50.89,41003
41,4,594,303,51.01,291,48.99,41004
41,5,729,384,52.67,345,47.33,41005
41,7,640,298,46.56,342,53.44,41007
41,8,626,296,47.28,330,52.72,41008
41,10,612,288,47.06,324,52.94,41010
41,11,667,308,46.18,359,53.82,41011
41,13,746,318,42.63,428,57.37,41013
41,15,769,383,49.8,386,50.2,41015
41,16,586,295,50.34,291,49.66,41016
41,17,547,282,51.55,265,48.45,41017
41,18,585,294,50.26,291,49.74,41018
41,20,458,222,48.47,236,51.53,41020
41,21,590,318,53.9,272,46.1,41021
41,22,677,309,45.64,368,54.36,41022
41,23,656,240,36.59,416,63.41,41023
41,25,629,316,50.24,313,49.76,41025
41,26,527,260,49.34,267,50.66,41026
41,27,607,257,42.34,350,57.66,41027
41,31,553,295,53.35,258,46.65,41031
41,33,584,251,42.98,333,57.02,41033
41,34,571,248,43.43,323,56.57,41034
41,35,751,343,45.67,408,54.33,41035
41,36,599,284,47.41,315,52.59,41036
41,37,672,336,50.0,336,50.0,41037
41,40,695,309,44.46,386,55.54,41040
41,41,660,302,45.76,358,54.24,41041
41,42,630,261,41.43,369,58.57,41042
41,43,651,313,48.08,338,51.92,41043
41,44,641,277,43.21,364,56.79,41044
41,45,600,293,48.83,307,51.17,41045
41,46,608,293,48.19,315,51.81,41046
