ward,precinct,total,Sonya Marie Harper,Sonya Marie Harper Percent,precinct_id
3,1,150,150,100.0,03001
3,3,422,422,100.0,03003
3,5,296,296,100.0,03005
3,10,268,268,100.0,03010
3,13,647,647,100.0,03013
3,18,443,443,100.0,03018
3,26,605,605,100.0,03026
3,29,72,72,100.0,03029
3,36,80,80,100.0,03036
3,41,275,275,100.0,03041
4,13,786,786,100.0,04013
4,16,157,157,100.0,04016
4,17,679,679,100.0,04017
4,20,435,435,100.0,04020
4,21,508,508,100.0,04021
4,37,1091,1091,100.0,04037
6,15,147,147,100.0,06015
6,18,37,37,100.0,06018
6,28,69,69,100.0,06028
11,12,510,510,100.0,11012
11,13,447,447,100.0,11013
11,21,481,481,100.0,11021
11,24,474,474,100.0,11024
11,28,198,198,100.0,11028
11,29,473,473,100.0,11029
11,31,401,401,100.0,11031
11,32,163,163,100.0,11032
11,34,130,130,100.0,11034
11,35,61,61,100.0,11035
15,1,327,327,100.0,15001
15,2,236,236,100.0,15002
15,3,200,200,100.0,15003
15,5,58,58,100.0,15005
15,7,108,108,100.0,15007
15,13,92,92,100.0,15013
15,14,59,59,100.0,15014
15,17,235,235,100.0,15017
15,18,201,201,100.0,15018
15,20,237,237,100.0,15020
15,21,202,202,100.0,15021
15,22,18,18,100.0,15022
15,23,262,262,100.0,15023
15,24,235,235,100.0,15024
16,2,201,201,100.0,16002
16,3,279,279,100.0,16003
16,4,352,352,100.0,16004
16,5,228,228,100.0,16005
16,6,138,138,100.0,16006
16,8,218,218,100.0,16008
16,9,285,285,100.0,16009
16,10,269,269,100.0,16010
16,12,269,269,100.0,16012
16,14,226,226,100.0,16014
16,15,286,286,100.0,16015
16,17,146,146,100.0,16017
16,18,352,352,100.0,16018
16,19,310,310,100.0,16019
16,20,217,217,100.0,16020
16,21,266,266,100.0,16021
16,22,284,284,100.0,16022
16,25,341,341,100.0,16025
16,26,218,218,100.0,16026
16,27,228,228,100.0,16027
16,28,249,249,100.0,16028
16,30,32,32,100.0,16030
16,31,278,278,100.0,16031
16,33,34,34,100.0,16033
16,34,254,254,100.0,16034
16,36,225,225,100.0,16036
17,1,1,1,100.0,17001
17,6,367,367,100.0,17006
17,8,120,120,100.0,17008
17,16,49,49,100.0,17016
17,17,5,5,100.0,17017
17,25,285,285,100.0,17025
18,50,106,106,100.0,18050
20,2,141,141,100.0,20002
20,4,183,183,100.0,20004
20,6,175,175,100.0,20006
20,13,405,405,100.0,20013
20,15,401,401,100.0,20015
20,17,257,257,100.0,20017
20,20,308,308,100.0,20020
20,21,333,333,100.0,20021
20,25,268,268,100.0,20025
20,27,216,216,100.0,20027
20,29,472,472,100.0,20029
20,32,329,329,100.0,20032
20,36,135,135,100.0,20036
20,38,129,129,100.0,20038
20,39,28,28,100.0,20039
25,14,0,0,0.0,25014
25,21,1020,1020,100.0,25021
25,27,300,300,100.0,25027
42,5,470,470,100.0,42005
42,9,787,787,100.0,42009
42,10,283,283,100.0,42010
42,12,192,192,100.0,42012
42,14,270,270,100.0,42014
42,15,662,662,100.0,42015
42,17,921,921,100.0,42017
42,18,800,800,100.0,42018
42,21,595,595,100.0,42021
42,33,3,3,100.0,42033
42,36,595,595,100.0,42036
42,37,454,454,100.0,42037
42,38,565,565,100.0,42038
42,41,429,429,100.0,42041
