ward,precinct,total,Erin Haggerty Antonietti,Erin Haggerty Antonietti Percent,precinct_id
13,1,265,265,100.0,13001
13,2,206,206,100.0,13002
13,3,246,246,100.0,13003
13,4,295,295,100.0,13004
13,5,377,377,100.0,13005
13,6,243,243,100.0,13006
13,7,260,260,100.0,13007
13,8,222,222,100.0,13008
13,9,351,351,100.0,13009
13,10,224,224,100.0,13010
13,11,296,296,100.0,13011
13,12,271,271,100.0,13012
13,13,282,282,100.0,13013
13,14,271,271,100.0,13014
13,15,444,444,100.0,13015
13,16,226,226,100.0,13016
13,17,265,265,100.0,13017
13,18,226,226,100.0,13018
13,19,386,386,100.0,13019
13,20,182,182,100.0,13020
13,21,279,279,100.0,13021
13,22,286,286,100.0,13022
13,23,247,247,100.0,13023
13,24,305,305,100.0,13024
13,25,312,312,100.0,13025
13,26,297,297,100.0,13026
13,27,268,268,100.0,13027
13,28,235,235,100.0,13028
13,29,263,263,100.0,13029
13,30,250,250,100.0,13030
13,31,312,312,100.0,13031
13,32,229,229,100.0,13032
13,33,256,256,100.0,13033
13,34,317,317,100.0,13034
13,35,252,252,100.0,13035
13,36,233,233,100.0,13036
13,37,298,298,100.0,13037
13,38,219,219,100.0,13038
13,39,313,313,100.0,13039
13,40,273,273,100.0,13040
13,41,374,374,100.0,13041
13,42,266,266,100.0,13042
13,43,277,277,100.0,13043
13,44,328,328,100.0,13044
13,45,297,297,100.0,13045
13,46,345,345,100.0,13046
13,47,341,341,100.0,13047
13,48,235,235,100.0,13048
14,1,289,289,100.0,14001
14,2,504,504,100.0,14002
14,3,311,311,100.0,14003
14,4,291,291,100.0,14004
14,7,458,458,100.0,14007
14,8,396,396,100.0,14008
14,9,365,365,100.0,14009
14,12,354,354,100.0,14012
14,13,321,321,100.0,14013
14,18,159,159,100.0,14018
14,22,386,386,100.0,14022
14,23,243,243,100.0,14023
14,24,357,357,100.0,14024
14,27,345,345,100.0,14027
14,28,304,304,100.0,14028
15,22,71,71,100.0,15022
16,29,56,56,100.0,16029
17,1,290,290,100.0,17001
17,3,269,269,100.0,17003
17,8,154,154,100.0,17008
17,11,209,209,100.0,17011
17,12,125,125,100.0,17012
17,14,118,118,100.0,17014
17,17,278,278,100.0,17017
17,19,110,110,100.0,17019
17,25,38,38,100.0,17025
17,30,284,284,100.0,17030
17,31,180,180,100.0,17031
17,32,218,218,100.0,17032
17,33,166,166,100.0,17033
17,34,211,211,100.0,17034
17,35,28,28,100.0,17035
17,36,149,149,100.0,17036
17,37,246,246,100.0,17037
17,40,0,0,0.0,17040
18,1,304,304,100.0,18001
18,2,361,361,100.0,18002
18,3,259,259,100.0,18003
18,4,346,346,100.0,18004
18,5,190,190,100.0,18005
18,6,277,277,100.0,18006
18,7,328,328,100.0,18007
18,8,340,340,100.0,18008
18,9,311,311,100.0,18009
18,10,422,422,100.0,18010
18,11,310,310,100.0,18011
18,12,296,296,100.0,18012
18,13,357,357,100.0,18013
18,14,328,328,100.0,18014
18,15,349,349,100.0,18015
18,16,335,335,100.0,18016
18,17,343,343,100.0,18017
18,18,244,244,100.0,18018
18,19,284,284,100.0,18019
18,21,393,393,100.0,18021
18,22,360,360,100.0,18022
18,23,318,318,100.0,18023
18,24,291,291,100.0,18024
18,25,339,339,100.0,18025
18,26,425,425,100.0,18026
18,27,280,280,100.0,18027
18,28,263,263,100.0,18028
18,29,378,378,100.0,18029
18,30,373,373,100.0,18030
18,31,336,336,100.0,18031
18,32,322,322,100.0,18032
18,33,258,258,100.0,18033
18,34,349,349,100.0,18034
18,35,398,398,100.0,18035
18,36,338,338,100.0,18036
18,37,405,405,100.0,18037
18,39,282,282,100.0,18039
18,40,351,351,100.0,18040
18,41,398,398,100.0,18041
18,42,272,272,100.0,18042
18,43,283,283,100.0,18043
18,44,279,279,100.0,18044
18,45,336,336,100.0,18045
18,46,336,336,100.0,18046
18,47,240,240,100.0,18047
18,48,271,271,100.0,18048
18,49,216,216,100.0,18049
18,50,223,223,100.0,18050
19,1,272,272,100.0,19001
19,2,447,447,100.0,19002
19,3,219,219,100.0,19003
19,4,298,298,100.0,19004
19,5,431,431,100.0,19005
19,6,284,284,100.0,19006
19,7,279,279,100.0,19007
19,8,303,303,100.0,19008
19,9,189,189,100.0,19009
19,10,478,478,100.0,19010
19,11,239,239,100.0,19011
19,12,205,205,100.0,19012
19,13,414,414,100.0,19013
19,14,384,384,100.0,19014
19,15,357,357,100.0,19015
19,16,262,262,100.0,19016
19,17,276,276,100.0,19017
19,18,410,410,100.0,19018
19,19,433,433,100.0,19019
19,20,307,307,100.0,19020
19,21,280,280,100.0,19021
19,22,357,357,100.0,19022
19,23,332,332,100.0,19023
19,24,205,205,100.0,19024
19,25,340,340,100.0,19025
19,26,353,353,100.0,19026
19,27,368,368,100.0,19027
19,28,159,159,100.0,19028
19,29,279,279,100.0,19029
19,30,263,263,100.0,19030
19,31,328,328,100.0,19031
19,32,275,275,100.0,19032
19,33,276,276,100.0,19033
19,34,320,320,100.0,19034
19,35,335,335,100.0,19035
19,36,489,489,100.0,19036
19,37,369,369,100.0,19037
19,38,320,320,100.0,19038
19,39,171,171,100.0,19039
19,40,368,368,100.0,19040
19,41,230,230,100.0,19041
19,42,288,288,100.0,19042
19,43,395,395,100.0,19043
19,44,290,290,100.0,19044
19,45,351,351,100.0,19045
19,46,313,313,100.0,19046
19,47,477,477,100.0,19047
19,48,410,410,100.0,19048
19,49,449,449,100.0,19049
19,50,293,293,100.0,19050
19,51,347,347,100.0,19051
