ward,precinct,total,Frances Ann Hurley,Frances Ann Hurley Percent,Herbert Hebein,Herbert Hebein Percent,precinct_id
19,1,460,331,71.96,129,28.04,19001
19,2,665,587,88.27,78,11.73,19002
19,4,627,394,62.84,233,37.16,19004
19,6,587,347,59.11,240,40.89,19006
19,7,482,371,76.97,111,23.03,19007
19,8,602,352,58.47,250,41.53,19008
19,10,633,535,84.52,98,15.48,19010
19,11,540,308,57.04,232,42.96,19011
19,13,579,553,95.51,26,4.49,19013
19,15,733,432,58.94,301,41.06,19015
19,16,466,292,62.66,174,37.34,19016
19,17,449,309,68.82,140,31.18,19017
19,18,413,349,84.5,64,15.5,19018
19,19,651,553,84.95,98,15.05,19019
19,21,570,332,58.25,238,41.75,19021
19,22,562,462,82.21,100,17.79,19022
19,23,552,394,71.38,158,28.62,19023
19,24,21,15,71.43,6,28.57,19024
19,25,493,373,75.66,120,24.34,19025
19,26,519,404,77.84,115,22.16,19026
19,27,497,445,89.54,52,10.46,19027
19,28,581,554,95.35,27,4.65,19028
19,29,600,346,57.67,254,42.33,19029
19,30,490,276,56.33,214,43.67,19030
19,32,485,335,69.07,150,30.93,19032
19,33,433,254,58.66,179,41.34,19033
19,34,459,374,81.48,85,18.52,19034
19,35,468,389,83.12,79,16.88,19035
19,36,702,646,92.02,56,7.98,19036
19,37,500,463,92.6,37,7.4,19037
19,38,461,418,90.67,43,9.33,19038
19,39,240,224,93.33,16,6.67,19039
19,41,538,315,58.55,223,41.45,19041
19,44,635,392,61.73,243,38.27,19044
19,45,535,388,72.52,147,27.48,19045
19,46,541,372,68.76,169,31.24,19046
19,50,436,327,75.0,109,25.0,19050
19,51,580,440,75.86,140,24.14,19051
19,52,646,378,58.51,268,41.49,19052
19,53,501,390,77.84,111,22.16,19053
19,54,466,244,52.36,222,47.64,19054
19,56,148,125,84.46,23,15.54,19056
19,57,417,377,90.41,40,9.59,19057
21,1,481,468,97.3,13,2.7,21001
21,3,438,420,95.89,18,4.11,21003
21,8,468,443,94.66,25,5.34,21008
21,14,471,456,96.82,15,3.18,21014
21,16,426,405,95.07,21,4.93,21016
21,18,497,487,97.99,10,2.01,21018
21,22,134,129,96.27,5,3.73,21022
21,29,185,182,98.38,3,1.62,21029
21,32,433,420,97.0,13,3.0,21032
21,36,102,100,98.04,2,1.96,21036
21,42,136,131,96.32,5,3.68,21042
21,48,196,184,93.88,12,6.12,21048
34,49,59,56,94.92,3,5.08,34049
