ward,precinct,total,Yes,Yes Percent,No,No Percent,precinct_id
1,1,500,388,77.6,112,22.4,01001
1,2,462,343,74.24,119,25.76,01002
1,3,596,515,86.41,81,13.59,01003
1,4,571,482,84.41,89,15.59,01004
1,5,507,417,82.25,90,17.75,01005
1,6,440,363,82.5,77,17.5,01006
1,7,369,311,84.28,58,15.72,01007
1,8,419,348,83.05,71,16.95,01008
1,9,359,292,81.34,67,18.66,01009
1,10,615,516,83.9,99,16.1,01010
1,11,568,490,86.27,78,13.73,01011
1,12,592,457,77.2,135,22.8,01012
1,13,248,198,79.84,50,20.16,01013
1,14,455,381,83.74,74,16.26,01014
1,15,464,370,79.74,94,20.26,01015
1,16,553,438,79.2,115,20.8,01016
1,17,426,324,76.06,102,23.94,01017
1,18,497,393,79.07,104,20.93,01018
1,19,600,478,79.67,122,20.33,01019
1,20,403,323,80.15,80,19.85,01020
1,21,669,568,84.9,101,15.1,01021
1,22,331,270,81.57,61,18.43,01022
1,23,649,525,80.89,124,19.11,01023
1,24,452,337,74.56,115,25.44,01024
1,25,488,390,79.92,98,20.08,01025
1,26,334,244,73.05,90,26.95,01026
1,27,563,480,85.26,83,14.74,01027
1,28,168,127,75.6,41,24.4,01028
1,29,621,524,84.38,97,15.62,01029
1,30,572,423,73.95,149,26.05,01030
1,31,448,358,79.91,90,20.09,01031
1,32,474,374,78.9,100,21.1,01032
1,33,532,437,82.14,95,17.86,01033
1,34,412,341,82.77,71,17.23,01034
1,35,623,484,77.69,139,22.31,01035
1,36,576,479,83.16,97,16.84,01036
1,37,494,406,82.19,88,17.81,01037
1,38,478,403,84.31,75,15.69,01038
1,39,421,356,84.56,65,15.44,01039
1,40,438,366,83.56,72,16.44,01040
1,41,283,236,83.39,47,16.61,01041
1,42,177,128,72.32,49,27.68,01042
1,43,320,266,83.13,54,16.88,01043
1,44,462,356,77.06,106,22.94,01044
2,1,547,444,81.17,103,18.83,02001
2,2,340,292,85.88,48,14.12,02002
2,3,557,455,81.69,102,18.31,02003
2,4,480,394,82.08,86,17.92,02004
2,5,615,502,81.63,113,18.37,02005
2,6,528,435,82.39,93,17.61,02006
2,7,437,381,87.19,56,12.81,02007
2,8,623,507,81.38,116,18.62,02008
2,9,455,391,85.93,64,14.07,02009
2,10,332,273,82.23,59,17.77,02010
2,11,452,377,83.41,75,16.59,02011
2,12,379,328,86.54,51,13.46,02012
2,13,376,324,86.17,52,13.83,02013
2,14,487,395,81.11,92,18.89,02014
2,15,426,348,81.69,78,18.31,02015
2,16,480,398,82.92,82,17.08,02016
2,17,573,450,78.53,123,21.47,02017
2,18,418,364,87.08,54,12.92,02018
2,19,295,236,80.0,59,20.0,02019
2,20,572,485,84.79,87,15.21,02020
2,21,511,426,83.37,85,16.63,02021
2,22,452,397,87.83,55,12.17,02022
2,23,291,253,86.94,38,13.06,02023
2,24,407,354,86.98,53,13.02,02024
2,25,539,454,84.23,85,15.77,02025
2,26,375,310,82.67,65,17.33,02026
2,27,401,322,80.3,79,19.7,02027
2,28,523,458,87.57,65,12.43,02028
2,29,495,414,83.64,81,16.36,02029
2,30,404,336,83.17,68,16.83,02030
2,31,522,454,86.97,68,13.03,02031
2,32,416,344,82.69,72,17.31,02032
2,33,641,557,86.9,84,13.1,02033
2,34,327,286,87.46,41,12.54,02034
2,35,596,520,87.25,76,12.75,02035
2,36,473,403,85.2,70,14.8,02036
2,37,412,350,84.95,62,15.05,02037
2,38,403,333,82.63,70,17.37,02038
2,39,315,240,76.19,75,23.81,02039
2,40,641,545,85.02,96,14.98,02040
2,41,545,456,83.67,89,16.33,02041
2,42,517,451,87.23,66,12.77,02042
2,43,606,521,85.97,85,14.03,02043
2,44,284,245,86.27,39,13.73,02044
2,45,535,452,84.49,83,15.51,02045
2,46,244,199,81.56,45,18.44,02046
3,1,626,488,77.96,138,22.04,03001
3,2,466,409,87.77,57,12.23,03002
3,3,374,293,78.34,81,21.66,03003
3,4,532,428,80.45,104,19.55,03004
3,5,266,205,77.07,61,22.93,03005
3,6,652,531,81.44,121,18.56,03006
3,7,267,224,83.9,43,16.1,03007
3,8,355,256,72.11,99,27.89,03008
3,9,532,412,77.44,120,22.56,03009
3,10,209,164,78.47,45,21.53,03010
3,11,538,430,79.93,108,20.07,03011
3,12,422,345,81.75,77,18.25,03012
3,13,534,459,85.96,75,14.04,03013
3,14,536,460,85.82,76,14.18,03014
3,15,436,326,74.77,110,25.23,03015
3,16,401,323,80.55,78,19.45,03016
3,17,683,561,82.14,122,17.86,03017
3,18,609,472,77.5,137,22.5,03018
3,19,577,494,85.62,83,14.38,03019
3,20,500,373,74.6,127,25.4,03020
3,21,493,434,88.03,59,11.97,03021
3,22,659,537,81.49,122,18.51,03022
3,23,382,304,79.58,78,20.42,03023
3,24,409,321,78.48,88,21.52,03024
3,25,796,678,85.18,118,14.82,03025
3,26,515,440,85.44,75,14.56,03026
3,27,601,504,83.86,97,16.14,03027
3,28,219,164,74.89,55,25.11,03028
3,29,487,349,71.66,138,28.34,03029
3,30,399,305,76.44,94,23.56,03030
3,31,544,423,77.76,121,22.24,03031
3,32,744,638,85.75,106,14.25,03032
3,33,596,508,85.23,88,14.77,03033
3,34,694,579,83.43,115,16.57,03034
3,35,253,201,79.45,52,20.55,03035
3,36,225,170,75.56,55,24.44,03036
3,37,445,324,72.81,121,27.19,03037
3,38,332,288,86.75,44,13.25,03038
3,39,936,801,85.58,135,14.42,03039
3,40,489,385,78.73,104,21.27,03040
3,41,323,259,80.19,64,19.81,03041
4,1,699,558,79.83,141,20.17,04001
4,2,646,554,85.76,92,14.24,04002
4,3,388,297,76.55,91,23.45,04003
4,4,637,496,77.86,141,22.14,04004
4,5,511,416,81.41,95,18.59,04005
4,6,532,452,84.96,80,15.04,04006
4,7,632,532,84.18,100,15.82,04007
4,8,539,424,78.66,115,21.34,04008
4,9,536,471,87.87,65,12.13,04009
4,10,626,513,81.95,113,18.05,04010
4,11,489,383,78.32,106,21.68,04011
4,12,659,521,79.06,138,20.94,04012
4,13,635,538,84.72,97,15.28,04013
4,14,499,406,81.36,93,18.64,04014
4,15,560,456,81.43,104,18.57,04015
4,16,855,733,85.73,122,14.27,04016
4,17,560,480,85.71,80,14.29,04017
4,18,458,363,79.26,95,20.74,04018
4,19,320,222,69.38,98,30.63,04019
4,20,373,320,85.79,53,14.21,04020
4,21,546,440,80.59,106,19.41,04021
4,22,449,377,83.96,72,16.04,04022
4,23,591,495,83.76,96,16.24,04023
4,24,460,376,81.74,84,18.26,04024
4,25,606,503,83.0,103,17.0,04025
4,26,441,351,79.59,90,20.41,04026
4,27,646,527,81.58,119,18.42,04027
4,28,442,352,79.64,90,20.36,04028
4,29,469,378,80.6,91,19.4,04029
4,30,680,537,78.97,143,21.03,04030
4,31,440,398,90.45,42,9.55,04031
4,32,549,444,80.87,105,19.13,04032
4,33,462,379,82.03,83,17.97,04033
4,34,433,347,80.14,86,19.86,04034
4,35,584,479,82.02,105,17.98,04035
4,36,601,493,82.03,108,17.97,04036
4,37,926,817,88.23,109,11.77,04037
4,38,543,465,85.64,78,14.36,04038
5,1,433,314,72.52,119,27.48,05001
5,2,344,258,75.0,86,25.0,05002
5,3,439,383,87.24,56,12.76,05003
5,4,591,477,80.71,114,19.29,05004
5,5,401,315,78.55,86,21.45,05005
5,6,354,279,78.81,75,21.19,05006
5,7,429,347,80.89,82,19.11,05007
5,8,425,384,90.35,41,9.65,05008
5,9,524,449,85.69,75,14.31,05009
5,10,370,282,76.22,88,23.78,05010
5,11,441,376,85.26,65,14.74,05011
5,12,288,225,78.13,63,21.88,05012
5,13,398,293,73.62,105,26.38,05013
5,14,369,301,81.57,68,18.43,05014
5,15,423,341,80.61,82,19.39,05015
5,16,435,316,72.64,119,27.36,05016
5,17,360,274,76.11,86,23.89,05017
5,18,412,347,84.22,65,15.78,05018
5,19,410,360,87.8,50,12.2,05019
5,20,487,422,86.65,65,13.35,05020
