ward,precinct,total,Mary Catherine Marubio,Mary Catherine Marubio Percent,precinct_id
30,3,165,165,100.0,30003
30,15,350,350,100.0,30015
30,20,79,79,100.0,30020
30,32,326,326,100.0,30032
32,19,401,401,100.0,32019
32,21,442,442,100.0,32021
32,25,422,422,100.0,32025
33,2,612,612,100.0,33002
33,7,485,485,100.0,33007
33,18,700,700,100.0,33018
35,9,360,360,100.0,35009
35,22,522,522,100.0,35022
35,23,170,170,100.0,35023
35,29,389,389,100.0,35029
35,30,384,384,100.0,35030
35,31,445,445,100.0,35031
38,1,331,331,100.0,38001
38,31,344,344,100.0,38031
38,32,323,323,100.0,38032
38,41,315,315,100.0,38041
39,1,324,324,100.0,39001
39,2,223,223,100.0,39002
39,3,415,415,100.0,39003
39,4,339,339,100.0,39004
39,5,371,371,100.0,39005
39,6,364,364,100.0,39006
39,7,329,329,100.0,39007
39,8,375,375,100.0,39008
39,9,332,332,100.0,39009
39,10,203,203,100.0,39010
39,11,336,336,100.0,39011
39,12,498,498,100.0,39012
39,13,282,282,100.0,39013
39,14,351,351,100.0,39014
39,15,396,396,100.0,39015
39,16,340,340,100.0,39016
39,17,383,383,100.0,39017
39,18,336,336,100.0,39018
39,19,364,364,100.0,39019
39,20,418,418,100.0,39020
39,21,327,327,100.0,39021
39,22,367,367,100.0,39022
39,23,343,343,100.0,39023
39,24,417,417,100.0,39024
39,25,330,330,100.0,39025
39,26,321,321,100.0,39026
39,27,45,45,100.0,39027
39,28,466,466,100.0,39028
39,29,220,220,100.0,39029
39,30,494,494,100.0,39030
39,31,333,333,100.0,39031
39,32,104,104,100.0,39032
39,33,373,373,100.0,39033
39,34,437,437,100.0,39034
39,35,368,368,100.0,39035
39,36,67,67,100.0,39036
39,37,330,330,100.0,39037
39,38,189,189,100.0,39038
39,39,221,221,100.0,39039
39,40,354,354,100.0,39040
39,41,359,359,100.0,39041
39,42,359,359,100.0,39042
39,43,345,345,100.0,39043
39,44,272,272,100.0,39044
39,45,294,294,100.0,39045
40,1,367,367,100.0,40001
40,2,480,480,100.0,40002
40,3,568,568,100.0,40003
40,4,272,272,100.0,40004
40,5,498,498,100.0,40005
40,6,544,544,100.0,40006
40,7,439,439,100.0,40007
40,10,344,344,100.0,40010
40,11,451,451,100.0,40011
40,12,403,403,100.0,40012
40,13,372,372,100.0,40013
40,14,407,407,100.0,40014
40,15,425,425,100.0,40015
40,16,608,608,100.0,40016
40,17,358,358,100.0,40017
40,18,68,68,100.0,40018
40,19,557,557,100.0,40019
40,20,470,470,100.0,40020
40,21,390,390,100.0,40021
40,24,400,400,100.0,40024
40,25,554,554,100.0,40025
40,29,460,460,100.0,40029
40,30,355,355,100.0,40030
40,34,379,379,100.0,40034
40,38,268,268,100.0,40038
40,39,173,173,100.0,40039
41,1,286,286,100.0,41001
41,2,325,325,100.0,41002
41,3,315,315,100.0,41003
41,4,318,318,100.0,41004
41,5,388,388,100.0,41005
41,6,204,204,100.0,41006
41,7,313,313,100.0,41007
41,8,285,285,100.0,41008
41,10,314,314,100.0,41010
41,11,327,327,100.0,41011
41,12,371,371,100.0,41012
41,13,353,353,100.0,41013
41,14,217,217,100.0,41014
41,15,407,407,100.0,41015
41,16,302,302,100.0,41016
41,17,291,291,100.0,41017
41,18,299,299,100.0,41018
41,20,223,223,100.0,41020
41,21,317,317,100.0,41021
41,22,364,364,100.0,41022
41,23,301,301,100.0,41023
41,24,313,313,100.0,41024
41,26,278,278,100.0,41026
41,30,319,319,100.0,41030
41,31,292,292,100.0,41031
41,32,292,292,100.0,41032
41,33,284,284,100.0,41033
41,34,272,272,100.0,41034
41,35,344,344,100.0,41035
41,36,305,305,100.0,41036
41,37,383,383,100.0,41037
41,38,314,314,100.0,41038
41,39,333,333,100.0,41039
41,40,331,331,100.0,41040
41,41,326,326,100.0,41041
41,42,307,307,100.0,41042
41,43,313,313,100.0,41043
41,44,309,309,100.0,41044
41,45,306,306,100.0,41045
41,46,326,326,100.0,41046
41,47,180,180,100.0,41047
45,1,335,335,100.0,45001
45,2,407,407,100.0,45002
45,3,344,344,100.0,45003
45,4,369,369,100.0,45004
45,5,84,84,100.0,45005
45,7,515,515,100.0,45007
45,8,360,360,100.0,45008
45,9,141,141,100.0,45009
45,10,225,225,100.0,45010
45,11,281,281,100.0,45011
45,12,350,350,100.0,45012
45,13,310,310,100.0,45013
45,14,543,543,100.0,45014
45,15,492,492,100.0,45015
45,16,332,332,100.0,45016
45,17,399,399,100.0,45017
45,18,400,400,100.0,45018
45,19,206,206,100.0,45019
45,20,258,258,100.0,45020
45,21,315,315,100.0,45021
45,22,355,355,100.0,45022
45,23,336,336,100.0,45023
45,24,257,257,100.0,45024
45,25,235,235,100.0,45025
45,26,190,190,100.0,45026
45,27,339,339,100.0,45027
45,28,292,292,100.0,45028
45,29,231,231,100.0,45029
45,30,365,365,100.0,45030
45,31,313,313,100.0,45031
45,32,327,327,100.0,45032
45,33,252,252,100.0,45033
45,34,376,376,100.0,45034
45,35,385,385,100.0,45035
45,36,357,357,100.0,45036
45,37,333,333,100.0,45037
45,38,358,358,100.0,45038
45,39,351,351,100.0,45039
45,40,339,339,100.0,45040
45,41,315,315,100.0,45041
45,42,329,329,100.0,45042
45,43,361,361,100.0,45043
45,44,319,319,100.0,45044
45,45,198,198,100.0,45045
45,46,233,233,100.0,45046
45,47,214,214,100.0,45047
45,48,231,231,100.0,45048
47,1,354,354,100.0,47001
47,2,488,488,100.0,47002
47,3,440,440,100.0,47003
47,4,602,602,100.0,47004
47,5,560,560,100.0,47005
47,6,641,641,100.0,47006
47,7,471,471,100.0,47007
47,8,492,492,100.0,47008
47,9,60,60,100.0,47009
47,10,612,612,100.0,47010
47,12,558,558,100.0,47012
47,13,373,373,100.0,47013
47,14,458,458,100.0,47014
47,16,496,496,100.0,47016
47,17,494,494,100.0,47017
47,20,531,531,100.0,47020
47,21,485,485,100.0,47021
47,22,539,539,100.0,47022
47,25,638,638,100.0,47025
47,26,734,734,100.0,47026
47,27,434,434,100.0,47027
47,28,465,465,100.0,47028
47,29,598,598,100.0,47029
47,30,656,656,100.0,47030
47,31,558,558,100.0,47031
47,32,633,633,100.0,47032
47,33,330,330,100.0,47033
47,34,536,536,100.0,47034
47,35,491,491,100.0,47035
47,36,590,590,100.0,47036
47,37,480,480,100.0,47037
47,38,491,491,100.0,47038
47,39,501,501,100.0,47039
47,40,245,245,100.0,47040
47,42,293,293,100.0,47042
47,43,458,458,100.0,47043
47,45,463,463,100.0,47045
47,46,497,497,100.0,47046
47,47,614,614,100.0,47047
47,48,26,26,100.0,47048
50,23,218,218,100.0,50023
50,24,22,22,100.0,50024
50,26,36,36,100.0,50026
50,30,69,69,100.0,50030
50,31,138,138,100.0,50031
