ward,precinct,total,Denyse Wang Stoneback,Denyse Wang Stoneback Percent,precinct_id
40,4,259,259,100.0,40004
40,10,462,462,100.0,40010
40,29,0,0,0.0,40029
40,35,1,1,100.0,40035
40,39,124,124,100.0,40039
50,1,334,334,100.0,50001
50,2,229,229,100.0,50002
50,3,299,299,100.0,50003
50,4,459,459,100.0,50004
50,5,236,236,100.0,50005
50,6,454,454,100.0,50006
50,7,528,528,100.0,50007
50,8,77,77,100.0,50008
50,9,351,351,100.0,50009
50,10,392,392,100.0,50010
50,11,157,157,100.0,50011
50,12,153,153,100.0,50012
50,13,569,569,100.0,50013
50,14,122,122,100.0,50014
50,15,510,510,100.0,50015
50,16,118,118,100.0,50016
50,17,426,426,100.0,50017
50,18,47,47,100.0,50018
50,19,359,359,100.0,50019
50,20,437,437,100.0,50020
50,21,371,371,100.0,50021
50,22,346,346,100.0,50022
50,23,281,281,100.0,50023
50,25,251,251,100.0,50025
50,26,448,448,100.0,50026
50,27,120,120,100.0,50027
50,28,466,466,100.0,50028
50,29,463,463,100.0,50029
50,30,348,348,100.0,50030
50,31,609,609,100.0,50031
50,32,534,534,100.0,50032
50,33,213,213,100.0,50033
50,34,514,514,100.0,50034
50,35,590,590,100.0,50035
50,36,418,418,100.0,50036
50,37,471,471,100.0,50037
50,38,141,141,100.0,50038
50,39,248,248,100.0,50039
50,40,241,241,100.0,50040
