ward,precinct,total,Jesus ''Chuy'' Garcia,Jesus ''Chuy'' Garcia Percent,Jesus Solorio,Jesus Solorio Percent,precinct_id
1,1,746,646,86.6,100,13.4,01001
1,2,603,542,89.88,61,10.12,01002
1,7,486,423,87.04,63,12.96,01007
1,9,496,425,85.69,71,14.31,01009
1,13,351,308,87.75,43,12.25,01013
1,15,505,416,82.38,89,17.62,01015
1,16,767,677,88.27,90,11.73,01016
1,17,615,551,89.59,64,10.41,01017
1,18,675,623,92.3,52,7.7,01018
1,19,813,742,91.27,71,8.73,01019
1,20,531,487,91.71,44,8.29,01020
1,22,486,424,87.24,62,12.76,01022
1,23,896,805,89.84,91,10.16,01023
1,24,634,565,89.12,69,10.88,01024
1,25,678,603,88.94,75,11.06,01025
1,26,473,416,87.95,57,12.05,01026
1,27,777,646,83.14,131,16.86,01027
1,29,909,788,86.69,121,13.31,01029
1,30,786,700,89.06,86,10.94,01030
1,31,645,561,86.98,84,13.02,01031
1,34,557,505,90.66,52,9.34,01034
1,38,535,464,86.73,71,13.27,01038
1,41,401,368,91.77,33,8.23,01041
1,42,223,194,87.0,29,13.0,01042
1,43,450,388,86.22,62,13.78,01043
1,44,640,566,88.44,74,11.56,01044
11,3,597,539,90.28,58,9.72,11003
11,37,1,1,100.0,0,0.0,11037
11,38,299,258,86.29,41,13.71,11038
12,2,442,384,86.88,58,13.12,12002
12,3,128,102,79.69,26,20.31,12003
12,5,311,233,74.92,78,25.08,12005
12,6,605,511,84.46,94,15.54,12006
12,7,465,429,92.26,36,7.74,12007
12,8,492,412,83.74,80,16.26,12008
12,10,557,521,93.54,36,6.46,12010
12,11,554,488,88.09,66,11.91,12011
12,12,517,440,85.11,77,14.89,12012
12,13,552,476,86.23,76,13.77,12013
12,14,457,423,92.56,34,7.44,12014
12,15,211,195,92.42,16,7.58,12015
12,16,461,416,90.24,45,9.76,12016
12,17,591,521,88.16,70,11.84,12017
12,18,186,170,91.4,16,8.6,12018
12,19,6,3,50.0,3,50.0,12019
12,20,584,527,90.24,57,9.76,12020
12,21,528,450,85.23,78,14.77,12021
12,22,478,439,91.84,39,8.16,12022
14,2,641,537,83.78,104,16.22,14002
14,3,475,431,90.74,44,9.26,14003
14,5,649,586,90.29,63,9.71,14005
14,6,258,237,91.86,21,8.14,14006
14,10,348,283,81.32,65,18.68,14010
14,11,283,243,85.87,40,14.13,14011
