ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,Barbara Bellar,Barbara Bellar Percent,precinct_id
1,1,667,572,85.76,95,14.24,01001
1,2,574,518,90.24,56,9.76,01002
1,3,766,651,84.99,115,15.01,01003
1,4,752,627,83.38,125,16.62,01004
1,5,699,573,81.97,126,18.03,01005
1,6,589,481,81.66,108,18.34,01006
1,7,452,394,87.17,58,12.83,01007
1,8,568,479,84.33,89,15.67,01008
1,9,466,403,86.48,63,13.52,01009
1,10,835,684,81.92,151,18.08,01010
1,11,747,636,85.14,111,14.86,01011
1,12,801,640,79.9,161,20.1,01012
1,13,327,278,85.02,49,14.98,01013
1,14,636,535,84.12,101,15.88,01014
1,15,593,491,82.8,102,17.2,01015
1,16,713,628,88.08,85,11.92,01016
1,17,571,501,87.74,70,12.26,01017
1,18,642,589,91.74,53,8.26,01018
1,19,763,688,90.17,75,9.83,01019
1,20,509,466,91.55,43,8.45,01020
1,21,932,782,83.91,150,16.09,01021
1,22,454,391,86.12,63,13.88,01022
1,23,834,744,89.21,90,10.79,01023
1,24,601,544,90.52,57,9.48,01024
1,25,648,569,87.81,79,12.19,01025
1,26,442,386,87.33,56,12.67,01026
1,27,712,593,83.29,119,16.71,01027
1,28,223,190,85.2,33,14.8,01028
1,29,850,727,85.53,123,14.47,01029
1,30,738,663,89.84,75,10.16,01030
1,31,592,520,87.84,72,12.16,01031
1,32,628,501,79.78,127,20.22,01032
1,33,742,587,79.11,155,20.89,01033
1,34,515,465,90.29,50,9.71,01034
1,35,823,653,79.34,170,20.66,01035
1,36,755,618,81.85,137,18.15,01036
1,37,691,555,80.32,136,19.68,01037
1,38,630,546,86.67,84,13.33,01038
1,39,536,447,83.4,89,16.6,01039
1,40,587,482,82.11,105,17.89,01040
1,41,374,339,90.64,35,9.36,01041
1,42,215,180,83.72,35,16.28,01042
1,43,417,356,85.37,61,14.63,01043
1,44,592,516,87.16,76,12.84,01044
2,1,739,618,83.63,121,16.37,02001
2,2,464,326,70.26,138,29.74,02002
2,3,749,624,83.31,125,16.69,02003
2,4,664,578,87.05,86,12.95,02004
2,5,779,633,81.26,146,18.74,02005
2,6,707,586,82.89,121,17.11,02006
2,7,622,511,82.15,111,17.85,02007
2,8,836,698,83.49,138,16.51,02008
2,9,647,430,66.46,217,33.54,02009
2,10,474,295,62.24,179,37.76,02010
2,11,658,447,67.93,211,32.07,02011
2,12,543,444,81.77,99,18.23,02012
2,13,516,370,71.71,146,28.29,02013
2,14,652,537,82.36,115,17.64,02014
2,15,604,503,83.28,101,16.72,02015
