ward,precinct,total,Donald J. Trump & Michael R. Pence,Donald J. Trump & Michael R. Pence Percent,Howie Hawkins & Angela Walker,Howie Hawkins & Angela Walker Percent,Gloria La Riva & Leonard Peltier,Gloria La Riva & Leonard Peltier Percent,Brian Carroll & Amar Patel,Brian Carroll & Amar Patel Percent,Jo Jorgensen & Jeremy ''Spike'' Cohen,Jo Jorgensen & Jeremy ''Spike'' Cohen Percent,precinct_id
1,1,766,78,10.18,8,1.04,6,0.78,1,0.13,6,0.78,01001
1,2,611,53,8.67,7,1.15,6,0.98,0,0.0,5,0.82,01002
1,3,848,69,8.14,3,0.35,0,0.0,1,0.12,9,1.06,01003
1,4,842,95,11.28,3,0.36,2,0.24,1,0.12,8,0.95,01004
1,5,782,72,9.21,3,0.38,2,0.26,0,0.0,9,1.15,01005
1,6,666,95,14.26,6,0.9,2,0.3,1,0.15,3,0.45,01006
1,7,498,49,9.84,2,0.4,2,0.4,0,0.0,7,1.41,01007
1,8,674,71,10.53,2,0.3,1,0.15,0,0.0,6,0.89,01008
1,9,521,67,12.86,5,0.96,1,0.19,0,0.0,6,1.15,01009
1,10,926,102,11.02,4,0.43,0,0.0,1,0.11,17,1.84,01010
1,11,844,69,8.18,7,0.83,0,0.0,0,0.0,10,1.18,01011
1,12,885,137,15.48,5,0.56,3,0.34,0,0.0,9,1.02,01012
1,13,363,30,8.26,5,1.38,3,0.83,0,0.0,8,2.2,01013
1,14,729,70,9.6,2,0.27,1,0.14,0,0.0,5,0.69,01014
1,15,648,91,14.04,4,0.62,4,0.62,0,0.0,10,1.54,01015
1,16,782,81,10.36,5,0.64,5,0.64,1,0.13,8,1.02,01016
1,17,633,62,9.79,4,0.63,3,0.47,1,0.16,4,0.63,01017
1,18,702,48,6.84,4,0.57,5,0.71,1,0.14,4,0.57,01018
1,19,828,61,7.37,11,1.33,2,0.24,0,0.0,10,1.21,01019
1,20,543,36,6.63,3,0.55,3,0.55,0,0.0,2,0.37,01020
1,21,1086,88,8.1,10,0.92,3,0.28,1,0.09,14,1.29,01021
1,22,491,46,9.37,8,1.63,3,0.61,0,0.0,4,0.81,01022
1,23,909,65,7.15,14,1.54,6,0.66,3,0.33,4,0.44,01023
1,24,654,56,8.56,7,1.07,9,1.38,2,0.31,5,0.76,01024
1,25,697,60,8.61,5,0.72,0,0.0,2,0.29,9,1.29,01025
1,26,482,56,11.62,2,0.41,0,0.0,1,0.21,4,0.83,01026
1,27,802,94,11.72,4,0.5,2,0.25,0,0.0,10,1.25,01027
1,28,254,40,15.75,2,0.79,0,0.0,2,0.79,2,0.79,01028
1,29,938,84,8.96,3,0.32,6,0.64,0,0.0,13,1.39,01029
1,30,804,85,10.57,9,1.12,3,0.37,1,0.12,6,0.75,01030
1,31,670,85,12.69,1,0.15,4,0.6,2,0.3,4,0.6,01031
1,32,694,100,14.41,2,0.29,0,0.0,2,0.29,12,1.73,01032
1,33,828,121,14.61,2,0.24,5,0.6,0,0.0,7,0.85,01033
1,34,567,34,6.0,2,0.35,2,0.35,1,0.18,7,1.23,01034
1,35,902,113,12.53,4,0.44,0,0.0,0,0.0,17,1.88,01035
1,36,830,93,11.2,7,0.84,1,0.12,0,0.0,13,1.57,01036
1,37,759,111,14.62,6,0.79,1,0.13,0,0.0,8,1.05,01037
1,38,708,59,8.33,2,0.28,1,0.14,1,0.14,10,1.41,01038
1,39,617,75,12.16,1,0.16,1,0.16,0,0.0,9,1.46,01039
1,40,690,113,16.38,3,0.43,1,0.14,1,0.14,9,1.3,01040
1,41,412,25,6.07,1,0.24,2,0.49,1,0.24,5,1.21,01041
1,42,224,24,10.71,1,0.45,1,0.45,0,0.0,4,1.79,01042
1,43,462,51,11.04,2,0.43,0,0.0,0,0.0,5,1.08,01043
1,44,655,48,7.33,4,0.61,0,0.0,0,0.0,15,2.29,01044
2,1,834,87,10.43,5,0.6,0,0.0,1,0.12,11,1.32,02001
2,2,512,118,23.05,1,0.2,2,0.39,0,0.0,5,0.98,02002
2,3,842,81,9.62,5,0.59,3,0.36,0,0.0,10,1.19,02003
2,4,746,72,9.65,3,0.4,4,0.54,1,0.13,6,0.8,02004
2,5,885,90,10.17,4,0.45,3,0.34,1,0.11,13,1.47,02005
2,6,781,102,13.06,5,0.64,0,0.0,0,0.0,9,1.15,02006
2,7,695,72,10.36,9,1.29,0,0.0,0,0.0,8,1.15,02007
2,8,937,97,10.35,4,0.43,2,0.21,3,0.32,17,1.81,02008
2,9,724,148,20.44,1,0.14,0,0.0,0,0.0,16,2.21,02009
2,10,540,163,30.19,2,0.37,1,0.19,0,0.0,5,0.93,02010
2,11,731,163,22.3,3,0.41,1,0.14,1,0.14,7,0.96,02011
2,12,624,71,11.38,3,0.48,1,0.16,2,0.32,6,0.96,02012
2,13,595,116,19.5,2,0.34,0,0.0,0,0.0,8,1.34,02013
2,14,751,103,13.72,4,0.53,1,0.13,0,0.0,8,1.07,02014
2,15,701,69,9.84,0,0.0,3,0.43,0,0.0,9,1.28,02015
2,16,704,75,10.65,2,0.28,1,0.14,0,0.0,6,0.85,02016
2,17,818,115,14.06,4,0.49,2,0.24,1,0.12,6,0.73,02017
2,18,664,136,20.48,3,0.45,0,0.0,1,0.15,8,1.2,02018
2,19,490,124,25.31,1,0.2,0,0.0,0,0.0,1,0.2,02019
2,20,966,170,17.6,3,0.31,0,0.0,1,0.1,17,1.76,02020
2,21,769,70,9.1,2,0.26,2,0.26,2,0.26,9,1.17,02021
2,22,788,131,16.62,3,0.38,0,0.0,0,0.0,15,1.9,02022
2,23,469,97,20.68,0,0.0,0,0.0,1,0.21,4,0.85,02023
2,24,687,99,14.41,2,0.29,0,0.0,0,0.0,11,1.6,02024
2,25,834,88,10.55,4,0.48,1,0.12,0,0.0,15,1.8,02025
2,26,669,121,18.09,1,0.15,1,0.15,0,0.0,10,1.49,02026
2,27,649,193,29.74,2,0.31,1,0.15,0,0.0,10,1.54,02027
2,28,837,149,17.8,2,0.24,0,0.0,0,0.0,20,2.39,02028
2,29,815,171,20.98,1,0.12,1,0.12,0,0.0,13,1.6,02029
2,30,608,132,21.71,3,0.49,1,0.16,0,0.0,9,1.48,02030
2,31,812,156,19.21,3,0.37,0,0.0,0,0.0,9,1.11,02031
2,32,620,140,22.58,4,0.65,0,0.0,2,0.32,10,1.61,02032
2,33,1007,225,22.34,4,0.4,1,0.1,0,0.0,12,1.19,02033
2,34,522,124,23.75,1,0.19,0,0.0,0,0.0,6,1.15,02034
2,35,984,197,20.02,5,0.51,1,0.1,1,0.1,13,1.32,02035
2,36,826,186,22.52,1,0.12,0,0.0,1,0.12,9,1.09,02036
2,37,612,123,20.1,2,0.33,0,0.0,0,0.0,5,0.82,02037
2,38,662,158,23.87,0,0.0,0,0.0,1,0.15,8,1.21,02038
2,39,501,161,32.14,4,0.8,0,0.0,0,0.0,5,1.0,02039
2,40,1030,211,20.49,1,0.1,0,0.0,1,0.1,15,1.46,02040
2,41,874,204,23.34,4,0.46,0,0.0,2,0.23,16,1.83,02041
2,42,813,171,21.03,6,0.74,0,0.0,0,0.0,12,1.48,02042
2,43,989,238,24.06,1,0.1,1,0.1,1,0.1,17,1.72,02043
2,44,423,90,21.28,1,0.24,0,0.0,0,0.0,8,1.89,02044
2,45,853,156,18.29,5,0.59,3,0.35,0,0.0,11,1.29,02045
2,46,419,79,18.85,1,0.24,0,0.0,0,0.0,10,2.39,02046
3,1,824,29,3.52,2,0.24,0,0.0,0,0.0,0,0.0,03001
3,2,646,17,2.63,0,0.0,0,0.0,0,0.0,2,0.31,03002
3,3,566,85,15.02,0,0.0,2,0.35,1,0.18,1,0.18,03003
3,4,664,15,2.26,4,0.6,1,0.15,2,0.3,1,0.15,03004
3,5,364,28,7.69,7,1.92,3,0.82,0,0.0,2,0.55,03005
3,6,955,146,15.29,5,0.52,0,0.0,0,0.0,11,1.15,03006
3,7,394,19,4.82,1,0.25,0,0.0,1,0.25,0,0.0,03007
3,8,497,20,4.02,2,0.4,0,0.0,4,0.8,3,0.6,03008
3,9,671,22,3.28,3,0.45,0,0.0,0,0.0,7,1.04,03009
3,10,315,14,4.44,1,0.32,2,0.63,0,0.0,0,0.0,03010
3,11,653,25,3.83,1,0.15,2,0.31,1,0.15,2,0.31,03011
3,12,585,21,3.59,5,0.85,1,0.17,0,0.0,4,0.68,03012
3,13,781,98,12.55,2,0.26,0,0.0,1,0.13,4,0.51,03013
3,14,771,88,11.41,2,0.26,4,0.52,0,0.0,8,1.04,03014
3,15,574,22,3.83,2,0.35,1,0.17,2,0.35,0,0.0,03015
3,16,479,18,3.76,1,0.21,0,0.0,2,0.42,2,0.42,03016
3,17,961,74,7.7,4,0.42,2,0.21,1,0.1,3,0.31,03017
3,18,887,55,6.2,7,0.79,5,0.56,1,0.11,3,0.34,03018
3,19,830,144,17.35,2,0.24,1,0.12,0,0.0,15,1.81,03019
3,20,652,22,3.37,4,0.61,3,0.46,2,0.31,2,0.31,03020
3,21,730,110,15.07,1,0.14,0,0.0,0,0.0,8,1.1,03021
3,22,957,149,15.57,2,0.21,1,0.1,1,0.1,10,1.04,03022
3,23,539,38,7.05,3,0.56,1,0.19,1,0.19,3,0.56,03023
3,24,521,21,4.03,3,0.58,2,0.38,0,0.0,1,0.19,03024
3,25,1220,210,17.21,6,0.49,0,0.0,1,0.08,9,0.74,03025
3,26,770,111,14.42,3,0.39,1,0.13,0,0.0,7,0.91,03026
3,27,867,178,20.53,2,0.23,3,0.35,1,0.12,5,0.58,03027
3,28,382,25,6.54,0,0.0,1,0.26,1,0.26,3,0.79,03028
3,29,668,25,3.74,4,0.6,1,0.15,0,0.0,3,0.45,03029
3,30,532,14,2.63,4,0.75,0,0.0,1,0.19,1,0.19,03030
3,31,714,24,3.36,6,0.84,2,0.28,0,0.0,0,0.0,03031
3,32,1100,126,11.45,9,0.82,1,0.09,1,0.09,15,1.36,03032
3,33,865,104,12.02,2,0.23,0,0.0,2,0.23,15,1.73,03033
3,34,1038,122,11.75,6,0.58,0,0.0,2,0.19,9,0.87,03034
3,35,325,16,4.92,2,0.62,1,0.31,0,0.0,2,0.62,03035
3,36,295,8,2.71,1,0.34,2,0.68,0,0.0,1,0.34,03036
3,37,533,16,3.0,1,0.19,1,0.19,1,0.19,1,0.19,03037
3,38,451,14,3.1,2,0.44,0,0.0,0,0.0,2,0.44,03038
3,39,1346,171,12.7,8,0.59,0,0.0,0,0.0,11,0.82,03039
3,40,685,64,9.34,3,0.44,2,0.29,1,0.15,4,0.58,03040
3,41,519,51,9.83,1,0.19,3,0.58,1,0.19,0,0.0,03041
4,1,940,44,4.68,7,0.74,5,0.53,0,0.0,7,0.74,04001
4,2,902,101,11.2,3,0.33,2,0.22,1,0.11,12,1.33,04002
4,3,525,17,3.24,4,0.76,0,0.0,0,0.0,0,0.0,04003
4,4,822,39,4.74,2,0.24,2,0.24,2,0.24,4,0.49,04004
4,5,642,24,3.74,5,0.78,2,0.31,1,0.16,1,0.16,04005
4,6,746,62,8.31,3,0.4,1,0.13,0,0.0,0,0.0,04006
4,7,787,28,3.56,5,0.64,2,0.25,0,0.0,4,0.51,04007
4,8,700,27,3.86,13,1.86,2,0.29,2,0.29,0,0.0,04008
4,9,670,29,4.33,0,0.0,1,0.15,0,0.0,0,0.0,04009
4,10,788,19,2.41,5,0.63,2,0.25,2,0.25,4,0.51,04010
4,11,645,18,2.79,4,0.62,3,0.47,1,0.16,1,0.16,04011
4,12,786,25,3.18,3,0.38,0,0.0,1,0.13,0,0.0,04012
4,13,952,114,11.97,4,0.42,2,0.21,0,0.0,21,2.21,04013
4,14,643,40,6.22,0,0.0,0,0.0,0,0.0,3,0.47,04014
4,15,698,29,4.15,5,0.72,1,0.14,0,0.0,0,0.0,04015
4,16,1218,163,13.38,8,0.66,3,0.25,2,0.16,7,0.57,04016
4,17,813,87,10.7,2,0.25,2,0.25,1,0.12,9,1.11,04017
4,18,611,20,3.27,4,0.65,1,0.16,1,0.16,2,0.33,04018
4,19,532,29,5.45,2,0.38,1,0.19,0,0.0,2,0.38,04019
4,20,573,90,15.71,7,1.22,0,0.0,0,0.0,5,0.87,04020
4,21,794,94,11.84,5,0.63,2,0.25,0,0.0,6,0.76,04021
4,22,639,33,5.16,4,0.63,0,0.0,2,0.31,4,0.63,04022
4,23,814,24,2.95,6,0.74,3,0.37,2,0.25,3,0.37,04023
4,24,610,29,4.75,4,0.66,2,0.33,0,0.0,2,0.33,04024
4,25,893,108,12.09,3,0.34,0,0.0,0,0.0,14,1.57,04025
4,26,577,24,4.16,3,0.52,0,0.0,1,0.17,0,0.0,04026
4,27,872,36,4.13,2,0.23,4,0.46,1,0.11,3,0.34,04027
4,28,579,42,7.25,5,0.86,0,0.0,0,0.0,0,0.0,04028
4,29,607,17,2.8,1,0.16,4,0.66,0,0.0,1,0.16,04029
4,30,866,27,3.12,3,0.35,2,0.23,0,0.0,0,0.0,04030
4,31,602,32,5.32,6,1.0,3,0.5,0,0.0,0,0.0,04031
4,32,694,28,4.03,4,0.58,2,0.29,2,0.29,5,0.72,04032
4,33,611,22,3.6,5,0.82,2,0.33,0,0.0,2,0.33,04033
4,34,576,27,4.69,5,0.87,1,0.17,3,0.52,7,1.22,04034
4,35,726,45,6.2,4,0.55,0,0.0,0,0.0,1,0.14,04035
4,36,772,34,4.4,8,1.04,0,0.0,0,0.0,0,0.0,04036
4,37,1283,146,11.38,4,0.31,4,0.31,0,0.0,10,0.78,04037
4,38,684,26,3.8,3,0.44,0,0.0,1,0.15,2,0.29,04038
5,1,557,18,3.23,3,0.54,2,0.36,3,0.54,2,0.36,05001
5,2,447,13,2.91,1,0.22,1,0.22,0,0.0,0,0.0,05002
5,3,646,25,3.87,7,1.08,7,1.08,0,0.0,4,0.62,05003
5,4,784,25,3.19,8,1.02,3,0.38,0,0.0,2,0.26,05004
5,5,561,19,3.39,4,0.71,1,0.18,2,0.36,1,0.18,05005
5,6,473,31,6.55,5,1.06,0,0.0,1,0.21,0,0.0,05006
5,7,620,33,5.32,5,0.81,2,0.32,0,0.0,2,0.32,05007
5,8,656,30,4.57,1,0.15,1,0.15,2,0.3,5,0.76,05008
5,9,723,26,3.6,2,0.28,2,0.28,2,0.28,5,0.69,05009
5,10,500,15,3.0,5,1.0,0,0.0,0,0.0,0,0.0,05010
5,11,608,30,4.93,5,0.82,1,0.16,2,0.33,3,0.49,05011
5,12,379,24,6.33,4,1.06,2,0.53,0,0.0,0,0.0,05012
5,13,522,19,3.64,7,1.34,0,0.0,0,0.0,0,0.0,05013
5,14,463,10,2.16,0,0.0,1,0.22,3,0.65,0,0.0,05014
5,15,617,27,4.38,7,1.13,2,0.32,0,0.0,4,0.65,05015
5,16,561,15,2.67,2,0.36,2,0.36,2,0.36,1,0.18,05016
5,17,496,23,4.64,2,0.4,0,0.0,1,0.2,1,0.2,05017
5,18,567,16,2.82,5,0.88,1,0.18,2,0.35,3,0.53,05018
5,19,574,31,5.4,6,1.05,0,0.0,1,0.17,2,0.35,05019
5,20,653,31,4.75,5,0.77,1,0.15,2,0.31,0,0.0,05020
5,21,614,26,4.23,4,0.65,2,0.33,1,0.16,2,0.33,05021
5,22,708,31,4.38,5,0.71,2,0.28,0,0.0,2,0.28,05022
5,23,1064,64,6.02,3,0.28,1,0.09,4,0.38,8,0.75,05023
5,24,751,36,4.79,3,0.4,2,0.27,2,0.27,3,0.4,05024
5,25,535,17,3.18,6,1.12,1,0.19,0,0.0,1,0.19,05025
5,26,568,26,4.58,3,0.53,2,0.35,0,0.0,0,0.0,05026
5,27,656,44,6.71,5,0.76,2,0.3,0,0.0,7,1.07,05027
5,28,599,29,4.84,7,1.17,3,0.5,0,0.0,1,0.17,05028
5,29,610,21,3.44,2,0.33,3,0.49,1,0.16,2,0.33,05029
5,30,387,16,4.13,0,0.0,4,1.03,0,0.0,0,0.0,05030
5,31,446,17,3.81,0,0.0,2,0.45,0,0.0,1,0.22,05031
5,32,638,20,3.13,5,0.78,2,0.31,1,0.16,1,0.16,05032
5,33,627,13,2.07,2,0.32,0,0.0,0,0.0,1,0.16,05033
5,34,673,40,5.94,0,0.0,2,0.3,1,0.15,7,1.04,05034
5,35,773,38,4.92,6,0.78,2,0.26,0,0.0,3,0.39,05035
5,36,384,15,3.91,3,0.78,2,0.52,0,0.0,0,0.0,05036
5,37,635,29,4.57,5,0.79,3,0.47,0,0.0,4,0.63,05037
