ward,precinct,total,William ''Will'' Davis,William ''Will'' Davis Percent,precinct_id
9,4,319,319,100.0,09004
9,6,381,381,100.0,09006
9,11,265,265,100.0,09011
9,18,149,149,100.0,09018
9,19,380,380,100.0,09019
9,30,360,360,100.0,09030
9,39,399,399,100.0,09039
9,45,288,288,100.0,09045
34,3,140,140,100.0,34003
34,6,235,235,100.0,34006
34,35,421,421,100.0,34035
