ward,precinct,total,James D. Brosnahan,James D. Brosnahan Percent,precinct_id
18,19,370,370,100.0,18019
18,24,371,371,100.0,18024
18,25,353,353,100.0,18025
18,26,260,260,100.0,18026
18,30,308,308,100.0,18030
18,32,419,419,100.0,18032
18,34,417,417,100.0,18034
18,45,331,331,100.0,18045
18,46,364,364,100.0,18046
18,51,450,450,100.0,18051
18,52,363,363,100.0,18052
18,53,289,289,100.0,18053
19,9,264,264,100.0,19009
19,56,421,421,100.0,19056
21,15,334,334,100.0,21015
21,29,194,194,100.0,21029
21,35,220,220,100.0,21035
21,36,325,325,100.0,21036
21,57,331,331,100.0,21057
21,70,330,330,100.0,21070
21,71,272,272,100.0,21071
21,73,460,460,100.0,21073
