ward,precinct,total,"Emil Jones, III","Emil Jones, III Percent",Ray Wardingley,Ray Wardingley Percent,precinct_id
9,1,441,429,97.28,12,2.72,09001
9,2,490,476,97.14,14,2.86,09002
9,5,453,437,96.47,16,3.53,09005
9,9,456,444,97.37,12,2.63,09009
9,10,405,389,96.05,16,3.95,09010
9,12,434,423,97.47,11,2.53,09012
9,13,396,389,98.23,7,1.77,09013
9,14,545,523,95.96,22,4.04,09014
9,17,428,422,98.6,6,1.4,09017
9,18,259,249,96.14,10,3.86,09018
9,20,411,406,98.78,5,1.22,09020
9,21,440,425,96.59,15,3.41,09021
9,22,471,445,94.48,26,5.52,09022
9,23,356,343,96.35,13,3.65,09023
9,27,423,408,96.45,15,3.55,09027
9,29,445,433,97.3,12,2.7,09029
9,31,392,381,97.19,11,2.81,09031
9,32,445,430,96.63,15,3.37,09032
9,34,394,387,98.22,7,1.78,09034
9,35,443,422,95.26,21,4.74,09035
9,38,499,488,97.8,11,2.2,09038
9,40,439,425,96.81,14,3.19,09040
9,43,319,308,96.55,11,3.45,09043
9,46,405,395,97.53,10,2.47,09046
9,48,421,406,96.44,15,3.56,09048
9,51,204,188,92.16,16,7.84,09051
9,52,419,401,95.7,18,4.3,09052
19,13,369,336,91.06,33,8.94,19013
19,20,421,334,79.33,87,20.67,19020
19,27,324,258,79.63,66,20.37,19027
19,28,488,436,89.34,52,10.66,19028
19,31,413,231,55.93,182,44.07,19031
19,40,488,291,59.63,197,40.37,19040
19,42,510,380,74.51,130,25.49,19042
19,43,536,510,95.15,26,4.85,19043
19,48,405,385,95.06,20,4.94,19048
19,49,538,431,80.11,107,19.89,19049
19,50,579,564,97.41,15,2.59,19050
19,60,416,397,95.43,19,4.57,19060
19,63,302,247,81.79,55,18.21,19063
19,64,521,355,68.14,166,31.86,19064
19,66,522,490,93.87,32,6.13,19066
21,1,546,514,94.14,32,5.86,21001
21,3,344,336,97.67,8,2.33,21003
21,4,443,431,97.29,12,2.71,21004
21,5,397,392,98.74,5,1.26,21005
21,6,382,375,98.17,7,1.83,21006
21,7,423,407,96.22,16,3.78,21007
21,8,462,440,95.24,22,4.76,21008
21,9,494,482,97.57,12,2.43,21009
21,10,330,317,96.06,13,3.94,21010
21,11,421,411,97.62,10,2.38,21011
21,12,414,397,95.89,17,4.11,21012
21,13,223,218,97.76,5,2.24,21013
21,14,434,424,97.7,10,2.3,21014
21,17,400,387,96.75,13,3.25,21017
21,18,347,336,96.83,11,3.17,21018
21,19,335,324,96.72,11,3.28,21019
21,20,231,224,96.97,7,3.03,21020
21,21,473,458,96.83,15,3.17,21021
21,22,370,360,97.3,10,2.7,21022
21,24,437,426,97.48,11,2.52,21024
21,27,405,383,94.57,22,5.43,21027
21,28,322,308,95.65,14,4.35,21028
21,31,530,510,96.23,20,3.77,21031
21,33,417,402,96.4,15,3.6,21033
21,38,392,379,96.68,13,3.32,21038
21,40,331,323,97.58,8,2.42,21040
21,42,377,362,96.02,15,3.98,21042
21,44,403,392,97.27,11,2.73,21044
21,45,338,320,94.67,18,5.33,21045
21,47,437,420,96.11,17,3.89,21047
21,49,467,449,96.15,18,3.85,21049
21,50,380,369,97.11,11,2.89,21050
21,51,421,405,96.2,16,3.8,21051
21,53,277,265,95.67,12,4.33,21053
21,54,338,320,94.67,18,5.33,21054
21,56,313,301,96.17,12,3.83,21056
21,58,310,306,98.71,4,1.29,21058
21,59,508,494,97.24,14,2.76,21059
21,60,397,383,96.47,14,3.53,21060
21,61,448,436,97.32,12,2.68,21061
21,63,363,354,97.52,9,2.48,21063
21,66,302,294,97.35,8,2.65,21066
21,68,412,398,96.6,14,3.4,21068
34,1,603,589,97.68,14,2.32,34001
34,2,372,365,98.12,7,1.88,34002
34,3,378,368,97.35,10,2.65,34003
34,4,599,592,98.83,7,1.17,34004
34,5,492,481,97.76,11,2.24,34005
34,7,522,507,97.13,15,2.87,34007
34,8,486,472,97.12,14,2.88,34008
34,9,402,391,97.26,11,2.74,34009
34,10,442,425,96.15,17,3.85,34010
34,11,416,407,97.84,9,2.16,34011
34,12,529,515,97.35,14,2.65,34012
34,13,558,544,97.49,14,2.51,34013
34,14,429,423,98.6,6,1.4,34014
34,15,418,398,95.22,20,4.78,34015
34,16,416,406,97.6,10,2.4,34016
34,17,417,406,97.36,11,2.64,34017
34,18,317,310,97.79,7,2.21,34018
34,19,106,104,98.11,2,1.89,34019
34,20,587,566,96.42,21,3.58,34020
34,21,409,398,97.31,11,2.69,34021
34,22,478,463,96.86,15,3.14,34022
34,23,404,385,95.3,19,4.7,34023
34,24,468,463,98.93,5,1.07,34024
34,25,481,467,97.09,14,2.91,34025
34,26,363,357,98.35,6,1.65,34026
34,27,422,403,95.5,19,4.5,34027
34,28,314,308,98.09,6,1.91,34028
34,29,401,389,97.01,12,2.99,34029
34,30,494,481,97.37,13,2.63,34030
34,31,289,283,97.92,6,2.08,34031
34,32,249,242,97.19,7,2.81,34032
34,33,245,242,98.78,3,1.22,34033
34,34,478,457,95.61,21,4.39,34034
34,36,473,454,95.98,19,4.02,34036
34,37,445,431,96.85,14,3.15,34037
34,38,413,407,98.55,6,1.45,34038
34,39,418,407,97.37,11,2.63,34039
34,40,480,475,98.96,5,1.04,34040
34,41,299,290,96.99,9,3.01,34041
34,42,508,485,95.47,23,4.53,34042
34,43,558,534,95.7,24,4.3,34043
34,44,460,442,96.09,18,3.91,34044
34,45,448,436,97.32,12,2.68,34045
34,46,442,432,97.74,10,2.26,34046
34,47,285,278,97.54,7,2.46,34047
34,48,505,479,94.85,26,5.15,34048
34,49,577,567,98.27,10,1.73,34049
34,50,446,433,97.09,13,2.91,34050
34,51,660,635,96.21,25,3.79,34051
34,52,370,359,97.03,11,2.97,34052
34,53,412,396,96.12,16,3.88,34053
34,54,419,410,97.85,9,2.15,34054
34,55,496,485,97.78,11,2.22,34055
34,56,256,253,98.83,3,1.17,34056
34,57,524,514,98.09,10,1.91,34057
34,58,422,408,96.68,14,3.32,34058
34,59,476,462,97.06,14,2.94,34059
34,60,488,475,97.34,13,2.66,34060
34,61,370,358,96.76,12,3.24,34061
