ward,precinct,total,Michael B. Hyman,Michael B. Hyman Percent,precinct_id
1,1,305,305,100.0,01001
1,2,323,323,100.0,01002
1,3,283,283,100.0,01003
1,4,262,262,100.0,01004
1,5,361,361,100.0,01005
1,6,237,237,100.0,01006
1,7,249,249,100.0,01007
1,8,317,317,100.0,01008
1,9,232,232,100.0,01009
1,10,351,351,100.0,01010
1,11,253,253,100.0,01011
1,12,396,396,100.0,01012
1,13,339,339,100.0,01013
1,14,282,282,100.0,01014
1,15,198,198,100.0,01015
1,16,99,99,100.0,01016
1,17,267,267,100.0,01017
1,18,207,207,100.0,01018
1,19,157,157,100.0,01019
1,20,228,228,100.0,01020
1,21,247,247,100.0,01021
1,22,216,216,100.0,01022
1,23,247,247,100.0,01023
1,24,383,383,100.0,01024
1,25,233,233,100.0,01025
1,26,316,316,100.0,01026
1,27,186,186,100.0,01027
1,28,178,178,100.0,01028
1,29,284,284,100.0,01029
1,30,365,365,100.0,01030
1,31,417,417,100.0,01031
1,32,225,225,100.0,01032
1,33,294,294,100.0,01033
1,34,238,238,100.0,01034
1,35,281,281,100.0,01035
1,36,328,328,100.0,01036
1,37,258,258,100.0,01037
1,38,161,161,100.0,01038
1,39,308,308,100.0,01039
1,40,140,140,100.0,01040
1,41,201,201,100.0,01041
1,42,237,237,100.0,01042
1,43,205,205,100.0,01043
1,44,271,271,100.0,01044
1,45,263,263,100.0,01045
1,46,302,302,100.0,01046
1,47,318,318,100.0,01047
1,48,144,144,100.0,01048
1,49,185,185,100.0,01049
1,50,232,232,100.0,01050
2,1,580,580,100.0,02001
2,2,145,145,100.0,02002
2,3,421,421,100.0,02003
2,4,264,264,100.0,02004
2,5,311,311,100.0,02005
2,6,530,530,100.0,02006
2,7,300,300,100.0,02007
2,8,384,384,100.0,02008
2,9,301,301,100.0,02009
2,10,207,207,100.0,02010
2,11,364,364,100.0,02011
2,12,508,508,100.0,02012
2,13,312,312,100.0,02013
2,14,322,322,100.0,02014
2,15,180,180,100.0,02015
2,16,573,573,100.0,02016
2,17,276,276,100.0,02017
2,18,306,306,100.0,02018
2,19,458,458,100.0,02019
2,20,308,308,100.0,02020
2,21,219,219,100.0,02021
2,22,397,397,100.0,02022
2,23,229,229,100.0,02023
2,24,416,416,100.0,02024
2,25,434,434,100.0,02025
2,26,274,274,100.0,02026
2,27,223,223,100.0,02027
2,28,271,271,100.0,02028
2,29,169,169,100.0,02029
2,30,449,449,100.0,02030
2,31,250,250,100.0,02031
2,32,217,217,100.0,02032
2,33,201,201,100.0,02033
2,34,198,198,100.0,02034
2,35,140,140,100.0,02035
2,36,474,474,100.0,02036
2,37,284,284,100.0,02037
2,38,465,465,100.0,02038
2,39,330,330,100.0,02039
2,40,666,666,100.0,02040
2,41,156,156,100.0,02041
2,42,128,128,100.0,02042
2,43,313,313,100.0,02043
2,44,175,175,100.0,02044
2,45,321,321,100.0,02045
2,46,330,330,100.0,02046
2,47,187,187,100.0,02047
2,48,216,216,100.0,02048
2,49,231,231,100.0,02049
2,50,206,206,100.0,02050
2,51,257,257,100.0,02051
2,52,374,374,100.0,02052
2,53,443,443,100.0,02053
2,54,423,423,100.0,02054
2,55,187,187,100.0,02055
2,56,239,239,100.0,02056
3,1,204,204,100.0,03001
3,2,280,280,100.0,03002
3,3,331,331,100.0,03003
3,4,209,209,100.0,03004
3,5,220,220,100.0,03005
3,6,205,205,100.0,03006
3,7,176,176,100.0,03007
3,8,311,311,100.0,03008
3,9,236,236,100.0,03009
3,10,112,112,100.0,03010
3,11,294,294,100.0,03011
3,12,231,231,100.0,03012
3,13,145,145,100.0,03013
3,14,203,203,100.0,03014
3,15,272,272,100.0,03015
3,16,208,208,100.0,03016
3,17,120,120,100.0,03017
3,18,143,143,100.0,03018
3,19,83,83,100.0,03019
3,20,187,187,100.0,03020
3,21,129,129,100.0,03021
3,22,117,117,100.0,03022
3,23,223,223,100.0,03023
3,24,315,315,100.0,03024
3,25,196,196,100.0,03025
3,26,98,98,100.0,03026
3,27,253,253,100.0,03027
3,28,579,579,100.0,03028
3,29,190,190,100.0,03029
3,30,197,197,100.0,03030
3,31,329,329,100.0,03031
3,32,234,234,100.0,03032
3,33,324,324,100.0,03033
3,34,203,203,100.0,03034
3,35,253,253,100.0,03035
3,36,78,78,100.0,03036
3,37,103,103,100.0,03037
3,38,289,289,100.0,03038
3,39,223,223,100.0,03039
3,40,231,231,100.0,03040
3,41,198,198,100.0,03041
3,42,219,219,100.0,03042
3,43,71,71,100.0,03043
3,44,96,96,100.0,03044
3,45,321,321,100.0,03045
3,46,62,62,100.0,03046
3,47,146,146,100.0,03047
3,48,157,157,100.0,03048
3,49,91,91,100.0,03049
3,50,153,153,100.0,03050
4,1,479,479,100.0,04001
4,2,453,453,100.0,04002
4,3,382,382,100.0,04003
4,4,328,328,100.0,04004
4,5,407,407,100.0,04005
4,6,102,102,100.0,04006
4,7,387,387,100.0,04007
4,8,412,412,100.0,04008
4,9,452,452,100.0,04009
4,10,365,365,100.0,04010
4,11,362,362,100.0,04011
4,12,189,189,100.0,04012
4,13,241,241,100.0,04013
4,14,282,282,100.0,04014
4,15,265,265,100.0,04015
4,16,427,427,100.0,04016
4,17,308,308,100.0,04017
4,18,339,339,100.0,04018
4,19,329,329,100.0,04019
4,20,209,209,100.0,04020
4,21,376,376,100.0,04021
4,22,343,343,100.0,04022
4,23,240,240,100.0,04023
4,24,340,340,100.0,04024
4,25,266,266,100.0,04025
4,26,342,342,100.0,04026
4,27,314,314,100.0,04027
4,28,228,228,100.0,04028
4,29,248,248,100.0,04029
4,30,262,262,100.0,04030
4,31,179,179,100.0,04031
4,32,327,327,100.0,04032
4,33,299,299,100.0,04033
4,34,239,239,100.0,04034
4,35,226,226,100.0,04035
4,36,236,236,100.0,04036
4,37,51,51,100.0,04037
4,38,434,434,100.0,04038
4,39,249,249,100.0,04039
4,40,303,303,100.0,04040
4,41,185,185,100.0,04041
4,42,345,345,100.0,04042
4,43,221,221,100.0,04043
4,44,217,217,100.0,04044
4,45,379,379,100.0,04045
4,46,261,261,100.0,04046
4,47,509,509,100.0,04047
4,48,322,322,100.0,04048
4,49,226,226,100.0,04049
4,50,251,251,100.0,04050
4,51,295,295,100.0,04051
4,52,307,307,100.0,04052
5,1,311,311,100.0,05001
5,2,256,256,100.0,05002
5,3,174,174,100.0,05003
5,4,186,186,100.0,05004
5,5,290,290,100.0,05005
5,6,317,317,100.0,05006
5,7,314,314,100.0,05007
5,8,323,323,100.0,05008
5,9,281,281,100.0,05009
5,10,288,288,100.0,05010
5,11,247,247,100.0,05011
5,12,213,213,100.0,05012
5,13,282,282,100.0,05013
5,14,345,345,100.0,05014
5,15,213,213,100.0,05015
5,16,247,247,100.0,05016
5,17,293,293,100.0,05017
5,18,317,317,100.0,05018
5,19,172,172,100.0,05019
5,20,166,166,100.0,05020
5,21,300,300,100.0,05021
5,22,250,250,100.0,05022
5,23,213,213,100.0,05023
5,24,183,183,100.0,05024
5,25,306,306,100.0,05025
5,26,341,341,100.0,05026
5,27,398,398,100.0,05027
5,28,283,283,100.0,05028
5,29,293,293,100.0,05029
5,30,229,229,100.0,05030
5,31,306,306,100.0,05031
5,32,407,407,100.0,05032
5,33,157,157,100.0,05033
5,34,327,327,100.0,05034
5,35,236,236,100.0,05035
5,36,203,203,100.0,05036
5,37,224,224,100.0,05037
5,38,238,238,100.0,05038
5,39,307,307,100.0,05039
5,40,378,378,100.0,05040
5,41,240,240,100.0,05041
5,42,326,326,100.0,05042
5,43,299,299,100.0,05043
5,44,374,374,100.0,05044
5,45,171,171,100.0,05045
5,46,311,311,100.0,05046
5,47,277,277,100.0,05047
5,48,196,196,100.0,05048
5,49,72,72,100.0,05049
5,50,236,236,100.0,05050
5,51,220,220,100.0,05051
5,52,65,65,100.0,05052
5,53,278,278,100.0,05053
5,54,386,386,100.0,05054
5,55,227,227,100.0,05055
6,1,339,339,100.0,06001
6,2,319,319,100.0,06002
6,3,311,311,100.0,06003
6,4,263,263,100.0,06004
6,5,207,207,100.0,06005
6,6,242,242,100.0,06006
6,7,318,318,100.0,06007
6,8,371,371,100.0,06008
6,9,277,277,100.0,06009
6,10,354,354,100.0,06010
6,11,310,310,100.0,06011
6,12,340,340,100.0,06012
6,13,263,263,100.0,06013
6,14,358,358,100.0,06014
6,15,196,196,100.0,06015
6,16,305,305,100.0,06016
6,17,324,324,100.0,06017
6,18,227,227,100.0,06018
6,19,366,366,100.0,06019
