ward,precinct,total,Ursula Walowski,Ursula Walowski Percent,precinct_id
1,42,24,24,100.0,01042
30,1,187,187,100.0,30001
30,3,283,283,100.0,30003
30,15,173,173,100.0,30015
32,9,240,240,100.0,32009
32,15,77,77,100.0,32015
32,19,180,180,100.0,32019
32,21,265,265,100.0,32021
32,22,380,380,100.0,32022
32,25,282,282,100.0,32025
33,5,323,323,100.0,33005
33,9,337,337,100.0,33009
33,10,33,33,100.0,33010
33,14,301,301,100.0,33014
33,18,109,109,100.0,33018
35,22,105,105,100.0,35022
35,33,112,112,100.0,35033
38,1,235,235,100.0,38001
38,4,133,133,100.0,38004
38,5,368,368,100.0,38005
38,7,248,248,100.0,38007
38,10,87,87,100.0,38010
38,41,286,286,100.0,38041
38,42,237,237,100.0,38042
39,1,202,202,100.0,39001
39,2,212,212,100.0,39002
39,3,197,197,100.0,39003
39,4,159,159,100.0,39004
39,5,186,186,100.0,39005
39,6,220,220,100.0,39006
39,7,162,162,100.0,39007
39,8,236,236,100.0,39008
39,9,263,263,100.0,39009
39,10,207,207,100.0,39010
39,11,261,261,100.0,39011
39,12,262,262,100.0,39012
39,13,152,152,100.0,39013
39,14,265,265,100.0,39014
39,15,159,159,100.0,39015
39,16,202,202,100.0,39016
39,17,180,180,100.0,39017
39,18,253,253,100.0,39018
39,19,150,150,100.0,39019
39,20,187,187,100.0,39020
39,21,137,137,100.0,39021
39,22,248,248,100.0,39022
39,23,132,132,100.0,39023
39,24,251,251,100.0,39024
39,25,283,283,100.0,39025
39,26,189,189,100.0,39026
39,27,255,255,100.0,39027
39,28,265,265,100.0,39028
39,29,245,245,100.0,39029
39,30,153,153,100.0,39030
39,31,174,174,100.0,39031
39,33,256,256,100.0,39033
39,34,298,298,100.0,39034
39,35,282,282,100.0,39035
39,36,205,205,100.0,39036
39,37,279,279,100.0,39037
39,38,238,238,100.0,39038
39,39,82,82,100.0,39039
39,40,149,149,100.0,39040
39,41,51,51,100.0,39041
39,42,176,176,100.0,39042
39,43,310,310,100.0,39043
39,44,322,322,100.0,39044
39,45,126,126,100.0,39045
39,46,190,190,100.0,39046
39,47,145,145,100.0,39047
40,1,178,178,100.0,40001
40,2,189,189,100.0,40002
40,5,268,268,100.0,40005
40,6,306,306,100.0,40006
40,8,60,60,100.0,40008
40,10,245,245,100.0,40010
40,14,318,318,100.0,40014
40,15,247,247,100.0,40015
40,17,100,100,100.0,40017
40,18,62,62,100.0,40018
40,19,214,214,100.0,40019
40,20,221,221,100.0,40020
40,21,228,228,100.0,40021
40,24,155,155,100.0,40024
40,25,181,181,100.0,40025
40,29,222,222,100.0,40029
40,30,228,228,100.0,40030
40,31,177,177,100.0,40031
40,32,127,127,100.0,40032
40,34,167,167,100.0,40034
40,36,269,269,100.0,40036
40,38,133,133,100.0,40038
40,44,187,187,100.0,40044
40,48,181,181,100.0,40048
40,49,147,147,100.0,40049
41,1,248,248,100.0,41001
41,2,285,285,100.0,41002
41,3,257,257,100.0,41003
41,4,281,281,100.0,41004
41,5,329,329,100.0,41005
41,6,224,224,100.0,41006
41,7,283,283,100.0,41007
41,8,256,256,100.0,41008
41,9,282,282,100.0,41009
41,10,223,223,100.0,41010
41,11,307,307,100.0,41011
41,12,293,293,100.0,41012
41,13,137,137,100.0,41013
41,14,260,260,100.0,41014
41,15,299,299,100.0,41015
41,16,277,277,100.0,41016
41,17,247,247,100.0,41017
41,18,228,228,100.0,41018
41,19,119,119,100.0,41019
41,20,256,256,100.0,41020
41,21,286,286,100.0,41021
41,22,220,220,100.0,41022
41,23,238,238,100.0,41023
41,24,261,261,100.0,41024
41,30,323,323,100.0,41030
41,31,290,290,100.0,41031
41,32,179,179,100.0,41032
41,33,184,184,100.0,41033
41,34,215,215,100.0,41034
41,35,265,265,100.0,41035
41,36,263,263,100.0,41036
41,37,281,281,100.0,41037
41,38,269,269,100.0,41038
41,39,196,196,100.0,41039
41,40,251,251,100.0,41040
41,41,261,261,100.0,41041
41,42,280,280,100.0,41042
41,43,263,263,100.0,41043
41,45,243,243,100.0,41045
41,46,186,186,100.0,41046
41,49,273,273,100.0,41049
41,50,289,289,100.0,41050
41,51,194,194,100.0,41051
41,52,317,317,100.0,41052
41,53,265,265,100.0,41053
41,55,241,241,100.0,41055
41,56,285,285,100.0,41056
45,2,274,274,100.0,45002
45,3,274,274,100.0,45003
45,4,276,276,100.0,45004
45,5,257,257,100.0,45005
45,6,258,258,100.0,45006
45,7,276,276,100.0,45007
45,8,220,220,100.0,45008
45,9,274,274,100.0,45009
45,10,304,304,100.0,45010
45,11,235,235,100.0,45011
45,12,263,263,100.0,45012
45,13,289,289,100.0,45013
45,14,284,284,100.0,45014
45,15,299,299,100.0,45015
45,16,303,303,100.0,45016
45,17,217,217,100.0,45017
45,18,250,250,100.0,45018
45,19,243,243,100.0,45019
45,20,213,213,100.0,45020
45,21,207,207,100.0,45021
45,22,217,217,100.0,45022
45,23,286,286,100.0,45023
45,24,307,307,100.0,45024
45,25,281,281,100.0,45025
45,26,312,312,100.0,45026
45,27,216,216,100.0,45027
45,28,247,247,100.0,45028
45,29,307,307,100.0,45029
45,30,235,235,100.0,45030
45,31,258,258,100.0,45031
45,32,170,170,100.0,45032
45,33,212,212,100.0,45033
45,34,215,215,100.0,45034
45,35,244,244,100.0,45035
45,36,195,195,100.0,45036
45,37,278,278,100.0,45037
45,38,300,300,100.0,45038
45,39,297,297,100.0,45039
45,40,303,303,100.0,45040
45,41,174,174,100.0,45041
45,42,247,247,100.0,45042
45,43,221,221,100.0,45043
45,44,263,263,100.0,45044
45,45,187,187,100.0,45045
45,46,275,275,100.0,45046
45,47,292,292,100.0,45047
45,48,248,248,100.0,45048
45,49,220,220,100.0,45049
45,50,210,210,100.0,45050
45,51,247,247,100.0,45051
45,52,269,269,100.0,45052
45,53,228,228,100.0,45053
46,21,154,154,100.0,46021
47,1,391,391,100.0,47001
47,2,234,234,100.0,47002
47,3,249,249,100.0,47003
47,4,315,315,100.0,47004
47,5,323,323,100.0,47005
47,6,320,320,100.0,47006
47,7,282,282,100.0,47007
47,8,362,362,100.0,47008
47,9,235,235,100.0,47009
47,10,300,300,100.0,47010
47,11,591,591,100.0,47011
47,12,311,311,100.0,47012
47,13,421,421,100.0,47013
47,14,259,259,100.0,47014
47,16,294,294,100.0,47016
47,17,311,311,100.0,47017
47,19,332,332,100.0,47019
47,20,370,370,100.0,47020
47,21,34,34,100.0,47021
47,22,307,307,100.0,47022
47,25,343,343,100.0,47025
47,26,580,580,100.0,47026
47,27,327,327,100.0,47027
47,28,407,407,100.0,47028
47,29,364,364,100.0,47029
47,30,379,379,100.0,47030
47,31,377,377,100.0,47031
47,32,385,385,100.0,47032
47,33,346,346,100.0,47033
47,34,419,419,100.0,47034
47,35,495,495,100.0,47035
47,36,562,562,100.0,47036
47,37,427,427,100.0,47037
47,38,406,406,100.0,47038
47,39,368,368,100.0,47039
47,42,315,315,100.0,47042
