ward,precinct,total,Rahm Emanuel,Rahm Emanuel Percent,Tom Hanson,Tom Hanson Percent,Alan Augustson,Alan Augustson Percent,precinct_id
1,7,4,4,100.0,0,0.0,0,0.0,01007
1,28,201,156,77.61,39,19.4,6,2.99,01028
1,42,225,177,78.67,41,18.22,7,3.11,01042
29,2,335,284,84.78,45,13.43,6,1.79,29002
29,9,284,222,78.17,56,19.72,6,2.11,29009
29,24,232,198,85.34,24,10.34,10,4.31,29024
29,30,267,215,80.52,45,16.85,7,2.62,29030
29,32,337,278,82.49,44,13.06,15,4.45,29032
30,1,313,231,73.8,63,20.13,19,6.07,30001
30,2,239,202,84.52,28,11.72,9,3.77,30002
30,3,434,338,77.88,62,14.29,34,7.83,30003
30,6,233,193,82.83,31,13.3,9,3.86,30006
30,7,274,232,84.67,28,10.22,14,5.11,30007
30,8,351,287,81.77,44,12.54,20,5.7,30008
30,9,290,248,85.52,37,12.76,5,1.72,30009
30,10,283,241,85.16,34,12.01,8,2.83,30010
30,11,237,196,82.7,34,14.35,7,2.95,30011
30,12,261,224,85.82,31,11.88,6,2.3,30012
30,13,305,233,76.39,51,16.72,21,6.89,30013
30,14,130,111,85.38,17,13.08,2,1.54,30014
30,15,287,214,74.56,63,21.95,10,3.48,30015
30,16,335,262,78.21,53,15.82,20,5.97,30016
30,17,150,123,82.0,20,13.33,7,4.67,30017
30,25,126,98,77.78,24,19.05,4,3.17,30025
30,28,233,193,82.83,32,13.73,8,3.43,30028
30,30,409,322,78.73,67,16.38,20,4.89,30030
30,34,312,256,82.05,48,15.38,8,2.56,30034
30,37,248,179,72.18,57,22.98,12,4.84,30037
30,38,395,326,82.53,46,11.65,23,5.82,30038
30,39,331,264,79.76,55,16.62,12,3.63,30039
30,40,320,278,86.88,32,10.0,10,3.13,30040
31,3,225,186,82.67,31,13.78,8,3.56,31003
31,8,191,158,82.72,27,14.14,6,3.14,31008
31,9,232,201,86.64,24,10.34,7,3.02,31009
31,15,140,120,85.71,17,12.14,3,2.14,31015
31,16,76,60,78.95,14,18.42,2,2.63,31016
31,19,213,189,88.73,20,9.39,4,1.88,31019
31,26,191,154,80.63,28,14.66,9,4.71,31026
31,28,265,237,89.43,21,7.92,7,2.64,31028
31,29,219,180,82.19,35,15.98,4,1.83,31029
31,32,259,224,86.49,26,10.04,9,3.47,31032
31,33,249,199,79.92,33,13.25,17,6.83,31033
31,35,44,42,95.45,1,2.27,1,2.27,31035
31,38,160,142,88.75,16,10.0,2,1.25,31038
31,41,268,223,83.21,38,14.18,7,2.61,31041
31,43,301,245,81.4,45,14.95,11,3.65,31043
31,45,255,201,78.82,45,17.65,9,3.53,31045
31,46,248,218,87.9,25,10.08,5,2.02,31046
31,47,270,225,83.33,37,13.7,8,2.96,31047
31,48,242,201,83.06,36,14.88,5,2.07,31048
31,50,298,243,81.54,47,15.77,8,2.68,31050
32,7,504,345,68.45,140,27.78,19,3.77,32007
32,8,801,519,64.79,248,30.96,34,4.24,32008
32,9,756,564,74.6,146,19.31,46,6.08,32009
32,10,570,374,65.61,173,30.35,23,4.04,32010
32,13,275,179,65.09,91,33.09,5,1.82,32013
32,15,407,308,75.68,78,19.16,21,5.16,32015
32,18,512,337,65.82,146,28.52,29,5.66,32018
32,19,508,387,76.18,94,18.5,27,5.31,32019
32,20,520,355,68.27,143,27.5,22,4.23,32020
32,21,422,320,75.83,90,21.33,12,2.84,32021
32,22,643,479,74.49,135,21.0,29,4.51,32022
32,23,497,356,71.63,123,24.75,18,3.62,32023
32,24,677,433,63.96,230,33.97,14,2.07,32024
32,25,469,352,75.05,93,19.83,24,5.12,32025
32,27,501,363,72.46,125,24.95,13,2.59,32027
32,30,665,423,63.61,229,34.44,13,1.95,32030
32,32,566,356,62.9,188,33.22,22,3.89,32032
32,37,490,363,74.08,114,23.27,13,2.65,32037
32,38,627,455,72.57,137,21.85,35,5.58,32038
32,39,669,442,66.07,214,31.99,13,1.94,32039
32,40,590,437,74.07,126,21.36,27,4.58,32040
32,41,615,440,71.54,154,25.04,21,3.41,32041
32,42,670,471,70.3,163,24.33,36,5.37,32042
32,43,534,344,64.42,178,33.33,12,2.25,32043
32,44,315,227,72.06,74,23.49,14,4.44,32044
32,45,516,366,70.93,132,25.58,18,3.49,32045
32,47,595,381,64.03,201,33.78,13,2.18,32047
32,48,778,528,67.87,228,29.31,22,2.83,32048
32,49,510,345,67.65,136,26.67,29,5.69,32049
32,50,115,69,60.0,36,31.3,10,8.7,32050
33,5,477,402,84.28,50,10.48,25,5.24,33005
33,7,594,468,78.79,80,13.47,46,7.74,33007
33,9,530,437,82.45,63,11.89,30,5.66,33009
33,10,488,393,80.53,66,13.52,29,5.94,33010
33,14,499,416,83.37,54,10.82,29,5.81,33014
33,18,204,163,79.9,30,14.71,11,5.39,33018
33,22,272,226,83.09,31,11.4,15,5.51,33022
33,23,550,432,78.55,69,12.55,49,8.91,33023
33,24,529,437,82.61,66,12.48,26,4.91,33024
33,25,654,535,81.8,87,13.3,32,4.89,33025
35,22,171,140,81.87,19,11.11,12,7.02,35022
35,33,397,320,80.6,52,13.1,25,6.3,35033
36,1,358,289,80.73,60,16.76,9,2.51,36001
36,2,334,274,82.04,50,14.97,10,2.99,36002
36,3,494,449,90.89,38,7.69,7,1.42,36003
36,5,260,181,69.62,73,28.08,6,2.31,36005
36,6,379,296,78.1,71,18.73,12,3.17,36006
36,7,280,198,70.71,70,25.0,12,4.29,36007
36,8,348,246,70.69,84,24.14,18,5.17,36008
36,9,337,246,73.0,83,24.63,8,2.37,36009
36,10,252,189,75.0,57,22.62,6,2.38,36010
36,11,406,296,72.91,104,25.62,6,1.48,36011
36,12,257,189,73.54,61,23.74,7,2.72,36012
36,13,484,372,76.86,104,21.49,8,1.65,36013
36,14,402,340,84.58,58,14.43,4,1.0,36014
36,15,368,284,77.17,77,20.92,7,1.9,36015
36,16,522,432,82.76,79,15.13,11,2.11,36016
36,17,306,205,66.99,94,30.72,7,2.29,36017
36,18,403,257,63.77,143,35.48,3,0.74,36018
36,19,455,377,82.86,66,14.51,12,2.64,36019
36,20,506,370,73.12,121,23.91,15,2.96,36020
36,21,574,425,74.04,134,23.34,15,2.61,36021
36,22,503,358,71.17,128,25.45,17,3.38,36022
36,25,257,183,71.21,61,23.74,13,5.06,36025
36,26,392,275,70.15,108,27.55,9,2.3,36026
36,27,193,134,69.43,54,27.98,5,2.59,36027
36,28,368,265,72.01,87,23.64,16,4.35,36028
36,29,316,238,75.32,68,21.52,10,3.16,36029
36,30,417,283,67.87,122,29.26,12,2.88,36030
36,31,372,279,75.0,85,22.85,8,2.15,36031
36,32,354,256,72.32,91,25.71,7,1.98,36032
36,33,105,84,80.0,16,15.24,5,4.76,36033
36,34,266,173,65.04,89,33.46,4,1.5,36034
36,35,390,295,75.64,86,22.05,9,2.31,36035
36,36,324,263,81.17,53,16.36,8,2.47,36036
36,37,338,232,68.64,94,27.81,12,3.55,36037
36,38,213,166,77.93,46,21.6,1,0.47,36038
36,39,348,247,70.98,93,26.72,8,2.3,36039
36,40,426,314,73.71,106,24.88,6,1.41,36040
36,41,327,258,78.9,60,18.35,9,2.75,36041
36,42,324,230,70.99,83,25.62,11,3.4,36042
36,43,303,243,80.2,52,17.16,8,2.64,36043
36,45,354,300,84.75,47,13.28,7,1.98,36045
36,46,288,195,67.71,79,27.43,14,4.86,36046
36,47,247,184,74.49,54,21.86,9,3.64,36047
36,48,305,208,68.2,83,27.21,14,4.59,36048
